,inchikey,hmdb,kegg,smiles
C00117_R5P,KTVPXOYAKDPRHY-SOOFDHNKSA-N,HMDB0001548,C00117,C([C@@H]1[C@H]([C@H](C(O1)O)O)O)OP(=O)(O)O
C00199_Ru5P,FNZLKVNUWIIPSJ-UHNVWZDZSA-N,HMDB0000618,C00199,C([C@H]([C@H](C(=O)CO)O)O)OP(=O)(O)O
C00491_Cystine,LEVWYRKDKASIDU-IMJSIDKUSA-N,HMDB0000192,C00491,C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N
C02421_Isonicotinamide,VFQXVTODMYMSMJ-UHFFFAOYSA-N,,C02421,C1=CN=CC=C1C(=O)N
C00587_m-Hydroxybenzoate,IJFXRHURBJZNAO-UHFFFAOYSA-N,HMDB0002466,C00587,C1=CC(=CC(=C1)O)C(=O)O
C00423_trans-Cinnamate,WBYWAXJHAXSJNI-VOTSOKGWSA-N,,C00423,C1=CC=C(C=C1)/C=C/C(=O)O
C00065_Ser,MTCFGRXMJLQNBG-REOHCLBHSA-N,HMDB0000187,C00065,C([C@@H](C(=O)O)N)O
C00043_UDP-N-acetylglucosamine,LFTYTUAZOPRMMI-CFRASDGPSA-N,HMDB0000290,C00043,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)CO)O)O
C00262_Hypoxanthine,FDGQSTZJBFJUBT-UHFFFAOYSA-N,HMDB0000157,C00262,C1=NC2=C(N1)C(=O)N=CN2
C00130_IMP,GRSZFWQUAKGDAV-KQYNXXCUSA-N,HMDB0015536,C00130,C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O
C01234_1-Aminocyclopropane-1-carboxylate,PAJPWUMXBYXFCZ-UHFFFAOYSA-N,HMDB0036458,C01234,C1CC1(C(=O)O)N
C00163_Propionate,XBDQKXXYIPTUBI-UHFFFAOYSA-N,HMDB0000237,C00163,CCC(=O)O
C00913_3-Methyladenine,FSASIHFSFGAIJM-UHFFFAOYSA-N,HMDB0011600,C00913,CN1C=NC(=C2C1=NC=N2)N
C00345_6-Phosphogluconate,BIRSGZKFKXLSJQ-SQOUGZDYSA-N,HMDB0001316,C00345,C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)OP(=O)(O)O
C02734_Phenyl phosphate,CMPQUABWPXYYSH-UHFFFAOYSA-N,,C02734,C1=CC=C(C=C1)OP(=O)(O)O
C01404_Arginine ethyl ester,AKGWUHIOEVNNPC-LURJTMIESA-N,,C01404,CCOC(=O)[C@H](CCCN=C(N)N)N
C00670_Glycerophosphorylcholine,SUHOQUVVVLNYQR-MRVPVSSYSA-O,HMDB0000086,C00670,C[N+](C)(C)CCOP(=O)(O)OC[C@@H](CO)O
C00857_Deamido-NAD+,SENPVEZBRZQVST-HISDBWNOSA-O,HMDB0001179,C00857,C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)O
"C04874_7,8-Dihydroneopterin",YQIFAMYNGGOTFB-XINAWCOVSA-N,HMDB0002275,C04874,C1C(=NC2=C(N1)NC(=NC2=O)N)[C@@H]([C@@H](CO)O)O
C00108_Anthranilate,RWZYAGGXGHYGMB-UHFFFAOYSA-N,HMDB0001123,C00108,C1=CC=C(C(=C1)C(=O)O)N
C00294_Inosine,UGQMRVRMYYASKQ-KQYNXXCUSA-N,HMDB0000195,C00294,C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O
C00979_O-Acetylserine,VZXPDPZARILFQX-BYPYZUCNSA-N,HMDB0003011,C00979,CC(=O)OC[C@@H](C(=O)O)N
C03626_ADMA,YDGMGEXADBMOMJ-LURJTMIESA-N,HMDB0001539,C03626,CN(C)C(=NCCC[C@@H](C(=O)O)N)N
C02710_N-Acetylleucine,WXNXCEHXYPACJF-ZETCQYMHSA-N,HMDB0011756,C02710,CC(C)C[C@@H](C(=O)O)NC(=O)C
C05607_3-Phenyllactate,VOXXWSYKYCBWHO-MRVPVSSYSA-N,HMDB0000779,C05607,C1=CC=C(C=C1)C[C@H](C(=O)O)O
C01096_Sorbitol 6-phosphate,GACTWZZMVMUKNG-SLPGGIOYSA-N,HMDB0005831,C01096,C([C@@H]([C@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O)O)O
C01909_Desthiobiotin,AUTOLBMXDDTRRT-UHFFFAOYSA-N,HMDB0003581,C01909,CC1C(NC(=O)N1)CCCCCC(=O)O
C00135_His,HNDVDQJCIGZPNO-YFKPBYRVSA-N,HMDB0000177,C00135,C1=C(NC=N1)C[C@@H](C(=O)O)N
C00322_2-Oxoadipate,FGSBNBBHOZHUBO-UHFFFAOYSA-N,HMDB0000225,C00322,C(CC(=O)C(=O)O)CC(=O)O
C05829_N-Carbamylglutamate,LCQLHJZYVOQKHU-VKHMYHEASA-N,HMDB0015673,C05829,C(CC(=O)O)[C@@H](C(=O)O)NC(=O)N
C05568_beta-Imidazolelactate,ACZFBYCNAVEFLC-UHFFFAOYSA-N,,C05568,C1=C(NC=N1)CC(C(=O)O)O
C00387_Guanosine,NYHBQMYGNKIUIF-UUOKFMHZSA-N,HMDB0000133,C00387,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)NC(=NC2=O)N
C01817_Homocystine,ZTVZLYBCZNMWCF-UHFFFAOYSA-N,HMDB0000575,C01817,C(CSSCCC(C(=O)O)N)C(C(=O)O)N
C01921_Glycocholate,RFDAIACWWDREDC-FRVQLJSFSA-N,HMDB0000138,C01921,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C
"C06057_3-Aminopropane-1,2-diol",KQIGMPWTAHJUMN-VKHMYHEASA-N,,C06057,C([C@@H](CO)O)N
C17715_Undecanoate,ZDPHROOEEOARMN-UHFFFAOYSA-N,HMDB0000947,C17715,CCCCCCCCCCC(=O)O
C00022_Pyruvate,LCTONWCANYUPML-UHFFFAOYSA-N,HMDB0000243,C00022,CC(=O)C(=O)O
C01044_N-Formylaspartate,MQUUQXIFCBBFDP-VKHMYHEASA-N,HMDB0060495,C01044,C([C@@H](C(=O)O)NC=O)C(=O)O
C06231_Ectoine,WQXNXVUDBPYKBA-YFKPBYRVSA-N,METPA0797,C06231,CC1=NCC[C@H](N1)C(=O)O
C07151_Metformin,XZWYZXLIPXDOLR-UHFFFAOYSA-N,HMDB0001921,C07151,CN(C)C(=N)N=C(N)N
C01262_Anserine,MYYIAHXIVFADCU-QMMMGPOBSA-N,HMDB0000194,C01262,CN1C=NC=C1C[C@@H](C(=O)O)NC(=O)CCN
C00044_GTP,XKMLYUALXHKNFT-UUOKFMHZSA-N,HMDB0001273,C00044,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)NC(=NC2=O)N
C00119_PRPP,PQGCEDQWHSBAJP-TXICZTDVSA-N,HMDB0000280,C00119,C([C@@H]1[C@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)O)O)O)OP(=O)(O)O
C00383_Malonate,OFOBLEOULBTSOW-UHFFFAOYSA-N,,C00383,C(C(=O)O)C(=O)O
C00015_UDP,XCCTYIAWTASOJW-XVFCMESISA-N,HMDB0000295,C00015,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O)O)O
C00255_Riboflavin,AUNGANRZJHBGPY-SCRDCRAPSA-N,HMDB0000244,C00255,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](CO)O)O)O
C00148_Pro,ONIBWKKTOPOVIA-BYPYZUCNSA-N,HMDB0000162,C00148,C1C[C@H](NC1)C(=O)O
C01239_N-Acetylglucosylamine,MCGXOCXFFNKASF-FMDGEEDCSA-N,HMDB0001104,C01239,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1N)CO)O)O
C02470_Xanthurenate,FBZONXHGGPHHIY-UHFFFAOYSA-N,HMDB0000881,C02470,C1=CC2=C(C(=C1)O)NC(=CC2=O)C(=O)O
C01987_2-Aminophenol,CDAWCLOXVUBKRW-UHFFFAOYSA-N,METPA0236,C01987,C1=CC=C(C(=C1)N)O
C00224_Adenosine 5'-phosphosulfate,IRLPACMLTUPBCL-KQYNXXCUSA-N,HMDB0001003,C00224,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OS(=O)(=O)O)O)O)N
C00041_Ala,QNAYBMKLOCPYGJ-REOHCLBHSA-N,HMDB0000161,C00041,C[C@@H](C(=O)O)N
C01345_dITP,UFJPAQSLHAGEBL-RRKCRQDMSA-N,HMDB0003537,C01345,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC=NC3=O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O
C00575_cAMP,IVOMOUWHDPKRLL-KQYNXXCUSA-N,HMDB0000058,C00575,C1[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O1)O
C02735_Phenylethanolamine,ULSIYEODSMZIPX-UHFFFAOYSA-N,HMDB0001065,C02735,C1=CC=C(C=C1)C(CN)O
C00308_Canavanine,FSBIGDSBMBYOPN-VKHMYHEASA-N,HMDB0002706,C00308,C(CON=C(N)N)[C@@H](C(=O)O)N
C03761_3-Hydroxy-3-methylglutarate,NPOAOTPXWNWTSH-UHFFFAOYSA-N,HMDB0000355,C03761,CC(CC(=O)O)(CC(=O)O)O
C08265_Alliin,XUHLIQGRKRUKPH-ITZCMCNPSA-N,HMDB0029441,C08265,C=CCS(=O)C[C@@H](C(=O)O)N
C02356_2AB,QWCKQJZIFLGMSD-VKHMYHEASA-N,HMDB0000452,C02356,CC[C@@H](C(=O)O)N
C00490_Itaconate,LVHBHZANLOWSRM-UHFFFAOYSA-N,HMDB0002092,C00490,C=C(CC(=O)O)C(=O)O
C00431_5-Aminovalerate,JJMDCOVWQOJGCB-UHFFFAOYSA-N,HMDB0003355,C00431,C(CCN)CC(=O)O
C03678_4-Amino-3-hydroxybutyrate,YQGDEPYYFWUPGO-UHFFFAOYSA-N,HMDB0061877,C03678,C(C(CN)O)C(=O)O
C02835_Imidazole-4-acetate,PRJKNHOMHKJCEJ-UHFFFAOYSA-N,HMDB0002024,C02835,C1=C(NC=N1)CC(=O)O
