,inchikey,hmdb,kegg,inchi code
C05942_Pyrrole-2-carboxylate,WRHZVMBBRYBTKZ-UHFFFAOYSA-N,HMDB0004230,C05942,"InChI=1S/C5H5NO2/c7-5(8)4-2-1-3-6-4/h1-3,6H,(H,7,8)"
C00584_Prostaglandin E2,XEYBRNLFEZDVAW-ARSRFYASSA-N,HMDB0001220,C00584,"InChI=1S/C20H32O5/c1-2-3-6-9-15(21)12-13-17-16(18(22)14-19(17)23)10-7-4-5-8-11-20(24)25/h4,7,12-13,15-17,19,21,23H,2-3,5-6,8-11,14H2,1H3,(H,24,25)/b7-4-,13-12+/t15-,16+,17+,19+/m0/s1"
C01118_o-Succinylhomoserine,GNISQJGXJIDKDJ-YFKPBYRVSA-N,,C01118,"InChI=1S/C8H13NO6/c9-5(8(13)14)3-4-15-7(12)2-1-6(10)11/h5H,1-4,9H2,(H,10,11)(H,13,14)/t5-/m0/s1"
C07588_o-Hydroxyhippurate,ONJSZLXSECQROL-UHFFFAOYSA-N,HMDB0000840,C07588,"InChI=1S/C9H9NO4/c11-7-4-2-1-3-6(7)9(14)10-5-8(12)13/h1-4,11H,5H2,(H,10,14)(H,12,13)"
C05659_5-Methoxytryptamine,JTEJPPKMYBDEMY-UHFFFAOYSA-N,HMDB0004095,C05659,"InChI=1S/C11H14N2O/c1-14-9-2-3-11-10(6-9)8(4-5-12)7-13-11/h2-3,6-7,13H,4-5,12H2,1H3"
C01762_Xanthosine,UBORTCNDUKBEOP-UUOKFMHZSA-N,HMDB0000299,C01762,"InChI=1S/C10H12N4O6/c15-1-3-5(16)6(17)9(20-3)14-2-11-4-7(14)12-10(19)13-8(4)18/h2-3,5-6,9,15-17H,1H2,(H2,12,13,18,19)/t3-,5-,6-,9-/m1/s1"
C02734_Phenyl phosphate,CMPQUABWPXYYSH-UHFFFAOYSA-N,,C02734,"InChI=1S/C6H7O4P/c7-11(8,9)10-6-4-2-1-3-5-6/h1-5H,(H2,7,8,9)"
C00632_3-Hydroxyanthranilate,WJXSWCUQABXPFS-UHFFFAOYSA-N,HMDB0001476,C00632,"InChI=1S/C7H7NO3/c8-6-4(7(10)11)2-1-3-5(6)9/h1-3,9H,8H2,(H,10,11)"
C10865_Pseudopelletierine,RHWSKVCZXBAWLZ-UHFFFAOYSA-N,HMDB0034580,C10865,"InChI=1S/C9H15NO/c1-10-7-3-2-4-8(10)6-9(11)5-7/h7-8H,2-6H2,1H3"
C00879_Mucate,DSLZVSRJTYRBFB-DUHBMQHGSA-N,HMDB0000639,C00879,"InChI=1S/C6H10O8/c7-1(3(9)5(11)12)2(8)4(10)6(13)14/h1-4,7-10H,(H,11,12)(H,13,14)/t1-,2+,3+,4-"
"C03413_N1,N12-Diacetylspermine",NPDTUDWGJMBVEP-UHFFFAOYSA-N,HMDB0002172,C03413,"InChI=1S/C14H30N4O2/c1-13(19)17-11-5-9-15-7-3-4-8-16-10-6-12-18-14(2)20/h15-16H,3-12H2,1-2H3,(H,17,19)(H,18,20)"
C03519_N-Acetylphenylalanine,CBQJSKKFNMDLON-JTQLQIEISA-N,HMDB0000512,C03519,"InChI=1S/C11H13NO3/c1-8(13)12-10(11(14)15)7-9-5-3-2-4-6-9/h2-6,10H,7H2,1H3,(H,12,13)(H,14,15)/t10-/m0/s1"
C03172_S-Methylmethionine,YDBYJHTYSHBBAU-YFKPBYRVSA-O,HMDB0038670,C03172,"InChI=1S/C6H13NO2S/c1-10(2)4-3-5(7)6(8)9/h5H,3-4,7H2,1-2H3/p+1/t5-/m0/s1"
C02299_N-Methylaniline,AFBPFSWMIHJQDM-UHFFFAOYSA-N,,C02299,"InChI=1S/C7H9N/c1-8-7-5-3-2-4-6-7/h2-6,8H,1H3"
C00025_Glu,WHUUTDBJXJRKMK-VKHMYHEASA-N,HMDB0000148,C00025,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1"
C05198_5'-Deoxyadenosine,XGYIMTFOTBMPFP-KQYNXXCUSA-N,HMDB0001983,C05198,"InChI=1S/C10H13N5O3/c1-4-6(16)7(17)10(18-4)15-3-14-5-8(11)12-2-13-9(5)15/h2-4,6-7,10,16-17H,1H3,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1"
C09815_Benzamide,KXDAEFPNCMNJSK-UHFFFAOYSA-N,HMDB0004461,C09815,"InChI=1S/C7H7NO/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H2,8,9)"
C03557_2-Aminoethylphosphonate,QQVDJLLNRSOCEL-UHFFFAOYSA-N,HMDB0011747,C03557,"InChI=1S/C2H8NO3P/c3-1-2-7(4,5)6/h1-3H2,(H2,4,5,6)"
C02656_Pimelate,WLJVNTCWHIRURA-UHFFFAOYSA-N,HMDB0000857,C02656,"InChI=1S/C7H12O4/c8-6(9)4-2-1-3-5-7(10)11/h1-5H2,(H,8,9)(H,10,11)"
C00048_Glyoxylate,HHLFWLYXYJOTON-UHFFFAOYSA-N,HMDB0000119,C00048,"InChI=1S/C2H2O3/c3-1-2(4)5/h1H,(H,4,5)"
C06524_Nornicotine,MYKUKUCHPMASKF-UHFFFAOYSA-N,HMDB0001126,C06524,"InChI=1S/C9H12N2/c1-3-8(7-10-5-1)9-4-2-6-11-9/h1,3,5,7,9,11H,2,4,6H2"
C00166_Phenylpyruvate,BTNMPGBKDVTSJY-UHFFFAOYSA-N,HMDB0000205,C00166,"InChI=1S/C9H8O3/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5H,6H2,(H,11,12)"
C00178_Thymine,RWQNBRDOKXIBIV-UHFFFAOYSA-N,HMDB0000262,C00178,"InChI=1S/C5H6N2O2/c1-3-2-6-5(9)7-4(3)8/h2H,1H3,(H2,6,7,8,9)"
C00022_Pyruvate,LCTONWCANYUPML-UHFFFAOYSA-N,HMDB0000243,C00022,"InChI=1S/C3H4O3/c1-2(4)3(5)6/h1H3,(H,5,6)"
C00568_p-Aminobenzoate,ALYNCZNDIQEVRV-UHFFFAOYSA-N,HMDB0001392,C00568,"InChI=1S/C7H7NO2/c8-6-3-1-5(2-4-6)7(9)10/h1-4H,8H2,(H,9,10)"
C00459_dTTP,NHVNXKFIZYSCEB-XLPZGREQSA-N,HMDB0001342,C00459,"InChI=1S/C10H17N2O14P3/c1-5-3-12(10(15)11-9(5)14)8-2-6(13)7(24-8)4-23-28(19,20)26-29(21,22)25-27(16,17)18/h3,6-8,13H,2,4H2,1H3,(H,19,20)(H,21,22)(H,11,14,15)(H2,16,17,18)/t6-,7+,8+/m0/s1"
C00262_Hypoxanthine,FDGQSTZJBFJUBT-UHFFFAOYSA-N,HMDB0000157,C00262,"InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)"
C00534_Pyridoxamine,NHZMQXZHNVQTQA-UHFFFAOYSA-N,HMDB0001431,C00534,"InChI=1S/C8H12N2O2/c1-5-8(12)7(2-9)6(4-11)3-10-5/h3,11-12H,2,4,9H2,1H3"
C02571_o-Acetylcarnitine,RDHQFKQIGNGIED-MRVPVSSYSA-O,HMDB0000201,C02571,"InChI=1S/C9H17NO4/c1-7(11)14-8(5-9(12)13)6-10(2,3)4/h8H,5-6H2,1-4H3/p+1/t8-/m1/s1"
C00075_UTP,PGAVKCOVUIYSFO-XVFCMESISA-N,HMDB0000285,C00075,"InChI=1S/C9H15N2O15P3/c12-5-1-2-11(9(15)10-5)8-7(14)6(13)4(24-8)3-23-28(19,20)26-29(21,22)25-27(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,19,20)(H,21,22)(H,10,12,15)(H2,16,17,18)/t4-,6-,7-,8-/m1/s1"
C05562_4-Hydroxymethylimidazole,QDYTUZCWBJRHKK-UHFFFAOYSA-N,,C05562,"InChI=1S/C4H6N2O/c7-2-4-1-5-3-6-4/h1,3,7H,2H2,(H,5,6)"
C00270_N-Acetylneuraminate,SQVRNKJHWKZAKO-LUWBGTNYSA-N,,C00270,"InChI=1S/C11H19NO9/c1-4(14)12-7-5(15)2-11(20,10(18)19)21-9(7)8(17)6(16)3-13/h5-9,13,15-17,20H,2-3H2,1H3,(H,12,14)(H,18,19)/t5-,6+,7+,8+,9+,11?/m0/s1"
C00081_ITP,HAEJPQIATWHALX-KQYNXXCUSA-N,HMDB0000189,C00081,"InChI=1S/C10H15N4O14P3/c15-6-4(1-25-30(21,22)28-31(23,24)27-29(18,19)20)26-10(7(6)16)14-3-13-5-8(14)11-2-12-9(5)17/h2-4,6-7,10,15-16H,1H2,(H,21,22)(H,23,24)(H,11,12,17)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1"
C05635_5-Hydroxyindoleacetate,DUUGKQCEGZLZNO-UHFFFAOYSA-N,HMDB0000763,C05635,"InChI=1S/C10H9NO3/c12-7-1-2-9-8(4-7)6(5-11-9)3-10(13)14/h1-2,4-5,11-12H,3H2,(H,13,14)"
C00643_5-Hydroxytryptophan,LDCYZAJDBXYCGN-VIFPVBQESA-N,HMDB0000472,C00643,"InChI=1S/C11H12N2O3/c12-9(11(15)16)3-6-5-13-10-2-1-7(14)4-8(6)10/h1-2,4-5,9,13-14H,3,12H2,(H,15,16)/t9-/m0/s1"
C00647_Pyridoxamine 5'-phosphate,ZMJGSOSNSPKHNH-UHFFFAOYSA-N,HMDB0001555,C00647,"InChI=1S/C8H13N2O5P/c1-5-8(11)7(2-9)6(3-10-5)4-15-16(12,13)14/h3,11H,2,4,9H2,1H3,(H2,12,13,14)"
