,inchikey,hmdb,kegg,fingerprints
C00363_dTDP,UJLXYODCHAELLY-XLPZGREQSA-N,HMDB0001274,C00363,11100000011100110011110000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000100000000000000000110000010100111000011000000000000110000000110000000000000011110000000000011100010000100010000100001000000001010101100101000010000000100000000000000000000000000000000000000000000000000000000000000000000001000010000000000001000000100000010001000000000010000000001000000100000000000011100100000000000000000011110000011100100010000000110000000011000000101100000011000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C00489_Glutarate,JFCQEDHGNNZCLN-UHFFFAOYSA-N,HMDB0000661,C00489,11000000011000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000000000100000001000000000000000000000000000100000000000000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010010000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000000100010000010011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C00449_Saccharopine,ZDGJAHTZVHVLOT-YUMQZZPRSA-N,HMDB0000279,C00449,11100000011100110011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000110000011000000000000100000000000000100000000010110000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000010000001100010000000000000000000000000100000000000010010000000001000000000100000000001000100000000000000000001000001000000000000100100000000000000000001101111000110111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C01042_N-Acetylaspartate,OTCCIMWXFLJLIA-BYPYZUCNSA-N,HMDB0000812,C01042,11000000011000100011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000110000011000000000000100000000100000100000000010110000000000001000000000000010000000000000000001100100000001100000000000000000000000000000000000000000000000000000000000000000000000000010000001100010000000000000000000000000100000000000011000000000000000000000100000000001000100000000000000000001100001011000000000100100000000000000000000010000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C05568_beta-Imidazolelactate,ACZFBYCNAVEFLC-UHFFFAOYSA-N,,C05568,11000000011000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000001111000000000000100000000100000000000000000000000100000011100111000011001011000000110001011011001100000010110110010011001001000000000101010000000000100010100111101110110110000000010000000001000000000101101101100010001001010100000000000010101000110000001011110000111000000001000100000010111100000010010010000001001100100000000100101000100000000000000000011101101000000000011010000010100000000100000101111000001000100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C01771_Crotonate,LDHQCZJRKDOVOX-NSCUHMNNSA-N,HMDB0010720,C01771,10000000011000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000000000100000001000000000000000000000100000100000000000000000000000001000000000100010000000000000100000110100100000100000000000000000000000000000000000000000000000000000000000000010000000100000000000000000000000000001000000000000000000010000000000000000000000000100000000000000000001000000000000000000000000000000000000000000000001000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C05587_3-Methoxytyramine,DIVQKHQLANKJQO-UHFFFAOYSA-N,HMDB0000022,C05587,11000000011100100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001111000000000000100000000100000000000000000000000110000000100110000011001100000000110001100100000011010000000010000000000011000000000100000000000001000100000010000100000000000000000000000100000100000000000001000000010000000000000000010001000100010000000000001101000100010001000000011010010011000100010100001101011000100011011100000000111000000100011001001001101000000010001000010111011100000000111100100001101000010110000000011100010000000000000000000010000000000000000000000000100000000000000010000000000000000000010000000000000000000000000100000000000000000000000000000000000000000000000000000000
C00183_Val,KZSNJWFQEVHDMF-BYPYZUCNSA-N,HMDB0000883,C00183,11000000011000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000110100101000110000011000000000000100000000100000100000000000010000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000010000001100000000000000000000000000000100000000000010000000000000000000000000000000000000100000000000000000001000001000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C00166_Phenylpyruvate,BTNMPGBKDVTSJY-UHFFFAOYSA-N,HMDB0000205,C00166,11000000011100000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000000000000000000100000000000000000000000110000000100100000001001100000000000001100000000100010000000000000000000001000000000100010000000001010100000110100100000100000000010000000100000000000000000001000000000000000000000000010001000100000000001010000000000000010001000000010000010000000110010100000000001010100010000100000000110000000000000001001001000000000000000000010001000100000000111100010001100100010100000100011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C02043_Indolelactate,XGILAAMKEQUXLS-UHFFFAOYSA-N,HMDB0000671,C02043,11000000011100100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000001011000000000011111000000000000000000000001111000000000000100000000100000000000000000000000110000011100111000011001111000000110001111001100100011110010110010011001001000000000101010000000001100110100111101110100110000000010100000101000000000100000001100010000001000100000000010001101100110100001011110000110010010011000000010010011000011110010110000001001000110010001100001000110000000001000011001001101000000000001110010011100100000000111101110001101100111110011100011101000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000
