,ASV 0,ASV 1,ASV 2,ASV 3,ASV 4,ASV 5,ASV 6,ASV 7,ASV 8,ASV 9,ASV 10,ASV 11,ASV 12,ASV 13,ASV 14,ASV 15,ASV 16,ASV 17,ASV 18,ASV 19,ASV 20,ASV 21,ASV 22,ASV 23,ASV 24,ASV 25,ASV 26,ASV 27,ASV 28,ASV 29,ASV 30,ASV 31,ASV 32,ASV 33,ASV 34,ASV 35,ASV 36,ASV 37,ASV 38,ASV 39,ASV 40,ASV 41,ASV 42,ASV 43,ASV 44,ASV 45,ASV 46,ASV 47,ASV 48,ASV 49,ASV 50,ASV 51,ASV 52,ASV 53,ASV 54,ASV 55,ASV 56,ASV 57,ASV 58,ASV 59,ASV 60,ASV 61,ASV 62,ASV 63,ASV 64,ASV 65,ASV 66,ASV 67,ASV 68,ASV 69,ASV 70,ASV 71,ASV 72,ASV 73,ASV 74,ASV 75,ASV 76,ASV 77,ASV 78,ASV 79,ASV 80,ASV 81,ASV 82,ASV 83,ASV 84,ASV 85,ASV 86,ASV 87,ASV 88,ASV 89,ASV 90,ASV 91,ASV 92,ASV 93,ASV 94,ASV 95,ASV 96,ASV 97,ASV 98,ASV 99,ASV 100,ASV 101,ASV 102,ASV 103,ASV 104,ASV 105,ASV 106,ASV 107,ASV 108,ASV 109,ASV 110,ASV 111,ASV 112,ASV 113,ASV 114,ASV 115,ASV 116,ASV 117,ASV 118,ASV 119,ASV 120,ASV 121,ASV 122,ASV 123,ASV 124,ASV 125,ASV 126,ASV 127,ASV 128,ASV 129,ASV 130,ASV 131,ASV 132,ASV 133,ASV 134,ASV 135,ASV 136,ASV 137,ASV 138,ASV 139,ASV 140,ASV 141,ASV 142,ASV 143,ASV 144,ASV 145,ASV 146,ASV 147,ASV 148
ASV 0,0.0,0.9159097916666668,0.831843125,0.955153125,0.9300444364754099,0.9867831250000001,0.9680831249999999,0.958188125,0.8687292540322582,0.875439125,0.8762281249999999,0.9739431250000001,0.7833845535714286,0.7814285795454545,0.7736785795454546,0.794258125,0.820583125,0.839563125,0.824313125,0.752083125,0.826043125,0.805659125,0.7883606249999999,0.5500802916666666,1.097915625,1.076693125,1.0529764583333334,0.9860431250000001,1.0279462828947368,1.029903125,1.114348125,1.0172709172077923,0.9173012500000002,1.052361125,0.5571242225609756,0.774401125,0.870313125,0.8064033210784314,0.7589053472222222,0.8148997916666667,0.7525333290816327,0.584023911516854,0.8216403977272726,0.9148564583333332,0.8588824583333332,0.7964781249999999,0.6471744407894737,0.8381631249999999,0.8492531249999999,0.8443281249999999,0.5719997132352941,0.9164931249999999,0.888383125,0.7630953472222222,0.893383125,0.6385885795454546,0.9177831249999999,0.910273125,0.8177231249999999,0.8384231249999998,0.6558881249999999,0.6104754107142857,0.895488125,0.8213764583333332,0.8001174107142857,0.7898406250000001,0.7974631249999999,0.8440564583333332,0.9083531249999999,0.8973431249999999,0.932573125,0.772869050925926,0.882883125,0.8119182974137931,0.8758431250000001,0.924190625,0.7832302678571428,0.8618231249999999,0.9159731249999998,0.7074264583333334,0.861728125,0.7896931249999999,0.844103125,0.830229125,0.842607125,0.8641931249999999,0.8212264583333333,0.744425625,0.6841997916666667,0.8352651249999998,0.8527891249999999,0.8989731249999999,0.8583364583333333,0.7414392788461539,0.684147625,0.880203125,0.9163431249999998,0.8717431249999998,0.868883125,0.744458125,0.871803125,0.735505625,0.9250731249999999,0.951213125,0.961783125,0.9754031249999999,0.8621131249999998,0.8665531249999998,0.948943125,0.758173125,0.6029522478070175,0.7766497916666666,0.7135556249999999,0.7141685096153847,0.8010047916666667,0.752593125,0.721213125,0.8762502678571429,0.920808125,0.6191992788461538,0.5392815865384615,0.8001821249999999,0.8378631249999999,0.825063125,0.769697125,0.8429431249999999,0.7894864583333334,0.779003125,0.7598849107142858,0.879533125,0.7330224353448276,0.857913125,0.8483747379032258,0.7974481250000001,0.9152216964285713,0.835349125,0.896897125,0.986018125,0.832440625,0.8356209027777777,1.018183125,0.9287231249999999,0.900948125,0.9143797916666667,0.8474753472222223,0.8718902678571427,0.592674375,0.786933125,0.8676481250000001
ASV 1,0.9159097916666668,0.0,0.15832666666666667,0.36435666666666666,0.3392479781420765,0.3959866666666667,0.37728666666666666,0.36739166666666667,0.47745279569892474,0.30986266666666673,0.4166316666666667,0.5143466666666667,0.6269480952380952,0.6249921212121212,0.6172421212121212,0.6378216666666666,0.6641466666666667,0.6831266666666667,0.6678766666666667,0.5956466666666667,0.6696066666666667,0.6492226666666666,0.6319241666666666,0.4325238333333334,0.9803591666666667,0.9591366666666666,0.93542,0.8684866666666667,0.9103898245614035,0.9123466666666666,0.9967916666666667,0.8997144588744589,0.7997447916666667,0.9348046666666667,0.43504776422764235,0.6523246666666667,0.7482366666666666,0.684326862745098,0.6368288888888889,0.6928233333333333,0.6304568707482993,0.4619474531835207,0.6995639393939393,0.7927799999999998,0.7368059999999998,0.6744016666666667,0.5250979824561403,0.7160866666666665,0.7271766666666665,0.7222516666666665,0.46400325490196087,0.7944166666666665,0.7663066666666666,0.6410188888888888,0.7713066666666666,0.5165121212121213,0.7957066666666665,0.7881966666666665,0.6956466666666665,0.7163466666666666,0.5338116666666666,0.48839895238095243,0.7734116666666665,0.6992999999999999,0.6780409523809523,0.6677641666666666,0.6753866666666666,0.7219799999999998,0.7862766666666665,0.7752666666666665,0.8104966666666665,0.6507925925925925,0.7608066666666665,0.6898418390804597,0.7537666666666666,0.8021141666666666,0.6611538095238094,0.7397466666666666,0.7938966666666665,0.5853499999999999,0.7396516666666666,0.6676166666666666,0.7220266666666665,0.7081526666666665,0.7205306666666665,0.7421166666666665,0.6991499999999999,0.6223491666666666,0.5621233333333333,0.7131886666666666,0.7307126666666666,0.7768966666666665,0.7362599999999999,0.6193628205128204,0.5620711666666666,0.7581266666666665,0.7942666666666665,0.7496666666666665,0.7468066666666665,0.6223816666666666,0.7497266666666665,0.6134291666666666,0.8029966666666665,0.8291366666666665,0.8397066666666665,0.8533266666666665,0.7400366666666665,0.7444766666666665,0.8268666666666665,0.6360966666666666,0.48087578947368426,0.6545733333333333,0.5914791666666667,0.5920920512820512,0.6789283333333332,0.6305166666666666,0.5991366666666667,0.7541738095238094,0.7987316666666665,0.49712282051282053,0.43128512820512827,0.6781056666666666,0.7203066666666667,0.7075066666666666,0.6521406666666666,0.7253866666666665,0.67193,0.6614466666666666,0.6423284523809524,0.7619766666666666,0.6154659770114943,0.7403566666666666,0.7308182795698923,0.6798916666666667,0.7976652380952379,0.7177926666666666,0.7793406666666666,0.8684616666666666,0.7148841666666667,0.7180644444444444,0.9006266666666666,0.8111666666666665,0.7833916666666665,0.7968233333333332,0.7299188888888888,0.7543338095238094,0.47511791666666675,0.7455966666666666,0.7500916666666666
ASV 2,0.831843125,0.15832666666666667,0.0,0.28029,0.25518131147540984,0.31192000000000003,0.29322,0.283325,0.3933861290322581,0.22579600000000002,0.332565,0.43028,0.5428814285714285,0.5409254545454545,0.5331754545454546,0.553755,0.5800799999999999,0.5990599999999999,0.5838099999999999,0.5115799999999999,0.58554,0.565156,0.5478575,0.34845716666666665,0.8962924999999999,0.8750699999999999,0.8513533333333333,0.78442,0.8263231578947368,0.8282799999999999,0.912725,0.8156477922077922,0.715678125,0.850738,0.3509810975609756,0.5682579999999999,0.6641699999999999,0.6002601960784313,0.5527622222222222,0.6087566666666666,0.5463902040816326,0.377880786516854,0.6154972727272726,0.7087133333333332,0.6527393333333332,0.5903349999999999,0.44103131578947374,0.6320199999999999,0.6431099999999998,0.6381849999999999,0.37993658823529414,0.7103499999999999,0.68224,0.5569522222222222,0.68724,0.4324454545454546,0.7116399999999998,0.7041299999999999,0.6115799999999999,0.6322799999999998,0.44974500000000006,0.4043322857142858,0.6893449999999999,0.6152333333333332,0.5939742857142857,0.5836975,0.59132,0.6379133333333332,0.7022099999999999,0.6911999999999999,0.7264299999999998,0.5667259259259259,0.6767399999999999,0.605775172413793,0.6697,0.7180475,0.5770871428571428,0.6556799999999999,0.7098299999999998,0.5012833333333334,0.655585,0.5835499999999999,0.6379599999999999,0.6240859999999999,0.6364639999999999,0.6580499999999999,0.6150833333333332,0.5382824999999999,0.4780566666666667,0.6291219999999998,0.6466459999999999,0.6928299999999998,0.6521933333333333,0.5352961538461538,0.47800450000000005,0.6740599999999999,0.7101999999999998,0.6655999999999999,0.6627399999999999,0.538315,0.6656599999999999,0.5293625,0.7189299999999998,0.7450699999999999,0.7556399999999999,0.7692599999999998,0.6559699999999998,0.6604099999999998,0.7427999999999999,0.5520299999999999,0.39680912280701763,0.5705066666666666,0.5074125,0.5080253846153846,0.5948616666666666,0.54645,0.51507,0.6701071428571428,0.7146649999999999,0.4130561538461539,0.34721846153846153,0.5940389999999999,0.63624,0.6234399999999999,0.568074,0.6413199999999999,0.5878633333333333,0.5773799999999999,0.5582617857142856,0.67791,0.5313993103448276,0.6562899999999999,0.6467516129032257,0.5958249999999999,0.7135985714285713,0.6337259999999999,0.695274,0.784395,0.6308174999999999,0.6339977777777777,0.8165599999999998,0.7270999999999999,0.6993249999999999,0.7127566666666666,0.6458522222222222,0.6702671428571427,0.39105125,0.66153,0.666025
ASV 3,0.955153125,0.36435666666666666,0.28029,0.0,0.16843131147540982,0.22517,0.20647,0.196575,0.5166961290322581,0.349106,0.455875,0.5535899999999999,0.6661914285714285,0.6642354545454545,0.6564854545454545,0.677065,0.70339,0.7223699999999998,0.7071199999999999,0.63489,0.7088499999999999,0.688466,0.6711675,0.4717671666666667,1.0196025,0.9983799999999999,0.9746633333333333,0.90773,0.9496331578947368,0.9515899999999999,1.036035,0.9389577922077922,0.838988125,0.974048,0.47429109756097565,0.691568,0.7874799999999998,0.7235701960784312,0.6760722222222222,0.7320666666666665,0.6697002040816326,0.501190786516854,0.7388072727272725,0.8320233333333331,0.7760493333333331,0.713645,0.5643413157894736,0.7553299999999998,0.7664199999999998,0.7614949999999998,0.5032465882352941,0.8336599999999998,0.8055499999999999,0.6802622222222222,0.8105499999999999,0.5557554545454545,0.8349499999999997,0.8274399999999998,0.7348899999999998,0.7555899999999998,0.5730549999999999,0.5276422857142856,0.8126549999999998,0.7385433333333331,0.7172842857142857,0.7070075,0.71463,0.7612233333333331,0.8255199999999998,0.8145099999999998,0.8497399999999998,0.6900359259259259,0.8000499999999998,0.7290851724137929,0.7930099999999999,0.8413574999999999,0.7003971428571428,0.7789899999999998,0.8331399999999998,0.6245933333333333,0.7788949999999999,0.7068599999999999,0.7612699999999998,0.7473959999999998,0.7597739999999998,0.7813599999999998,0.7383933333333331,0.6615924999999999,0.6013666666666666,0.7524319999999998,0.7699559999999999,0.8161399999999998,0.7755033333333332,0.6586061538461537,0.6013145,0.7973699999999998,0.8335099999999998,0.7889099999999998,0.7860499999999998,0.6616249999999999,0.7889699999999998,0.6526725,0.8422399999999998,0.8683799999999998,0.8789499999999998,0.8925699999999998,0.7792799999999998,0.7837199999999998,0.8661099999999998,0.6753399999999999,0.5201191228070174,0.6938166666666666,0.6307225,0.6313353846153845,0.7181716666666667,0.6697599999999999,0.63838,0.7934171428571427,0.8379749999999998,0.5363661538461537,0.47052846153846156,0.7173489999999999,0.75955,0.7467499999999998,0.691384,0.7646299999999998,0.7111733333333333,0.7006899999999999,0.6815717857142857,0.8012199999999999,0.6547093103448276,0.7795999999999998,0.7700616129032256,0.719135,0.8369085714285712,0.7570359999999998,0.8185839999999999,0.9077049999999999,0.7541274999999998,0.7573077777777776,0.9398699999999999,0.8504099999999998,0.8226349999999998,0.8360666666666665,0.7691622222222221,0.7935771428571426,0.5143612500000001,0.7848399999999999,0.7893349999999999
ASV 4,0.9300444364754099,0.3392479781420765,0.25518131147540984,0.16843131147540982,0.0,0.10304131147540983,0.14124131147540983,0.13134631147540984,0.4915874405076679,0.32399731147540983,0.43076631147540984,0.5284813114754099,0.6410827400468384,0.6391267660208644,0.6313767660208643,0.6519563114754098,0.6782813114754098,0.6972613114754098,0.6820113114754098,0.6097813114754098,0.6837413114754098,0.6633573114754098,0.6460588114754098,0.44665847814207654,0.9944938114754097,0.9732713114754097,0.9495546448087431,0.8826213114754098,0.9245244693701465,0.9264813114754097,1.0109263114754097,0.9138491036832019,0.8138794364754098,0.9489393114754098,0.4491824090363855,0.6664593114754098,0.7623713114754097,0.6984615075538412,0.6509635336976319,0.7069579781420765,0.6445915155570424,0.47608209799226386,0.7136985842026825,0.806914644808743,0.750940644808743,0.6885363114754098,0.5392326272648834,0.7302213114754097,0.7413113114754096,0.7363863114754097,0.47813789971070403,0.8085513114754097,0.7804413114754097,0.655153533697632,0.7854413114754097,0.5306467660208644,0.8098413114754096,0.8023313114754097,0.7097813114754097,0.7304813114754096,0.5479463114754097,0.5025335971896956,0.7875463114754097,0.7134346448087431,0.6921755971896955,0.6818988114754098,0.6895213114754097,0.736114644808743,0.8004113114754097,0.7894013114754097,0.8246313114754097,0.6649272374013356,0.7749413114754097,0.7039764838892029,0.7679013114754097,0.8162488114754097,0.6752884543325526,0.7538813114754097,0.8080313114754096,0.5994846448087431,0.7537863114754098,0.6817513114754098,0.7361613114754096,0.7222873114754097,0.7346653114754097,0.7562513114754097,0.7132846448087431,0.6364838114754098,0.5762579781420765,0.7273233114754096,0.7448473114754097,0.7910313114754096,0.7503946448087431,0.6334974653215636,0.5762058114754097,0.7722613114754097,0.8084013114754096,0.7638013114754096,0.7609413114754097,0.6365163114754098,0.7638613114754097,0.6275638114754097,0.8171313114754096,0.8432713114754097,0.8538413114754096,0.8674613114754096,0.7541713114754096,0.7586113114754096,0.8410013114754097,0.6502313114754098,0.4950104342824274,0.6687079781420765,0.6056138114754098,0.6062266960907944,0.6930629781420764,0.6446513114754098,0.6132713114754098,0.7683084543325526,0.8128663114754097,0.5112574653215637,0.4454197730138714,0.6922403114754098,0.7344413114754098,0.7216413114754098,0.6662753114754097,0.7395213114754097,0.6860646448087432,0.6755813114754098,0.6564630971896955,0.7761113114754098,0.6296006218202375,0.7544913114754097,0.7449529243786355,0.6940263114754098,0.8117998829039811,0.7319273114754097,0.7934753114754097,0.8825963114754097,0.7290188114754097,0.7321990892531874,0.9147613114754096,0.8253013114754096,0.7975263114754096,0.8109579781420764,0.7440535336976319,0.7684684543325525,0.4892525614754098,0.7597313114754097,0.7642263114754098
ASV 5,0.9867831250000001,0.3959866666666667,0.31192000000000003,0.22517,0.10304131147540983,0.0,0.19798000000000002,0.18808500000000003,0.5483261290322581,0.380736,0.487505,0.58522,0.6978214285714286,0.6958654545454546,0.6881154545454545,0.708695,0.7350199999999999,0.7539999999999999,0.7387499999999999,0.66652,0.7404799999999999,0.720096,0.7027975,0.5033971666666668,1.0512324999999998,1.0300099999999999,1.0062933333333333,0.93936,0.9812631578947367,0.9832199999999999,1.0676649999999999,0.9705877922077921,0.870618125,1.0056779999999998,0.5059210975609756,0.7231979999999999,0.8191099999999999,0.7552001960784313,0.7077022222222221,0.7636966666666666,0.7013302040816326,0.5328207865168538,0.7704372727272726,0.8636533333333332,0.8076793333333332,0.7452749999999999,0.5959713157894736,0.7869599999999999,0.7980499999999998,0.7931249999999999,0.534876588235294,0.8652899999999998,0.8371799999999999,0.7118922222222221,0.8421799999999998,0.5873854545454545,0.8665799999999998,0.8590699999999999,0.7665199999999999,0.7872199999999998,0.6046849999999999,0.5592722857142857,0.8442849999999998,0.7701733333333332,0.7489142857142856,0.7386375,0.7462599999999999,0.7928533333333332,0.8571499999999999,0.8461399999999998,0.8813699999999998,0.7216659259259258,0.8316799999999999,0.7607151724137929,0.8246399999999999,0.8729874999999998,0.7320271428571428,0.8106199999999999,0.8647699999999998,0.6562233333333333,0.8105249999999999,0.7384899999999999,0.7928999999999998,0.7790259999999999,0.7914039999999999,0.8129899999999999,0.7700233333333332,0.6932225,0.6329966666666667,0.7840619999999998,0.8015859999999999,0.8477699999999998,0.8071333333333333,0.6902361538461538,0.6329444999999999,0.8289999999999998,0.8651399999999998,0.8205399999999998,0.8176799999999999,0.693255,0.8205999999999999,0.6843024999999999,0.8738699999999998,0.9000099999999998,0.9105799999999997,0.9241999999999997,0.8109099999999998,0.8153499999999998,0.8977399999999998,0.70697,0.5517491228070175,0.7254466666666666,0.6623524999999999,0.6629653846153846,0.7498016666666666,0.70139,0.67001,0.8250471428571428,0.8696049999999999,0.5679961538461538,0.5021584615384616,0.7489789999999998,0.79118,0.7783799999999998,0.7230139999999999,0.7962599999999999,0.7428033333333333,0.7323199999999999,0.7132017857142857,0.83285,0.6863393103448276,0.8112299999999999,0.8016916129032257,0.7507649999999999,0.8685385714285713,0.7886659999999999,0.8502139999999999,0.9393349999999998,0.7857574999999999,0.7889377777777776,0.9714999999999998,0.8820399999999998,0.8542649999999998,0.8676966666666666,0.8007922222222221,0.8252071428571427,0.5459912499999999,0.8164699999999999,0.820965
ASV 6,0.9680831249999999,0.37728666666666666,0.29322,0.20647,0.14124131147540983,0.19798000000000002,0.0,0.088785,0.5296261290322581,0.362036,0.468805,0.56652,0.6791214285714285,0.6771654545454545,0.6694154545454546,0.689995,0.71632,0.7353,0.72005,0.64782,0.72178,0.701396,0.6840975,0.4846971666666667,1.0325324999999999,1.01131,0.9875933333333333,0.92066,0.9625631578947368,0.9645199999999999,1.048965,0.9518877922077922,0.851918125,0.986978,0.48722109756097565,0.704498,0.80041,0.7365001960784313,0.6890022222222222,0.7449966666666666,0.6826302040816327,0.514120786516854,0.7517372727272726,0.8449533333333331,0.7889793333333333,0.726575,0.5772713157894735,0.7682599999999998,0.7793499999999999,0.7744249999999999,0.5161765882352942,0.8465899999999998,0.8184799999999999,0.6931922222222222,0.8234799999999999,0.5686854545454545,0.8478799999999997,0.8403699999999998,0.7478199999999998,0.7685199999999999,0.5859849999999999,0.5405722857142856,0.8255849999999999,0.7514733333333332,0.7302142857142856,0.7199375,0.7275599999999999,0.7741533333333331,0.8384499999999999,0.8274399999999998,0.8626699999999998,0.7029659259259259,0.8129799999999999,0.742015172413793,0.8059399999999999,0.8542874999999999,0.7133271428571428,0.7919199999999998,0.8460699999999998,0.6375233333333333,0.7918249999999999,0.7197899999999999,0.7741999999999999,0.7603259999999998,0.7727039999999998,0.7942899999999999,0.7513233333333332,0.6745224999999999,0.6142966666666666,0.7653619999999999,0.7828859999999999,0.8290699999999999,0.7884333333333332,0.6715361538461538,0.6142445,0.8102999999999999,0.8464399999999997,0.8018399999999999,0.7989799999999999,0.674555,0.8019,0.6656025,0.8551699999999998,0.8813099999999998,0.8918799999999998,0.9054999999999997,0.7922099999999999,0.7966499999999999,0.8790399999999998,0.6882699999999999,0.5330491228070174,0.7067466666666666,0.6436525,0.6442653846153845,0.7311016666666665,0.68269,0.65131,0.8063471428571427,0.8509049999999998,0.5492961538461537,0.48345846153846156,0.7302789999999999,0.7724799999999999,0.7596799999999999,0.704314,0.7775599999999999,0.7241033333333333,0.7136199999999999,0.6945017857142857,0.81415,0.6676393103448276,0.79253,0.7829916129032257,0.732065,0.8498385714285712,0.7699659999999999,0.831514,0.9206349999999999,0.7670575,0.7702377777777777,0.9527999999999999,0.8633399999999998,0.8355649999999999,0.8489966666666665,0.7820922222222222,0.8065071428571428,0.52729125,0.7977699999999999,0.802265
ASV 7,0.958188125,0.36739166666666667,0.283325,0.196575,0.13134631147540984,0.18808500000000003,0.088785,0.0,0.5197311290322582,0.35214100000000004,0.45891000000000004,0.556625,0.6692264285714286,0.6672704545454545,0.6595204545454545,0.6801,0.706425,0.725405,0.710155,0.637925,0.711885,0.691501,0.6742025,0.4748021666666667,1.0226374999999999,1.0014149999999997,0.9776983333333332,0.9107649999999999,0.9526681578947367,0.9546249999999998,1.03907,0.9419927922077921,0.842023125,0.9770829999999999,0.47732609756097566,0.694603,0.790515,0.7266051960784313,0.6791072222222222,0.7351016666666667,0.6727352040816326,0.504225786516854,0.7418422727272727,0.8350583333333332,0.7790843333333333,0.71668,0.5673763157894736,0.7583649999999998,0.7694549999999999,0.7645299999999999,0.5062815882352942,0.8366949999999999,0.8085849999999999,0.6832972222222222,0.8135849999999999,0.5587904545454545,0.8379849999999999,0.830475,0.7379249999999998,0.7586249999999999,0.5760899999999999,0.5306772857142856,0.8156899999999999,0.7415783333333332,0.7203192857142857,0.7100425,0.717665,0.7642583333333332,0.8285549999999999,0.8175449999999999,0.8527749999999998,0.6930709259259259,0.8030849999999999,0.732120172413793,0.7960449999999999,0.8443924999999999,0.7034321428571428,0.7820249999999999,0.8361749999999999,0.6276283333333333,0.7819299999999999,0.7098949999999999,0.7643049999999999,0.7504309999999998,0.7628089999999998,0.784395,0.7414283333333332,0.6646274999999999,0.6044016666666666,0.7554669999999999,0.7729909999999999,0.8191749999999999,0.7785383333333332,0.6616411538461537,0.6043495,0.8004049999999999,0.8365449999999999,0.7919449999999999,0.7890849999999999,0.6646599999999999,0.792005,0.6557075,0.8452749999999998,0.8714149999999998,0.8819849999999998,0.8956049999999998,0.7823149999999999,0.7867549999999999,0.8691449999999998,0.678375,0.5231541228070175,0.6968516666666666,0.6337575,0.6343703846153845,0.7212066666666667,0.6727949999999999,0.641415,0.7964521428571427,0.8410099999999998,0.5394011538461537,0.47356346153846157,0.7203839999999999,0.762585,0.7497849999999999,0.694419,0.7676649999999999,0.7142083333333333,0.7037249999999999,0.6846067857142857,0.804255,0.6577443103448276,0.782635,0.7730966129032257,0.72217,0.8399435714285713,0.7600709999999999,0.821619,0.9107399999999999,0.7571625,0.7603427777777777,0.9429049999999998,0.8534449999999998,0.8256699999999999,0.8391016666666666,0.7721972222222222,0.7966121428571428,0.5173962500000001,0.7878749999999999,0.79237
ASV 8,0.8687292540322582,0.47745279569892474,0.3933861290322581,0.5166961290322581,0.4915874405076679,0.5483261290322581,0.5296261290322581,0.5197311290322582,0.0,0.4369821290322581,0.4377711290322581,0.5354861290322581,0.5797675576036867,0.5778115835777127,0.5700615835777126,0.5906411290322581,0.6169661290322581,0.635946129032258,0.620696129032258,0.5484661290322581,0.622426129032258,0.6020421290322581,0.5847436290322581,0.3853432956989247,0.9331786290322581,0.9119561290322581,0.8882394623655915,0.8213061290322582,0.863209286926995,0.8651661290322581,0.9496111290322582,0.8525339212400503,0.7525642540322581,0.8876241290322582,0.3878672265932337,0.6051441290322581,0.701056129032258,0.6371463251106894,0.5896483512544802,0.6456427956989247,0.5832763331138907,0.41476691554911205,0.6523834017595308,0.7455994623655914,0.6896254623655914,0.6272211290322581,0.4779174448217318,0.668906129032258,0.6799961290322579,0.6750711290322581,0.4168227172675522,0.747236129032258,0.719126129032258,0.5938383512544803,0.724126129032258,0.46933158357771265,0.7485261290322579,0.741016129032258,0.648466129032258,0.669166129032258,0.48663112903225814,0.4412184147465439,0.726231129032258,0.6521194623655914,0.6308604147465438,0.620583629032258,0.628206129032258,0.6747994623655913,0.7390961290322581,0.728086129032258,0.763316129032258,0.6036120549581839,0.713626129032258,0.642661301446051,0.706586129032258,0.754933629032258,0.6139732718894009,0.692566129032258,0.746716129032258,0.5381694623655914,0.692471129032258,0.6204361290322581,0.6748461290322579,0.660972129032258,0.673350129032258,0.6949361290322581,0.6519694623655913,0.5751686290322581,0.5149427956989248,0.666008129032258,0.683532129032258,0.7297161290322579,0.6890794623655914,0.5721822828784119,0.5148906290322581,0.710946129032258,0.747086129032258,0.702486129032258,0.699626129032258,0.5752011290322581,0.702546129032258,0.566248629032258,0.7558161290322579,0.781956129032258,0.7925261290322579,0.8061461290322579,0.692856129032258,0.697296129032258,0.779686129032258,0.5889161290322581,0.4336952518392757,0.6073927956989248,0.544298629032258,0.5449115136476427,0.6317477956989247,0.5833361290322581,0.5519561290322581,0.7069932718894009,0.751551129032258,0.449942282878412,0.3841045905707196,0.6309251290322581,0.6731261290322581,0.660326129032258,0.604960129032258,0.6782061290322581,0.6247494623655915,0.6142661290322581,0.5951479147465438,0.7147961290322582,0.5682854393770858,0.693176129032258,0.6836377419354838,0.6327111290322581,0.7504847004608295,0.670612129032258,0.7321601290322581,0.8212811290322581,0.667703629032258,0.6708839068100358,0.853446129032258,0.763986129032258,0.7362111290322579,0.7496427956989247,0.6827383512544802,0.7071532718894009,0.4279373790322581,0.698416129032258,0.702911129032258
ASV 9,0.875439125,0.30986266666666673,0.22579600000000002,0.349106,0.32399731147540983,0.380736,0.362036,0.35214100000000004,0.4369821290322581,0.0,0.37616099999999997,0.47387599999999996,0.5864774285714285,0.5845214545454545,0.5767714545454545,0.597351,0.6236759999999999,0.6426559999999999,0.6274059999999999,0.5551759999999999,0.6291359999999999,0.608752,0.5914535,0.39205316666666673,0.9398885,0.918666,0.8949493333333334,0.8280160000000001,0.8699191578947368,0.871876,0.9563210000000001,0.8592437922077922,0.759274125,0.8943340000000001,0.3945770975609757,0.6118539999999999,0.7077659999999999,0.6438561960784313,0.5963582222222221,0.6523526666666666,0.5899862040816326,0.42147678651685394,0.6590932727272726,0.7523093333333332,0.6963353333333332,0.6339309999999999,0.4846273157894737,0.6756159999999999,0.6867059999999998,0.6817809999999999,0.4235325882352941,0.7539459999999999,0.7258359999999999,0.6005482222222222,0.7308359999999999,0.47604145454545455,0.7552359999999998,0.7477259999999999,0.6551759999999999,0.6758759999999998,0.49334100000000003,0.4479282857142858,0.7329409999999998,0.6588293333333332,0.6375702857142856,0.6272935,0.6349159999999999,0.6815093333333332,0.7458059999999999,0.7347959999999999,0.7700259999999999,0.6103219259259258,0.7203359999999999,0.6493711724137929,0.7132959999999999,0.7616434999999999,0.6206831428571428,0.6992759999999999,0.7534259999999998,0.5448793333333333,0.6991809999999999,0.6271459999999999,0.6815559999999998,0.6676819999999999,0.6800599999999999,0.7016459999999999,0.6586793333333332,0.5818784999999999,0.5216526666666665,0.6727179999999998,0.6902419999999999,0.7364259999999998,0.6957893333333333,0.5788921538461538,0.5216004999999999,0.7176559999999998,0.7537959999999998,0.7091959999999998,0.7063359999999999,0.581911,0.7092559999999999,0.5729584999999999,0.7625259999999998,0.7886659999999999,0.7992359999999998,0.8128559999999998,0.6995659999999998,0.7040059999999998,0.7863959999999999,0.5956259999999999,0.4404051228070176,0.6141026666666666,0.5510084999999999,0.5516213846153846,0.6384576666666666,0.590046,0.5586659999999999,0.7137031428571428,0.7582609999999999,0.4566521538461539,0.3908144615384615,0.6376349999999998,0.679836,0.6670359999999999,0.6116699999999999,0.6849159999999999,0.6314593333333333,0.6209759999999999,0.6018577857142856,0.721506,0.5749953103448275,0.6998859999999999,0.6903476129032257,0.6394209999999999,0.7571945714285713,0.6773219999999999,0.7388699999999999,0.8279909999999999,0.6744134999999999,0.6775937777777776,0.8601559999999999,0.7706959999999998,0.7429209999999998,0.7563526666666666,0.6894482222222221,0.7138631428571427,0.43464725,0.7051259999999999,0.709621
