,ASV 13,ASV 18,ASV 23,ASV 36,ASV 38,ASV 45,ASV 50,ASV 60,ASV 62,ASV 63,ASV 66,ASV 73,ASV 76,ASV 82,ASV 83,ASV 84,ASV 86,ASV 87,ASV 88,ASV 89,ASV 91,ASV 94,ASV 95,ASV 97,ASV 98,ASV 99,ASV 100,ASV 101,ASV 102,ASV 103,ASV 106,ASV 108,ASV 109,ASV 110,ASV 111,ASV 112,ASV 113,ASV 114,ASV 117,ASV 118,ASV 119,ASV 120,ASV 121,ASV 122,ASV 123,ASV 124,ASV 125,ASV 126,ASV 127,ASV 128,ASV 129,ASV 130,ASV 134,ASV 137,ASV 138,ASV 140,ASV 142,ASV 144,ASV 145,ASV 147,ASV 148,ASV 149,ASV 152,ASV 153,ASV 155,ASV 156,ASV 157,ASV 158,ASV 159,ASV 162,ASV 164,ASV 165,ASV 167,ASV 172,ASV 173,ASV 175,ASV 176,ASV 177,ASV 179,ASV 182,ASV 188,ASV 191,ASV 193
ASV 13,0.0,0.06349257386689075,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.5750008526700158,0.09592979933378151,0.058364944804240156,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.0595064672499416,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.40295138908689077,0.09592979933378151,0.06951930055617647,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09024838919189077,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.40236917868564076,0.07388124301689075,0.09592979933378151,0.09592979933378151,0.3985961396293907,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.06779960006609076,0.09592979933378151,0.22071677486689079,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.0726237499493469,0.5468535807168907,0.44117239015689075,0.2811380720805271,0.09592979933378151,0.06752784238564075,0.09592979933378151,0.09592979933378151,0.06253764155260504,0.09592979933378151,0.39441240826689083,0.3688879091418908,0.3763125005668908,0.335780424398709
ASV 18,0.06349257386689075,0.0,0.06349257386689075,0.06349257386689075,0.06349257386689075,0.542563627203125,0.06349257386689075,0.0259277193373494,0.06349257386689075,0.06349257386689075,0.06349257386689075,0.06349257386689075,0.027069241783050847,0.06349257386689075,0.06349257386689075,0.06349257386689075,0.06349257386689075,0.06349257386689075,0.06349257386689075,0.06349257386689075,0.06349257386689075,0.06349257386689075,0.06349257386689075,0.06349257386689075,0.06349257386689075,0.06349257386689075,0.06349257386689075,0.06349257386689075,0.06349257386689075,0.06349257386689075,0.37051416362,0.06349257386689075,0.03708207508928571,0.06349257386689075,0.06349257386689075,0.06349257386689075,0.06349257386689075,0.06349257386689075,0.06349257386689075,0.057811163725,0.06349257386689075,0.06349257386689075,0.06349257386689075,0.06349257386689075,0.06349257386689075,0.06349257386689075,0.06349257386689075,0.06349257386689075,0.06349257386689075,0.06349257386689075,0.06349257386689075,0.06349257386689075,0.36993195321875,0.041444017550000004,0.06349257386689075,0.06349257386689075,0.36615891416249996,0.06349257386689075,0.06349257386689075,0.06349257386689075,0.035362374599200004,0.06349257386689075,0.18827954940000002,0.06349257386689075,0.06349257386689075,0.06349257386689075,0.06349257386689075,0.06349257386689075,0.06349257386689075,0.040186524482456146,0.51441635525,0.40873516469,0.24870084661363634,0.06349257386689075,0.03509061691875,0.06349257386689075,0.06349257386689075,0.030100416085714288,0.06349257386689075,0.3619751828000001,0.33645068367500003,0.34387527510000004,0.3033431989318182
ASV 23,0.09592979933378151,0.06349257386689075,0.0,0.09592979933378151,0.09592979933378151,0.5750008526700158,0.09592979933378151,0.058364944804240156,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.0595064672499416,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.40295138908689077,0.09592979933378151,0.06951930055617647,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09024838919189077,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.40236917868564076,0.07388124301689075,0.09592979933378151,0.09592979933378151,0.3985961396293907,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.06779960006609076,0.09592979933378151,0.22071677486689079,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.0726237499493469,0.5468535807168907,0.44117239015689075,0.2811380720805271,0.09592979933378151,0.06752784238564075,0.09592979933378151,0.09592979933378151,0.06253764155260504,0.09592979933378151,0.39441240826689083,0.3688879091418908,0.3763125005668908,0.335780424398709
ASV 36,0.09592979933378151,0.06349257386689075,0.09592979933378151,0.0,0.09592979933378151,0.5750008526700158,0.09592979933378151,0.058364944804240156,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.0595064672499416,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.40295138908689077,0.09592979933378151,0.06951930055617647,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09024838919189077,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.40236917868564076,0.07388124301689075,0.09592979933378151,0.09592979933378151,0.3985961396293907,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.06779960006609076,0.09592979933378151,0.22071677486689079,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.0726237499493469,0.5468535807168907,0.44117239015689075,0.2811380720805271,0.09592979933378151,0.06752784238564075,0.09592979933378151,0.09592979933378151,0.06253764155260504,0.09592979933378151,0.39441240826689083,0.3688879091418908,0.3763125005668908,0.335780424398709
ASV 38,0.09592979933378151,0.06349257386689075,0.09592979933378151,0.09592979933378151,0.0,0.5750008526700158,0.09592979933378151,0.058364944804240156,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.0595064672499416,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.40295138908689077,0.09592979933378151,0.06951930055617647,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09024838919189077,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.40236917868564076,0.07388124301689075,0.09592979933378151,0.09592979933378151,0.3985961396293907,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.06779960006609076,0.09592979933378151,0.22071677486689079,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.0726237499493469,0.5468535807168907,0.44117239015689075,0.2811380720805271,0.09592979933378151,0.06752784238564075,0.09592979933378151,0.09592979933378151,0.06253764155260504,0.09592979933378151,0.39441240826689083,0.3688879091418908,0.3763125005668908,0.335780424398709
ASV 45,0.5750008526700158,0.542563627203125,0.5750008526700158,0.5750008526700158,0.5750008526700158,0.0,0.5750008526700157,0.5374359981404744,0.5750008526700157,0.5750008526700157,0.5750008526700157,0.5750008526700157,0.5385775205861758,0.5750008526700157,0.5750008526700157,0.5750008526700157,0.5750008526700157,0.5750008526700157,0.5750008526700157,0.5750008526700157,0.5750008526700157,0.5750008526700157,0.5750008526700157,0.5750008526700157,0.5750008526700157,0.5750008526700157,0.5750008526700157,0.5750008526700157,0.5750008526700157,0.5750008526700157,0.8290955219231249,0.5750008526700157,0.5485903538924106,0.5750008526700157,0.5750008526700157,0.5750008526700157,0.5750008526700157,0.5750008526700157,0.5750008526700157,0.5693194425281249,0.5750008526700157,0.5750008526700157,0.5750008526700157,0.5750008526700157,0.5750008526700157,0.5750008526700157,0.5750008526700157,0.5750008526700157,0.5750008526700157,0.5750008526700157,0.5750008526700157,0.5750008526700157,0.8285133115218748,0.5529522963531249,0.5750008526700157,0.5750008526700157,0.8247402724656248,0.5750008526700157,0.5750008526700157,0.5750008526700157,0.546870653402325,0.5750008526700157,0.6997878282031249,0.5750008526700157,0.5750008526700157,0.5750008526700157,0.5750008526700157,0.5750008526700157,0.5750008526700157,0.5516948032855811,0.9729977135531249,0.867316522993125,0.7072822049167613,0.5750008526700157,0.5465988957218749,0.5750008526700157,0.5750008526700157,0.5416086948888392,0.5750008526700157,0.8112133255031251,0.785688826378125,0.7931134178031249,0.7525813416349432
ASV 50,0.09592979933378151,0.06349257386689075,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.5750008526700157,0.0,0.058364944804240156,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.0595064672499416,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.40295138908689077,0.09592979933378151,0.06951930055617647,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09024838919189077,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.40236917868564076,0.07388124301689075,0.09592979933378151,0.09592979933378151,0.3985961396293907,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.06779960006609076,0.09592979933378151,0.22071677486689079,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.0726237499493469,0.5468535807168907,0.44117239015689075,0.2811380720805271,0.09592979933378151,0.06752784238564075,0.09592979933378151,0.09592979933378151,0.06253764155260504,0.09592979933378151,0.39441240826689083,0.3688879091418908,0.3763125005668908,0.335780424398709
ASV 60,0.058364944804240156,0.0259277193373494,0.058364944804240156,0.058364944804240156,0.058364944804240156,0.5374359981404744,0.058364944804240156,0.0,0.058364944804240156,0.058364944804240156,0.058364944804240156,0.058364944804240156,0.021941612720400246,0.058364944804240156,0.058364944804240156,0.058364944804240156,0.058364944804240156,0.058364944804240156,0.058364944804240156,0.058364944804240156,0.058364944804240156,0.058364944804240156,0.058364944804240156,0.058364944804240156,0.058364944804240156,0.058364944804240156,0.058364944804240156,0.058364944804240156,0.058364944804240156,0.058364944804240156,0.3653865345573494,0.058364944804240156,0.03195444602663511,0.058364944804240156,0.058364944804240156,0.058364944804240156,0.058364944804240156,0.058364944804240156,0.058364944804240156,0.0526835346623494,0.058364944804240156,0.058364944804240156,0.058364944804240156,0.058364944804240156,0.058364944804240156,0.058364944804240156,0.058364944804240156,0.058364944804240156,0.058364944804240156,0.058364944804240156,0.058364944804240156,0.058364944804240156,0.36480432415609937,0.0363163884873494,0.058364944804240156,0.058364944804240156,0.36103128509984933,0.058364944804240156,0.058364944804240156,0.058364944804240156,0.030234745536549403,0.058364944804240156,0.18315192033734942,0.058364944804240156,0.058364944804240156,0.058364944804240156,0.058364944804240156,0.058364944804240156,0.058364944804240156,0.035058895419805544,0.5092887261873493,0.40360753562734936,0.24357321755098574,0.058364944804240156,0.029962987856099396,0.058364944804240156,0.058364944804240156,0.024972787023063686,0.058364944804240156,0.35684755373734944,0.3313230546123494,0.3387476460373494,0.2982155698691676
ASV 62,0.09592979933378151,0.06349257386689075,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.5750008526700157,0.09592979933378151,0.058364944804240156,0.0,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.0595064672499416,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.40295138908689077,0.09592979933378151,0.06951930055617647,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09024838919189077,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.40236917868564076,0.07388124301689075,0.09592979933378151,0.09592979933378151,0.3985961396293907,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.06779960006609076,0.09592979933378151,0.22071677486689079,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.0726237499493469,0.5468535807168907,0.44117239015689075,0.2811380720805271,0.09592979933378151,0.06752784238564075,0.09592979933378151,0.09592979933378151,0.06253764155260504,0.09592979933378151,0.39441240826689083,0.3688879091418908,0.3763125005668908,0.335780424398709
ASV 63,0.09592979933378151,0.06349257386689075,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.5750008526700157,0.09592979933378151,0.058364944804240156,0.09592979933378151,0.0,0.09592979933378151,0.09592979933378151,0.0595064672499416,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.40295138908689077,0.09592979933378151,0.06951930055617647,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09024838919189077,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.40236917868564076,0.07388124301689075,0.09592979933378151,0.09592979933378151,0.3985961396293907,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.06779960006609076,0.09592979933378151,0.22071677486689079,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.09592979933378151,0.0726237499493469,0.5468535807168907,0.44117239015689075,0.2811380720805271,0.09592979933378151,0.06752784238564075,0.09592979933378151,0.09592979933378151,0.06253764155260504,0.09592979933378151,0.39441240826689083,0.3688879091418908,0.3763125005668908,0.335780424398709
