,ASV 0,ASV 1,ASV 2,ASV 3,ASV 4,ASV 5,ASV 6,ASV 7,ASV 8,ASV 9,ASV 10,ASV 11,ASV 12,ASV 13,ASV 14,ASV 15,ASV 16,ASV 17,ASV 18,ASV 19,ASV 20,ASV 21,ASV 22,ASV 23,ASV 24,ASV 25,ASV 26,ASV 27,ASV 28,ASV 29,ASV 30,ASV 31,ASV 32,ASV 33,ASV 34,ASV 35,ASV 36,ASV 37,ASV 38,ASV 39,ASV 40,ASV 41,ASV 42,ASV 43,ASV 44,ASV 45,ASV 46,ASV 47,ASV 48,ASV 49,ASV 50,ASV 51,ASV 52,ASV 53,ASV 54,ASV 55,ASV 56,ASV 57,ASV 58,ASV 59,ASV 60,ASV 61,ASV 62,ASV 63,ASV 64,ASV 65,ASV 66,ASV 67,ASV 68,ASV 69,ASV 70,ASV 71,ASV 72,ASV 73,ASV 74,ASV 75,ASV 76,ASV 77,ASV 78,ASV 79,ASV 80,ASV 81,ASV 82,ASV 83,ASV 84,ASV 85,ASV 86,ASV 87,ASV 88,ASV 89,ASV 90,ASV 91,ASV 92,ASV 93,ASV 94,ASV 95,ASV 96,ASV 97,ASV 98,ASV 99,ASV 100,ASV 101,ASV 102,ASV 103,ASV 104,ASV 105
ASV 0,0.0,0.47245,0.48625,0.46931,0.46976,0.48246,0.47437,0.47369,0.46892,0.48731,0.6626000000000001,0.68439,0.6600299999999999,0.7121899999999999,0.6960599999999999,1.0557999999999998,1.00979,1.0384499999999999,1.00169,1.0453999999999999,1.04052,1.0222499999999999,0.99911,1.0579699999999999,1.0041,1.05287,0.99927,1.01717,1.0509499999999998,0.99107,0.91752,0.9881099999999999,0.9834000000000002,1.0749499999999999,0.9483199999999999,0.8692300000000001,0.9478700000000001,0.91054,0.95142,0.68214,0.67608,0.8100099999999999,0.8828499999999999,0.7418199999999999,0.7806499999999998,0.7400499999999999,0.8252299999999999,0.7301899999999999,0.78426,0.7756299999999998,0.8014699999999999,0.7770999999999999,0.7812399999999999,0.7531499999999998,0.7859399999999999,0.73451,0.8338899999999998,0.8283299999999998,0.8124099999999999,0.7832699999999999,0.6836799999999998,0.7873299999999999,0.7927099999999998,0.83276,0.7832599999999998,0.7751399999999999,0.83863,0.7819999999999998,0.815,0.8185699999999998,0.8349799999999998,0.8094999999999999,0.8098299999999998,0.7754299999999998,0.7706299999999999,0.7634699999999999,0.7677099999999999,0.8197599999999998,0.75719,0.7807199999999999,0.7718799999999999,0.7885199999999999,0.7895599999999998,0.7761899999999999,0.79847,0.7592399999999999,0.7749299999999999,0.7634399999999999,0.8165499999999999,0.7827799999999998,0.80653,0.7384899999999999,0.7031799999999999,0.66292,0.65082,0.6962599999999999,0.6842999999999999,0.7710999999999999,0.70596,0.70972,0.76043,0.8288999999999999,0.8496499999999999,0.8460499999999999,0.83549,0.73416
ASV 1,0.47245,0.0,0.61146,0.5945199999999999,0.59497,0.6076699999999999,0.59958,0.5989,0.59413,0.61252,0.6818299999999999,0.7036200000000001,0.67926,0.73142,0.71529,1.07503,1.02902,1.05768,1.02092,1.06463,1.05975,1.04148,1.01834,1.0772,1.02333,1.0721,1.0185,1.0364,1.07018,1.0103,0.9367500000000001,1.00734,1.0026300000000001,1.09418,0.96755,0.8884600000000001,0.9671000000000002,0.9297700000000001,0.9706500000000001,0.70137,0.6953099999999999,0.82924,0.90208,0.76105,0.7998799999999999,0.75928,0.84446,0.74942,0.80349,0.7948599999999999,0.8207,0.79633,0.80047,0.7723799999999998,0.8051699999999999,0.7537400000000001,0.8531199999999999,0.8475599999999999,0.8316399999999999,0.8025,0.7029099999999999,0.8065599999999999,0.8119399999999999,0.85199,0.8024899999999999,0.79437,0.8578600000000001,0.8012299999999999,0.83423,0.8377999999999999,0.8542099999999999,0.82873,0.8290599999999999,0.7946599999999999,0.78986,0.7827,0.78694,0.8389899999999999,0.7764200000000001,0.7999499999999999,0.79111,0.80775,0.8087899999999999,0.79542,0.8177000000000001,0.77847,0.79416,0.78267,0.83578,0.8020099999999999,0.82576,0.75772,0.72241,0.68215,0.67005,0.71549,0.70353,0.79033,0.7251899999999999,0.7289500000000001,0.7796600000000001,0.8481299999999999,0.86888,0.8652799999999999,0.85472,0.7533900000000001
ASV 2,0.48625,0.61146,0.0,0.19012,0.15247,0.16516999999999998,0.03968,0.0886,0.15163,0.041260000000000005,0.8016099999999999,0.8233999999999999,0.79904,0.8512,0.83507,1.1948100000000001,1.1488,1.1774600000000002,1.1407,1.1844100000000002,1.1795300000000002,1.16126,1.13812,1.1969800000000002,1.14311,1.1918800000000003,1.13828,1.15618,1.1899600000000001,1.13008,1.05653,1.12712,1.1224100000000001,1.2139600000000002,1.08733,1.00824,1.08688,1.04955,1.09043,0.82115,0.8150899999999999,0.9490199999999998,1.02186,0.88083,0.9196599999999999,0.87906,0.96424,0.8692,0.92327,0.9146399999999999,0.9404799999999998,0.91611,0.92025,0.8921599999999998,0.9249499999999999,0.8735199999999999,0.9728999999999999,0.9673399999999999,0.9514199999999999,0.9222799999999998,0.8226899999999999,0.9263399999999999,0.9317199999999999,0.9717699999999998,0.9222699999999999,0.91415,0.9776399999999998,0.9210099999999999,0.95401,0.9575799999999999,0.9739899999999999,0.94851,0.9488399999999999,0.9144399999999999,0.90964,0.90248,0.90672,0.9587699999999999,0.8961999999999999,0.9197299999999999,0.91089,0.92753,0.9285699999999999,0.9152,0.9374799999999999,0.89825,0.91394,0.90245,0.95556,0.9217899999999999,0.9455399999999998,0.8775,0.84219,0.80193,0.78983,0.83527,0.82331,0.91011,0.8449699999999999,0.8487300000000001,0.8994400000000001,0.9679099999999999,0.98866,0.9850599999999999,0.9745,0.8731699999999999
ASV 3,0.46931,0.5945199999999999,0.19012,0.0,0.17363,0.18633,0.17824,0.17756,0.17279,0.19118000000000002,0.78467,0.80646,0.7821,0.83426,0.81813,1.1778700000000002,1.1318599999999999,1.16052,1.1237599999999999,1.16747,1.16259,1.14432,1.12118,1.1800400000000002,1.12617,1.17494,1.12134,1.13924,1.1730200000000002,1.11314,1.03959,1.11018,1.10547,1.1970200000000002,1.07039,0.9913,1.06994,1.03261,1.07349,0.8042099999999999,0.7981499999999999,0.9320799999999998,1.0049199999999998,0.8638899999999998,0.90272,0.86212,0.9472999999999998,0.85226,0.9063299999999999,0.8976999999999999,0.9235399999999998,0.8991699999999998,0.9033099999999998,0.8752199999999999,0.9080099999999998,0.8565799999999999,0.9559599999999999,0.9503999999999999,0.93448,0.9053399999999998,0.80575,0.9094,0.9147799999999999,0.9548299999999998,0.90533,0.8972099999999998,0.9606999999999999,0.9040699999999999,0.9370699999999998,0.9406399999999999,0.95705,0.93157,0.9319,0.8975,0.8926999999999998,0.88554,0.88978,0.94183,0.8792599999999999,0.90279,0.89395,0.91059,0.9116299999999999,0.8982599999999998,0.9205399999999999,0.8813099999999998,0.897,0.8855099999999998,0.9386199999999998,0.9048499999999999,0.9285999999999999,0.86056,0.8252499999999998,0.7849899999999999,0.7728899999999999,0.8183299999999998,0.8063699999999998,0.8931699999999998,0.8280299999999999,0.8317899999999999,0.8825,0.95097,0.97172,0.96812,0.9575599999999999,0.8562299999999999
ASV 4,0.46976,0.59497,0.15247,0.17363,0.0,0.12778,0.14059,0.13990999999999998,0.11424000000000001,0.15353,0.78512,0.80691,0.7825499999999999,0.8347099999999998,0.8185799999999999,1.17832,1.13231,1.1609699999999998,1.12421,1.1679199999999998,1.1630399999999999,1.1447699999999998,1.12163,1.18049,1.12662,1.1753900000000002,1.1217899999999998,1.1396899999999999,1.17347,1.1135899999999999,1.0400399999999999,1.1106299999999998,1.10592,1.19747,1.0708399999999998,0.99175,1.07039,1.0330599999999999,1.07394,0.8046599999999999,0.7986,0.9325299999999999,1.0053699999999999,0.8643399999999999,0.90317,0.8625700000000001,0.9477499999999999,0.8527100000000001,0.9067799999999999,0.89815,0.9239899999999999,0.8996199999999999,0.9037599999999999,0.87567,0.9084599999999998,0.85703,0.9564099999999998,0.9508499999999998,0.9349299999999998,0.9057899999999999,0.8061999999999998,0.9098499999999998,0.91523,0.9552799999999999,0.9057799999999998,0.8976599999999999,0.96115,0.90452,0.9375199999999999,0.9410899999999998,0.9574999999999998,0.9320199999999998,0.9323499999999998,0.89795,0.8931499999999999,0.8859899999999998,0.8902299999999999,0.9422799999999998,0.87971,0.9032399999999998,0.8943999999999999,0.9110399999999998,0.91208,0.8987099999999999,0.92099,0.8817599999999999,0.8974499999999999,0.8859599999999999,0.9390699999999998,0.9053,0.9290499999999999,0.86101,0.8256999999999999,0.7854399999999999,0.7733399999999999,0.8187799999999998,0.8068199999999999,0.8936199999999999,0.82848,0.83224,0.88295,0.9514199999999998,0.9721699999999999,0.9685699999999998,0.9580099999999999,0.85668
ASV 5,0.48246,0.6076699999999999,0.16516999999999998,0.18633,0.12778,0.0,0.15329,0.15261,0.049920000000000006,0.16623000000000002,0.79782,0.81961,0.79525,0.84741,0.83128,1.1910200000000002,1.1450099999999999,1.1736700000000002,1.1369099999999999,1.1806200000000002,1.1757400000000002,1.15747,1.13433,1.1931900000000002,1.1393199999999999,1.18809,1.13449,1.15239,1.1861700000000002,1.12629,1.05274,1.12333,1.11862,1.2101700000000002,1.08354,1.0044499999999998,1.0830899999999999,1.04576,1.08664,0.8173599999999999,0.8112999999999999,0.9452299999999998,1.0180699999999998,0.8770399999999998,0.91587,0.87527,0.9604499999999998,0.86541,0.9194799999999999,0.9108499999999999,0.9366899999999998,0.9123199999999998,0.9164599999999998,0.8883699999999999,0.9211599999999998,0.8697299999999999,0.9691099999999999,0.9635499999999999,0.9476299999999998,0.9184899999999998,0.8189,0.92255,0.9279299999999999,0.9679799999999998,0.91848,0.9103599999999998,0.9738499999999999,0.9172199999999999,0.9502199999999998,0.9537899999999999,0.9702,0.9447199999999998,0.94505,0.91065,0.9058499999999998,0.89869,0.90293,0.9549799999999999,0.8924099999999999,0.91594,0.9071,0.92374,0.9247799999999999,0.9114099999999998,0.9336899999999999,0.8944599999999998,0.91015,0.8986599999999998,0.9517699999999998,0.9179999999999999,0.9417499999999999,0.87371,0.8383999999999998,0.7981399999999998,0.7860399999999998,0.8314799999999998,0.8195199999999998,0.9063199999999998,0.8411799999999999,0.8449399999999999,0.89565,0.96412,0.98487,0.98127,0.9707099999999999,0.8693799999999999
ASV 6,0.47437,0.59958,0.03968,0.17824,0.14059,0.15329,0.0,0.07672,0.13974999999999999,0.04074,0.78973,0.81152,0.7871599999999999,0.8393199999999998,0.8231899999999999,1.1829300000000003,1.13692,1.16558,1.12882,1.1725300000000003,1.16765,1.14938,1.1262400000000001,1.1851000000000003,1.13123,1.1800000000000002,1.1264,1.1443,1.1780800000000002,1.1182,1.04465,1.11524,1.11053,1.2020800000000003,1.07545,0.99636,1.075,1.03767,1.0785500000000001,0.8092699999999999,0.80321,0.9371399999999999,1.0099799999999999,0.8689499999999999,0.90778,0.8671800000000001,0.9523599999999999,0.8573200000000001,0.9113899999999999,0.90276,0.9285999999999999,0.9042299999999999,0.9083699999999999,0.88028,0.9130699999999998,0.86164,0.96102,0.95546,0.9395399999999998,0.9103999999999999,0.8108099999999998,0.9144599999999998,0.91984,0.9598899999999999,0.9103899999999998,0.9022699999999999,0.96576,0.90913,0.9421299999999999,0.9456999999999998,0.96211,0.9366299999999999,0.9369599999999998,0.90256,0.8977599999999999,0.8905999999999998,0.8948399999999999,0.9468899999999998,0.88432,0.9078499999999998,0.8990099999999999,0.9156499999999999,0.91669,0.9033199999999999,0.9256,0.8863699999999999,0.9020599999999999,0.8905699999999999,0.9436799999999999,0.90991,0.9336599999999999,0.8656200000000001,0.8303099999999999,0.7900499999999999,0.7779499999999999,0.8233899999999998,0.8114299999999999,0.8982299999999999,0.83309,0.83685,0.88756,0.95603,0.9767800000000001,0.97318,0.9626199999999999,0.86129
ASV 7,0.47369,0.5989,0.0886,0.17756,0.13990999999999998,0.15261,0.07672,0.0,0.13907,0.08966,0.78905,0.81084,0.7864799999999998,0.8386399999999998,0.8225099999999999,1.1822500000000002,1.13624,1.1649,1.12814,1.1718500000000003,1.16697,1.1487,1.1255600000000001,1.1844200000000003,1.13055,1.1793200000000001,1.12572,1.14362,1.1774000000000002,1.11752,1.04397,1.11456,1.10985,1.2014000000000002,1.07477,0.99568,1.07432,1.03699,1.07787,0.8085899999999999,0.80253,0.9364599999999998,1.0092999999999999,0.8682699999999999,0.9071,0.8665,0.9516799999999999,0.8566400000000001,0.9107099999999999,0.90208,0.9279199999999999,0.9035499999999999,0.9076899999999999,0.8795999999999999,0.9123899999999998,0.86096,0.96034,0.95478,0.9388599999999998,0.9097199999999999,0.8101299999999998,0.9137799999999998,0.91916,0.9592099999999999,0.9097099999999998,0.9015899999999999,0.9650799999999999,0.90845,0.9414499999999999,0.9450199999999997,0.96143,0.9359499999999998,0.9362799999999998,0.90188,0.8970799999999999,0.8899199999999998,0.8941599999999998,0.9462099999999998,0.88364,0.9071699999999998,0.8983299999999999,0.9149699999999998,0.91601,0.9026399999999999,0.92492,0.8856899999999999,0.9013799999999998,0.8898899999999998,0.9429999999999998,0.90923,0.9329799999999999,0.86494,0.8296299999999999,0.7893699999999999,0.7772699999999999,0.8227099999999998,0.8107499999999999,0.8975499999999998,0.83241,0.83617,0.88688,0.95535,0.9761000000000001,0.9725,0.9619399999999999,0.86061
ASV 8,0.46892,0.59413,0.15163,0.17279,0.11424000000000001,0.049920000000000006,0.13974999999999999,0.13907,0.0,0.15269,0.7842799999999999,0.8060700000000001,0.7817099999999999,0.8338699999999999,0.8177399999999999,1.17748,1.13147,1.1601299999999999,1.12337,1.16708,1.1622,1.14393,1.12079,1.17965,1.12578,1.1745500000000002,1.12095,1.13885,1.17263,1.11275,1.0392,1.1097899999999998,1.10508,1.19663,1.0699999999999998,0.9909100000000001,1.06955,1.03222,1.0731,0.80382,0.7977599999999998,0.9316899999999999,1.00453,0.8634999999999999,0.9023299999999999,0.8617299999999999,0.9469099999999999,0.8518699999999999,0.90594,0.8973099999999998,0.9231499999999999,0.8987799999999999,0.90292,0.8748299999999998,0.9076199999999999,0.85619,0.9555699999999998,0.9500099999999998,0.9340899999999999,0.9049499999999999,0.8053599999999999,0.9090099999999999,0.9143899999999998,0.9544399999999997,0.9049399999999999,0.89682,0.9603099999999998,0.9036799999999998,0.93668,0.9402499999999998,0.9566599999999998,0.9311799999999999,0.9315099999999998,0.8971099999999999,0.8923099999999999,0.8851499999999999,0.8893899999999999,0.9414399999999998,0.87887,0.9023999999999999,0.8935599999999999,0.9101999999999999,0.9112399999999998,0.89787,0.92015,0.8809199999999999,0.8966099999999999,0.8851199999999999,0.9382299999999999,0.9044599999999998,0.92821,0.8601699999999999,0.8248599999999999,0.7846,0.7725,0.8179399999999999,0.8059799999999999,0.8927799999999999,0.8276399999999998,0.8314,0.8821100000000001,0.9505799999999999,0.9713299999999999,0.9677299999999999,0.95717,0.85584
ASV 9,0.48731,0.61252,0.041260000000000005,0.19118000000000002,0.15353,0.16623000000000002,0.04074,0.08966,0.15269,0.0,0.80267,0.82446,0.8001,0.85226,0.83613,1.1958700000000002,1.1498599999999999,1.1785200000000002,1.1417599999999999,1.1854700000000002,1.1805900000000003,1.16232,1.13918,1.1980400000000002,1.14417,1.1929400000000001,1.13934,1.15724,1.1910200000000002,1.13114,1.05759,1.12818,1.12347,1.2150200000000002,1.08839,1.0093,1.08794,1.05061,1.09149,0.8222099999999999,0.8161499999999999,0.9500799999999998,1.02292,0.8818899999999998,0.92072,0.88012,0.9652999999999998,0.87026,0.9243299999999999,0.9157,0.9415399999999998,0.9171699999999998,0.9213099999999999,0.8932199999999999,0.9260099999999998,0.8745799999999999,0.9739599999999999,0.9683999999999999,0.95248,0.9233399999999998,0.82375,0.9274,0.9327799999999999,0.9728299999999999,0.92333,0.9152099999999999,0.9786999999999999,0.92207,0.9550699999999999,0.9586399999999999,0.97505,0.9495699999999998,0.9499,0.9155,0.9106999999999998,0.90354,0.90778,0.95983,0.89726,0.92079,0.91195,0.92859,0.92963,0.9162599999999999,0.9385399999999999,0.8993099999999998,0.915,0.9035099999999998,0.9566199999999998,0.92285,0.9465999999999999,0.87856,0.8432499999999998,0.8029899999999999,0.7908899999999999,0.8363299999999998,0.8243699999999998,0.9111699999999998,0.84603,0.8497899999999999,0.9005,0.96897,0.98972,0.98612,0.9755599999999999,0.87423
