,Methanobrevibacter_smithii,Methanosphaera_stadtmanae,Rothia_mucilaginosa,Propionibacterium_freudenreichii,Bifidobacterium_adolescentis,Bifidobacterium_animalis,Bifidobacterium_bifidum,Bifidobacterium_breve,Bifidobacterium_catenulatum,Bifidobacterium_dentium,Bifidobacterium_longum,Bifidobacterium_pseudocatenulatum,Adlercreutzia_equolifaciens,Collinsella_aerofaciens,Collinsella_intestinalis,Collinsella_unclassified,Eggerthella_lenta,Eggerthella_sp_1_3_56FAA,Eggerthella_unclassified,Gordonibacter_pamelaeae,Slackia_piriformis,Bacteroides_caccae,Bacteroides_cellulosilyticus,Bacteroides_dorei,Bacteroides_eggerthii,Bacteroides_faecis,Bacteroides_finegoldii,Bacteroides_fragilis,Bacteroides_intestinalis,Bacteroides_massiliensis,Bacteroides_ovatus,Bacteroides_salyersiae,Bacteroides_sp_2_1_22,Bacteroides_stercoris,Bacteroides_thetaiotaomicron,Bacteroides_uniformis,Bacteroides_vulgatus,Bacteroides_xylanisolvens,Bacteroidales_bacterium_ph8,Barnesiella_intestinihominis,Odoribacter_laneus,Odoribacter_splanchnicus,Parabacteroides_distasonis,Parabacteroides_goldsteinii,Parabacteroides_merdae,Parabacteroides_unclassified,Paraprevotella_clara,Paraprevotella_unclassified,Prevotella_copri,Alistipes_finegoldii,Alistipes_indistinctus,Alistipes_onderdonkii,Alistipes_putredinis,Alistipes_senegalensis,Alistipes_shahii,Alistipes_sp_AP11,Alistipes_sp_HGB5,Alistipes_unclassified,Enterococcus_avium,Enterococcus_faecalis,Enterococcus_faecium,Lactobacillus_acidophilus,Lactobacillus_casei_paracasei,Lactobacillus_fermentum,Lactobacillus_gasseri,Lactobacillus_plantarum,Lactobacillus_rhamnosus,Lactobacillus_salivarius,Pediococcus_acidilactici,Pediococcus_lolii,Pediococcus_unclassified,Leuconostoc_citreum,Lactococcus_lactis,Streptococcus_australis,Streptococcus_lutetiensis,Streptococcus_mutans,Streptococcus_parasanguinis,Streptococcus_salivarius,Streptococcus_sanguinis,Streptococcus_thermophilus,Streptococcus_vestibularis,Butyricicoccus_pullicaecorum,Clostridiaceae_bacterium_JC118,Clostridium_asparagiforme,Clostridium_bolteae,Clostridium_butyricum,Clostridium_clostridioforme,Clostridium_hathewayi,Clostridium_leptum,Clostridium_nexile,Clostridium_perfringens,Clostridium_scindens,Clostridium_sp_KLE_1755,Clostridium_sp_L2_50,Clostridium_symbiosum,Clostridiales_bacterium_1_7_47FAA,Flavonifractor_plautii,Eubacterium_eligens,Eubacterium_hallii,Eubacterium_ramulus,Eubacterium_rectale,Eubacterium_siraeum,Eubacterium_sp_3_1_31,Eubacterium_ventriosum,Anaerostipes_caccae,Anaerostipes_hadrus,Anaerostipes_unclassified,Blautia_hansenii,Blautia_hydrogenotrophica,Blautia_producta,Ruminococcus_gnavus,Ruminococcus_obeum,Ruminococcus_torques,Coprococcus_catus,Coprococcus_comes,Coprococcus_sp_ART55_1,Dorea_formicigenerans,Dorea_longicatena,Dorea_unclassified,Lachnospiraceae_bacterium_1_1_57FAA,Lachnospiraceae_bacterium_1_4_56FAA,Lachnospiraceae_bacterium_2_1_58FAA,Lachnospiraceae_bacterium_3_1_46FAA,Lachnospiraceae_bacterium_3_1_57FAA_CT1,Lachnospiraceae_bacterium_4_1_37FAA,Lachnospiraceae_bacterium_5_1_57FAA,Lachnospiraceae_bacterium_5_1_63FAA,Lachnospiraceae_bacterium_6_1_63FAA,Lachnospiraceae_bacterium_7_1_58FAA,Lachnospiraceae_bacterium_8_1_57FAA,Lachnospiraceae_bacterium_9_1_43BFAA,Roseburia_hominis,Roseburia_intestinalis,Roseburia_inulinivorans,Roseburia_unclassified,Oscillibacter_sp_KLE_1728,Oscillibacter_sp_KLE_1745,Oscillibacter_unclassified,Clostridium_bartlettii,Clostridium_difficile,Peptostreptococcaceae_noname_unclassified,Anaerotruncus_colihominis,Anaerotruncus_unclassified,Faecalibacterium_prausnitzii,Ruminococcaceae_bacterium_D16,Ruminococcus_bromii,Ruminococcus_callidus,Ruminococcus_lactaris,Ruminococcus_sp_5_1_39BFAA,Subdoligranulum_sp_4_3_54A2FAA,Subdoligranulum_unclassified,Catenibacterium_mitsuokai,Coprobacillus_unclassified,Clostridium_ramosum,Clostridium_spiroforme,Erysipelotrichaceae_bacterium_21_3,Erysipelotrichaceae_bacterium_2_2_44A,Erysipelotrichaceae_bacterium_3_1_53,Erysipelotrichaceae_bacterium_5_2_54FAA,Erysipelotrichaceae_bacterium_6_1_45,Eubacterium_biforme,Eubacterium_cylindroides,Eubacterium_dolichum,Holdemania_filiformis,Holdemania_unclassified,Turicibacter_unclassified,Acidaminococcus_intestini,Acidaminococcus_unclassified,Phascolarctobacterium_succinatutens,Dialister_invisus,Megamonas_hypermegale,Megamonas_unclassified,Megasphaera_micronuciformis,Megasphaera_unclassified,Veillonella_atypica,Veillonella_dispar,Veillonella_parvula,Veillonella_unclassified,Fusobacterium_nucleatum,Burkholderiales_bacterium_1_1_47,Parasutterella_excrementihominis,Sutterella_wadsworthensis,Bilophila_unclassified,Bilophila_wadsworthia,Desulfovibrio_piger,Citrobacter_unclassified,Enterobacter_cloacae,Escherichia_coli,Escherichia_unclassified,Klebsiella_oxytoca,Klebsiella_pneumoniae,Klebsiella_unclassified,Proteus_mirabilis,Haemophilus_parainfluenzae,Akkermansia_muciniphila,Methanobrevibacter_unclassified,Collinsella_stercoris,Bacteroides_clarus,Bacteroides_plebeius,Lactobacillus_delbrueckii,Lactobacillus_sakei
PRISM.7122,0.0,0.0,0.0,0.0,9.19e-05,0.0,0.0,0.0,0.0,0.0,4.1899999999999995e-05,0.0,0.0099457,0.0,0.0,0.0,0.0,0.0,0.007742100000000001,0.000532,0.0,0.0,0.0,0.33668899999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26306799999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3700000000000005e-05,0.0,0.0,0.0,8.62e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.21e-05,0.0,0.0,0.0,0.0021691999999999996,0.0014617,0.0,0.0031838,0.0,0.0,0.0,0.009246899999999999,0.0183327,0.0,0.00028080000000000005,0.0056958,0.0068057000000000005,0.0010527999999999998,0.0,0.0002761,0.0193466,0.0,0.0082644,0.004574,0.004268,0.0,0.0,0.0,0.0003427,0.0,0.0030326999999999997,0.0,2.12e-05,0.0,0.0094473,0.0,0.0141988,0.0020042000000000003,0.0111296,0.0007974999999999999,0.0027952,0.0,0.0,0.0,0.0018759,0.0,0.0,0.00037880000000000005,0.0146055,2.34e-05,0.0,0.0010586999999999999,0.0005017999999999999,0.0010717,0.0,4.6e-06,0.0004428,0.0029820999999999997,0.0001633,0.0,0.0529697,0.0853113,0.0,0.0,0.0,0.0029528,0.0012420999999999999,0.0,0.0,0.0014929000000000001,0.0,0.00017409999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0207848,0.0,0.0021138999999999997,0.0023059,0.0,1.07e-05,0.0001335,0.0009988,0.0,0.0,0.0,0.0,0.0,0.0008941000000000001,0.0006894000000000001,0.0,0.0,0.0,0.0,0.0312739,0.0,0.0,0.0,0.0,3.74e-05,0.0,0.0,6.31e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001744,0.0,0.00027889999999999995,0.0,0.0,0.0,0.0,0.0,5.9e-06,0.0047847,0.0,0.0,0.0,0.0,0.0,0.0
PRISM.7147,1.92e-05,0.0,9.4e-06,0.0,1.47e-05,1.8000000000000001e-06,8e-06,0.0,0.0,0.0,7.38e-05,0.0,0.0126869,9.1e-06,0.0,0.0,0.00021040000000000002,0.0,0.0026584,0.0005071,0.0,4.5799999999999995e-05,0.0031160999999999997,0.0,0.0,1.66e-05,0.0,0.009185700000000002,0.0,1.05e-05,0.006758,0.0,0.0,0.0490753,0.0064735,0.030092400000000002,0.0675154,0.0042691000000000005,0.0,0.0,0.0,0.0020277999999999997,0.0011897000000000001,0.0,1.7199999999999998e-05,0.0007077000000000001,0.0,0.0,3.12e-05,5.0999999999999995e-06,0.0,0.0255914,3.9899999999999994e-05,3.2e-06,0.0001276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.55e-05,0.0,5.4600000000000006e-05,0.0019686,0.0027037,1.6899999999999997e-05,6.64e-05,6.809999999999999e-05,0.0,4.16e-05,8.99e-05,0.00028339999999999995,0.0,0.0,4.22e-05,0.0001615,1.29e-05,0.0,0.0,0.0,0.0675489,0.00010520000000000001,0.0,0.0008765000000000001,0.020763,0.0035015999999999997,0.0055005,0.220046,0.0006889999999999999,0.0008812000000000002,0.0033917,0.0,0.0029855,0.0,0.0,0.0045745,0.0001791,0.0008014,0.013518200000000001,0.0055412,0.0018670000000000002,0.0215644,0.0,0.004367899999999999,0.0189101,0.0,9.159999999999999e-05,0.00048120000000000004,0.0003049,7.400000000000001e-06,0.0,0.0,0.0,0.0027115999999999998,0.0,0.000103,0.0017704999999999997,0.0,0.0004297,0.0212419,0.0023494,0.0,0.0,0.0,0.0021238000000000003,0.0002023,0.0,0.001876,0.0,0.0,0.0842688,0.0043927,5.31e-05,0.038506599999999995,0.0131336,0.0636125,0.0,0.0448844,0.0,3.16e-05,0.0,0.0,4.429999999999999e-05,2.58e-05,0.0,6.6e-05,0.0,0.0,0.0,0.0,0.0004349,6.97e-05,0.0016804000000000003,0.0,7.6e-06,0.0,0.0791188,0.0,0.0,0.0,0.0,1.7800000000000002e-05,0.0,2e-06,4.970000000000001e-05,0.0,0.0021445,0.0056722000000000005,0.0,0.00011420000000000001,0.0,0.0,0.0,0.0,7.209999999999999e-05,4.93e-05,0.0,0.0,3.39e-05,0.0,2.7000000000000002e-05,3.26e-05,0.0,0.0,0.0,0.0,0.0,0.0
PRISM.7150,0.0,0.0,0.0,0.0017539,0.0403279,1.91e-05,2.99e-05,4.2999999999999995e-06,0.0001758,0.0,0.10095499999999999,0.0058155,0.0130885,3.16e-05,0.0,0.0,0.0030249,0.0,0.0346816,0.0106071,0.0,3.71e-05,7.000000000000001e-06,0.00010180000000000001,0.0,7.2999999999999996e-06,1.17e-05,0.0184412,0.0,2.6300000000000002e-05,0.0375723,0.0,0.0,7.58e-05,1.26e-05,0.0924908,0.0257563,0.0,3.1e-06,5.7000000000000005e-06,0.0,0.0,3.45e-05,0.0,6.54e-05,0.0,0.0,0.0,5.4600000000000006e-05,0.11083399999999999,0.0,0.025156099999999997,8.63e-05,0.0,5.9e-06,0.0,0.0,0.07936230000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002723,0.0,0.0,0.0,0.0,0.0,9.070000000000001e-05,0.0,0.0,0.0019437999999999999,0.0011160999999999999,0.0112897,0.00011970000000000001,0.0057235,0.00040019999999999997,0.0,0.0,8.41e-05,0.0023561999999999997,0.0,3.6e-05,0.0014018,0.0064632000000000005,0.0068182,0.0,7.26e-05,0.0012622999999999998,0.0,0.0025514,9.690000000000001e-05,0.0002987,1.62e-05,0.0093571,0.0,0.013997799999999998,5.4600000000000006e-05,0.0,1.7899999999999998e-05,0.0002093,3.72e-05,0.0,0.0,0.0271556,0.0004974000000000001,0.0006273,0.009798399999999999,0.0032733000000000003,0.0,0.0020814,0.0,0.0,0.0166713,0.0,0.0201176,6.26e-05,1.3300000000000001e-05,0.0004446000000000001,0.0,0.0,0.0001261,0.0011874000000000001,0.0,0.0008816000000000001,0.0,0.0,0.0002032,0.0008613999999999999,4.57e-05,0.0,0.0,0.0,0.0010960000000000002,0.0043711,0.0,0.0,0.0027024,0.0001607,0.0232824,3.229999999999999e-05,8.49e-05,0.0,4.4e-06,0.0121326,0.0028853999999999998,0.0144256,0.0,1.3800000000000002e-05,0.0,0.0,0.00016269999999999997,0.0001276,3.75e-05,0.0,8.950000000000001e-05,0.0,0.0,0.0,0.0006439,0.0007583,9.82e-05,0.0,1.99e-05,0.0,0.0391964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.27e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055805999999999994,0.0017116,0.0,2.51e-05,0.0,0.0,0.0,0.02458,0.0,0.0,0.0,0.0,0.0,0.0
PRISM.7153,0.0,0.0,0.0,0.0,5.6399999999999995e-05,0.0,0.0,0.0,0.0,0.0,2.8100000000000002e-05,0.0,0.0,0.0,0.0,0.0,0.0027295,0.0056557,0.0001082,0.0004977,0.0,0.0,0.0,4.93e-05,0.0,0.0,0.0,0.107277,0.0,0.0,0.21805100000000002,0.0,0.0,0.0,0.0,0.0,0.00010149999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.17e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0300000000000001e-05,0.0,0.0,0.0004673999999999999,0.0009574,8.900000000000001e-06,0.0,0.0,0.0,0.0003613,0.00074,0.000352,0.0,0.0056292,0.0013478,0.0,0.0009912,0.0,4.16e-05,0.0,0.0,0.0010041,0.0003835,0.0,0.0,0.0098075,0.0008129,0.385641,0.0,8.740000000000001e-05,0.0083762,0.0,0.0017112000000000002,0.0,9.19e-05,0.0,0.0001329,0.0080567,0.0014676,0.043272500000000005,0.0,0.0,0.0,0.001145,0.033956099999999996,0.0,0.0,0.00025069999999999997,0.0,2.2899999999999998e-05,0.0,0.001859,0.00035239999999999995,0.0005406,0.0001655,0.0001053,0.0,0.0005254,0.0,0.0090171,0.0084787,0.0,0.0,0.0038437,0.0060695,0.0,0.0,0.0028584,0.0,0.0,0.0009593,2.47e-05,0.0032427,0.0,0.0,0.0444685,0.0,0.0026967,0.0,0.0009193,0.0006279,0.0,0.0001372,0.0,0.0,0.004600899999999999,0.0,0.0,0.0,0.0057588,0.0008419,0.0,0.0,0.0,4.5600000000000004e-05,0.0,0.045466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.229999999999999e-05,0.0,0.003092,0.0006542000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.00665,0.0011107,0.0,0.0,0.0,0.0,1.62e-05,7.3e-05,0.0,0.0,0.0,0.0,0.0,0.0
PRISM.7184,0.0,0.0,0.0,0.0,2.59e-05,0.0,0.0,0.0,0.0,0.0,9.77e-05,0.0,0.0019697,0.0243928,0.0,0.0,0.0002912,0.0,0.0017204999999999998,0.0005972999999999999,0.0,7.400000000000001e-06,0.0,0.00012059999999999999,0.0,0.0,0.0,0.002043,0.0,0.0,0.0091959,0.0,0.0,2e-06,0.0047228,0.021823,0.0042856000000000005,0.007545100000000001,0.0,0.0,0.0,0.0,0.004460100000000001,0.0,0.005348100000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0202092,0.007098100000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.06e-05,2.9199999999999998e-05,0.0,0.0,0.0,3.41e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0006969,0.0,5.01e-05,0.0,0.0,0.0032551999999999998,0.0019559,0.0,5.6899999999999994e-05,0.0,0.0,0.0,0.0,0.009767200000000002,0.0,0.013027,0.00046550000000000004,0.010682200000000001,0.0,0.0,0.0003992,0.0038055,0.0,0.008064,0.0002987,0.0008402999999999999,0.0,0.039956099999999994,0.028419299999999998,0.0002417,0.0,5.5e-06,0.0,0.0,0.0002124,0.0004133,0.0,0.0,0.0012766,0.0008606,0.0025278,0.010654799999999999,0.0,0.0,0.0,0.0,0.0430486,0.0,0.0,0.0050272,7.879999999999999e-05,0.00012450000000000002,0.0,0.0,0.0041394,9.18e-05,0.0,3.5e-05,0.0,0.0,0.0,0.017217,0.0005005,0.0,0.0,0.0,0.0140143,0.0001538,0.0,0.0009288,0.0012717,0.0009568999999999999,0.102199,0.0051294,0.0952192,0.0,0.0,0.116156,0.0044621,0.0235076,0.0,0.00022370000000000002,5.93e-05,0.0,0.00011,9.96e-05,0.0,9.240000000000001e-05,0.000145,0.0,0.0,6.3e-05,0.0,0.0,0.0,0.0,5.18e-05,0.0,0.29839499999999997,0.0,0.0,0.0,0.0,0.0004681,0.0,2.7000000000000004e-06,0.0,0.0,0.0,0.0,0.0020823,0.0044647,0.0010780999999999998,0.0,0.0,0.0,0.00032839999999999996,0.0003037,0.0,0.0,0.0,0.0,2.6700000000000002e-05,0.0021295999999999997,0.0,0.0,0.0,0.0,0.0,0.0
PRISM.7238,0.0,0.0,0.0,0.0,6.42e-05,0.0,0.0,0.0,0.0,0.0,0.16183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0001379,0.0,0.0,0.0,0.0,0.0,0.282435,0.0,0.0,0.0,0.0,0.0,0.028891399999999998,0.0,0.0,0.058409800000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007867999999999999,0.0003449,0.0,0.0018055999999999997,0.0005313,0.0002379,0.0008951,0.0018646000000000001,0.0017739000000000001,0.0821794,0.10018400000000001,0.0122705,0.0008382999999999999,0.0008509,0.0,0.0,0.0023776,0.0008974,0.0004684,0.0,0.0003952,0.0003971,0.0,0.0,0.0,0.07635789999999999,0.0,3.53e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074842,0.0,0.0,0.0,0.0,0.0,0.0,0.0017311,0.0,0.0028401999999999998,0.034326499999999996,3.65e-05,0.0028423000000000003,0.0,0.0,0.0,0.0,0.0,0.0003346,0.0,0.0,0.0141434,0.0,0.0,1.52e-05,0.0,0.0,0.0,0.0002432,0.0,0.0004762,0.0,0.0,0.0,0.00012590000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014140000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.00010109999999999999,0.0,0.0008606,0.0003522,0.0,0.0009759,0.0033271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0199999999999999e-05,0.0,0.0001205,0.0,0.0,0.0,0.0001884,3.32e-05,0.0,0.10690799999999999,0.0,3.68e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029769999999999997,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0013650000000000001,0.0,0.0,0.0,0.0,0.0,0.0
PRISM.7406,0.0,0.0,0.000521,0.0,1.2e-05,7e-07,0.0,0.0,0.0,0.0,0.00012849999999999998,0.0,0.0,2.61e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24e-05,9.4e-06,5.8599999999999995e-05,0.0,4.8e-06,3e-06,0.0,0.0,5.6e-06,3.66e-05,0.0,0.0,5.21e-05,3e-06,0.00011020000000000001,9.27e-05,0.0,0.0,0.0,0.0,0.0,1.6e-06,0.0,2.57e-05,0.0,0.0,0.0,3.79e-05,0.0,0.0,1.3e-06,3.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.009320700000000001,0.0104399,0.0,0.0,0.0,0.0,0.0,0.0,1.7899999999999998e-05,0.0,0.0,0.0,0.0,0.0009371000000000001,0.0,0.06896820000000001,0.0002597,0.0008426999999999999,0.0021847,0.0002434,0.0021629,0.0004927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.130142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9399999999999995e-05,0.0,0.0,0.0001639,5.3e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.560321,1.05e-05,0.0163758,0.0,9.1e-06,0.0,0.0,9.699999999999999e-06,3.9200000000000004e-05,1.36e-05,0.0,0.0,0.0,0.0,7e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1e-05,1.4e-06,1.67e-05,0.0,0.0,1.9e-06,0.0,0.0,0.0024990999999999998,0.0,0.0,0.00017250000000000002,0.0,2.47e-05,0.0,1.29e-05,0.0,0.0,0.00010859999999999998,0.0,8.599999999999999e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2e-06,0.0,7.400000000000001e-06,0.0,0.0,1.6899999999999997e-05,0.0,8.290000000000001e-05,0.0027088,0.00037519999999999996,0.0261557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138515,0.019218400000000004,0.0,0.0,2.78e-05,0.0,0.0,2.3e-05,0.0,0.0,0.0,0.0,0.0,0.0
PRISM.7408,0.0,0.0,5.8399999999999997e-05,0.0,2.5300000000000002e-05,7.9e-06,1.1900000000000001e-05,0.0,0.0,0.0,5.9e-05,0.0,0.0,0.0489601,0.0,0.0,0.0002469,0.0,0.0040322,7.780000000000001e-05,0.0,3.01e-05,0.0010425,0.00035580000000000003,0.0,1.24e-05,1.24e-05,0.0022500999999999997,0.0044483000000000005,0.0998566,0.162357,0.0053675,0.0,6.330000000000001e-05,0.0038040999999999995,0.0015946,0.0481726,0.004027,0.0,0.0,0.0,0.0053911,0.03847419999999999,0.0,0.0054133,0.0,0.0018655999999999998,0.0050043,7.32e-05,0.0024123,0.0,0.0084292,0.0754191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013353299999999999,0.017070699999999998,0.0,6.500000000000001e-05,0.012966,0.0,0.0,2.12e-05,0.0,0.0,0.0,0.0,0.007443099999999999,0.0048501,0.007364699999999999,6.37e-05,0.0024665,0.0107988,0.000342,0.0005987999999999999,0.0006955,0.0112664,0.0,0.0014643,0.0001756,0.0009932,3.4e-06,0.004487,3.1e-06,0.0,0.0,0.0021915,0.00032110000000000005,0.00048660000000000006,1.5399999999999998e-05,0.0097522,0.0,0.012074600000000001,1.65e-05,0.0,0.0,0.0,4.8100000000000004e-05,3.0299999999999998e-05,0.0007639999999999999,0.0,0.0007088999999999999,0.048617900000000006,0.0005747,0.06606519999999999,0.0021584,0.004210899999999999,0.0,0.0,1.39e-05,8.04e-05,0.005863,0.0026777,0.0054765000000000005,1.53e-05,5.6200000000000004e-05,0.0003958,6.91e-05,9.300000000000001e-05,0.0036803000000000005,0.00047389999999999997,0.0,0.0072694000000000005,0.0,0.0066236,0.0047996,0.0,0.0,0.0017671,0.0016447,5.9699999999999994e-05,0.0,0.0,0.0,0.0,0.00028560000000000006,1.05e-05,1.1e-05,0.0,2.4e-06,0.0386771,0.0009262000000000001,0.003848,0.0,0.0005802,0.000254,0.0,0.0,1.3800000000000002e-05,0.0,0.0,0.0003516,0.0,0.0,0.0010958,0.0,0.0,0.0,0.0,1.22e-05,0.0,3.18e-05,0.0,0.0,0.0,0.0,2e-06,0.0,0.00023740000000000002,6.78e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0890323,0.024878599999999997,0.0,0.0,4.26e-05,0.0,0.0,4.3700000000000005e-05,0.0,0.0,0.0,0.0,0.0,0.0
PRISM.7421,0.0,0.0,0.0001036,0.0,1.52e-05,0.0,0.0,0.0,0.0,0.00015680000000000002,3.2200000000000003e-05,0.0,0.0,0.0,0.0,0.0,0.0063928000000000006,0.0,0.011347,0.0,0.0,0.0,0.0,4.3200000000000007e-05,4.77e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0389299,0.0,0.0306048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.72e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15e-05,0.0,0.0,3.53e-05,5.22e-05,0.0,0.0,0.0,8.8e-06,0.0,5.07e-05,0.00028930000000000004,0.00025760000000000003,8.52e-05,0.0,0.0001558,0.0028753,0.0334833,0.0003162,0.036777300000000006,6.68e-05,0.0001494,0.000165,0.0002988,0.00034889999999999997,0.0,0.0004918,0.0012462999999999999,0.037661099999999996,0.0042115,0.0,5.5299999999999996e-05,0.0,0.0,5.73e-05,0.0001214,0.0012837,0.006332899999999999,0.0016081,0.0,0.291207,0.0,0.0009273999999999999,0.0,0.0,0.0006817,0.0,7.18e-05,0.0,0.0009369,0.0120262,0.0001338,0.0040525,0.0,0.0,0.0,0.008138600000000001,0.0291235,0.0,0.0,0.0038749,0.0,0.0019072,0.0,1.74e-05,0.00017869999999999998,0.013384799999999999,0.0003692,0.0022122,0.0,0.0,0.007495900000000001,0.0348389,0.0008376,0.0,0.0,0.0,0.0089038,2.3199999999999998e-05,0.0,0.0007928999999999999,6.409999999999999e-05,6.73e-05,0.132732,0.0,0.0376164,0.0,0.0,0.0693753,0.0,0.007732999999999999,0.0,0.00041470000000000005,4.48e-05,0.0,4.0799999999999996e-05,2.5300000000000002e-05,0.0,0.0002005,0.0,0.0,0.0,0.00014780000000000001,0.00027889999999999995,4.15e-05,0.0,0.0,3.53e-05,0.0,0.10671300000000002,0.0,0.0,0.0,0.0,5.17e-05,9.699999999999999e-06,8.25e-05,0.00028760000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023141,0.0001875,0.0,0.0,0.0,0.00046429999999999996,1.1599999999999999e-05,0.0001383,0.0,0.0,0.0,0.0,0.0,0.0
PRISM.7445,0.0,0.0,0.0,0.0,0.00010609999999999999,0.0,0.0,0.0,0.0,0.0,0.0016724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05e-05,0.0,0.0,0.00025699999999999996,0.0,0.0001192,0.0003616,0.0,0.0,0.0,0.0,0.0,0.0001205,0.0,0.0,0.0001296,3.32e-05,0.0005245,0.0007843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004141,0.0196046,0.0,0.0,0.0022989,0.0016039000000000001,0.0008083999999999999,0.0,0.00028710000000000004,0.0,0.0,0.0,0.0,0.0013949000000000001,0.0,0.0,2.07e-05,0.0024669,0.0015579,0.0,0.0162715,0.0009642000000000001,0.0,0.0,0.0,0.0098276,0.0,0.0276461,0.0,0.0,0.0,0.0,0.0028588,0.0,0.0,0.0,0.0,0.0006072,0.0,0.0,0.0,0.0014192999999999999,0.0,0.0,0.0,0.0,0.15774200000000002,0.0,0.0067143,0.0,0.0,0.0546121,0.0012487,0.0152084,0.0,0.0,0.0,0.0,1.92e-05,0.0,0.0082076,0.0088918,0.003573,0.0185128,0.0,7.06e-05,0.015393200000000001,0.031867900000000005,0.0005952999999999999,0.0,0.0,0.010827799999999999,0.0,1.6100000000000002e-05,0.0,0.0004277,0.0,0.0,0.0,0.0017115,0.0,0.0,0.0,0.0,0.00021869999999999998,0.0,9.719999999999999e-05,0.0,0.0,0.0,0.0,0.0708831,0.0,0.0019299,0.0323707,0.0,0.0018248000000000001,0.0,0.0,0.0,0.0005871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008427999999999999,0.0,0.0003041,0.0,0.0,0.0,0.0,0.0011839,0.0,0.0,0.0,0.0,0.0011029000000000002,0.0047573,0.0,0.0,0.0,0.0,0.0,0.0,0.41103,0.0206805,0.0004343,0.0,0.0007667999999999999,0.0,7.000000000000001e-06,0.0007271,0.0,0.0,0.0,0.0,0.0,0.0
