run_accession	sample_title
ERR2969312	12021.BF.13.1
ERR2969313	12021.BF.13.2
ERR2969316	12021.BF.14.1
ERR2969318	12021.BF.14.3
ERR2969321	12021.BF.2.2
ERR2969323	12021.BF.2.4
ERR2969331	12021.BF.27.1
ERR2969335	12021.BF.31.1
ERR2969336	12021.BF.31.2
ERR2969339	12021.BF.32.1
ERR2969344	12021.BF.34.2
ERR2969345	12021.BF.34.3
ERR2969347	12021.BF.35.1
ERR2969350	12021.BF.35.4
ERR2969357	12021.BF.40.4
ERR2969358	12021.BF.6.1
ERR2969361	12021.BF.7.2
ERR2969364	12021.BF.9.1b
ERR2969366	12021.BF.9.3
ERR2969372	12021.BP.13.2
ERR2969373	12021.BP.13.3
ERR2969375	12021.BP.14.1
ERR2969376	12021.BP.14.2
ERR2969378	12021.BP.14.4
ERR2969384	12021.BP.23.2
ERR2969389	12021.BP.30.4
ERR2969395	12021.BP.36.3
ERR2969398	12021.BP.39.2
ERR2969405	12021.BP.8.2
ERR2969408	12021.EF.1.1
ERR2969411	12021.EF.1.4
ERR2969412	12021.EF.11.3
ERR2969415	12021.EF.12.2
ERR2969418	12021.EF.13.1
ERR2969424	12021.EF.15.4
ERR2969425	12021.EF.18.1
ERR2969426	12021.EF.18.2
ERR2969427	12021.EF.18.3
ERR2969432	12021.EF.3.4
ERR2969434	12021.EF.33.2
ERR2969435	12021.EF.33.3
ERR2969436	12021.EF.33.4
ERR2969440	12021.EF.34.4
ERR2969442	12021.EF.41.2
ERR2969443	12021.EF.41.3
ERR2969444	12021.EF.41.4
ERR2969448	12021.EF.43.4
ERR2969450	12021.EF.46.2
ERR2969451	12021.EF.46.3
ERR2969456	12021.EF.47.4
ERR2969460	12021.EF.48.4
ERR2969462	12021.EF.51.3
ERR2969463	12021.EF.51.4
ERR2969467	12021.EF.54.4
ERR2969468	12021.EF.55.1
ERR2969471	12021.EF.55.4
ERR2969472	12021.EF.56.1
ERR2969475	12021.EF.56.4
ERR2969479	12021.EF.63.4
ERR2969480	12021.EF.65.1
ERR2969483	12021.EF.66.1
ERR2969487	12021.EF.7.1
ERR2969490	12021.EF.7.4
ERR2969499	12021.EF.75.1
ERR2969504	12021.EP.11.1
ERR2969509	12021.EP.12.2
ERR2969511	12021.EP.12.4
ERR2969512	12021.EP.14.1
ERR2969513	12021.EP.14.2
ERR2969514	12021.EP.14.3
ERR2969517	12021.EP.2.2
ERR2969520	12021.EP.21.2
ERR2969522	12021.EP.21.4
ERR2969523	12021.EP.23.1
ERR2969525	12021.EP.23.3
ERR2969528	12021.EP.25.2
ERR2969533	12021.EP.27.3
ERR2969534	12021.EP.27.4
ERR2969538	12021.EP.29.4
ERR2969539	12021.EP.33.1
ERR2969546	12021.EP.39.4
ERR2969558	12021.EP.49.4
ERR2969563	12021.EP.54.1
ERR2969564	12021.EP.54.2
ERR2969566	12021.EP.54.4
ERR2969568	12021.EP.57.2
ERR2969569	12021.EP.57.3
ERR2969574	12021.EP.58.4
ERR2969575	12021.EP.60.1
ERR2969579	12021.EP.64.1
ERR2969591	12021.EP.70.4
ERR2969594	12021.EP.72.3
ERR2969601	12021.EP.77.2
ERR2969604	12021.EP.9.2
ERR2969314	12021.BF.13.3
ERR2969315	12021.BF.13.4
ERR2969317	12021.BF.14.2
ERR2969319	12021.BF.14.4
ERR2969325	12021.BF.23.2
ERR2969332	12021.BF.27.2
ERR2969334	12021.BF.27.4
ERR2969337	12021.BF.31.3
ERR2969338	12021.BF.31.4
ERR2969340	12021.BF.32.2
ERR2969343	12021.BF.34.1
ERR2969346	12021.BF.34.4
ERR2969349	12021.BF.35.3
ERR2969351	12021.BF.36.2
ERR2969352	12021.BF.36.3
ERR2969353	12021.BF.36.4
ERR2969354	12021.BF.40.1
ERR2969355	12021.BF.40.2
ERR2969362	12021.BF.7.3
ERR2969363	12021.BF.7.4
ERR2969367	12021.BF.9.4
ERR2969371	12021.BP.13.1
ERR2969377	12021.BP.14.3
ERR2969382	12021.BP.22.4
ERR2969383	12021.BP.23.1
ERR2969386	12021.BP.30.1
ERR2969387	12021.BP.30.2
ERR2969388	12021.BP.30.3
ERR2969390	12021.BP.31.1
ERR2969392	12021.BP.31.3
ERR2969393	12021.BP.36.1
ERR2969396	12021.BP.36.4
ERR2969397	12021.BP.39.1
ERR2969399	12021.BP.39.3
ERR2969400	12021.BP.39.4
ERR2969401	12021.BP.4.2
ERR2969403	12021.BP.4.4
ERR2969404	12021.BP.8.1
ERR2969409	12021.EF.1.2
ERR2969410	12021.EF.1.3
ERR2969413	12021.EF.11.4
ERR2969414	12021.EF.12.1
ERR2969420	12021.EF.13.3
ERR2969422	12021.EF.15.2
ERR2969423	12021.EF.15.3
ERR2969428	12021.EF.18.4
ERR2969430	12021.EF.3.2
ERR2969431	12021.EF.3.3
ERR2969433	12021.EF.33.1
ERR2969437	12021.EF.34.1
ERR2969446	12021.EF.43.2
ERR2969449	12021.EF.46.1
ERR2969453	12021.EF.47.1
ERR2969455	12021.EF.47.3
ERR2969459	12021.EF.48.3
ERR2969464	12021.EF.54.1
ERR2969470	12021.EF.55.3
ERR2969473	12021.EF.56.2
ERR2969474	12021.EF.56.3
ERR2969476	12021.EF.63.1
ERR2969481	12021.EF.65.2
ERR2969486	12021.EF.66.4
ERR2969489	12021.EF.7.3
ERR2969493	12021.EF.70.3
ERR2969498	12021.EF.72.4
ERR2969506	12021.EP.11.3
ERR2969507	12021.EP.11.4
ERR2969515	12021.EP.14.4
ERR2969516	12021.EP.2.1
ERR2969518	12021.EP.2.3
ERR2969519	12021.EP.21.1
ERR2969521	12021.EP.21.3
ERR2969530	12021.EP.25.4
ERR2969532	12021.EP.27.2
ERR2969535	12021.EP.29.1
ERR2969536	12021.EP.29.2
ERR2969544	12021.EP.39.2
ERR2969545	12021.EP.39.3
ERR2969548	12021.EP.44.2
ERR2969549	12021.EP.44.3
ERR2969551	12021.EP.45.1
ERR2969556	12021.EP.49.2
ERR2969557	12021.EP.49.3
ERR2969559	12021.EP.51.1
ERR2969561	12021.EP.51.3
ERR2969562	12021.EP.52.1
ERR2969565	12021.EP.54.3
ERR2969567	12021.EP.57.1
ERR2969570	12021.EP.57.4
ERR2969576	12021.EP.60.2
ERR2969577	12021.EP.60.3
ERR2969580	12021.EP.64.2
ERR2969581	12021.EP.64.3
ERR2969583	12021.EP.65.1
ERR2969586	12021.EP.66.3
ERR2969588	12021.EP.70.1
ERR2969592	12021.EP.72.1
ERR2969593	12021.EP.72.2
ERR2969596	12021.EP.73.1
ERR2969602	12021.EP.77.3
ERR2969603	12021.EP.9.1
ERR2969320	12021.BF.2.1
ERR2969322	12021.BF.2.3
ERR2969324	12021.BF.23.1
ERR2969326	12021.BF.23.3
ERR2969327	12021.BF.23.4
ERR2969328	12021.BF.24.1
