,Glutamate,Indole-3-acetate,Valine,Taurine,Histidine,4-Hydroxybenzoate,Betaine,Cytosine,Glutamine,Sarcosine,Thymidine,Tryptophan,Dimethylamine,Hypoxanthine,Citrate,Malate,Phenylalanine,Ascorbate,Creatine,Propionate,Ornithine,Tyrosine,"5,6-Dihydrouracil",Glutarate,Choline,Acetate,Methionine,Urea,2'-Deoxyuridine,2-Aminobutyrate,Threonine,N-Methylhydantoin,Guanosine,Acetoin,Arabinose,O-Acetylcarnitine,beta-Alanine,Phenylacetate,Lysine,Ribose,Valerate,"N,N-Dimethylglycine",Phenol,4-Hydroxyphenylacetate,Ethanolamine,2-Oxoglutarate,Proline,2-Hydroxybutyrate,Fucose,Lactate,Trimethylamine,2'-Deoxyinosine,Ethanol,Inosine,DL-methionine-sulfoxide,Uracil,Acetaminophen,Isopropanol,5-Aminopentanoate,Galactose,Aspartate,Xylose,p-Cresol,Formate,Arginine,beta-Pseudouridine,N-Acetylglucosamine,3-Hydroxybutyrate,Pyruvate,Lactose,Fumarate,Uridine,Butyrate,3-Phenyllactate,Asparagine,Cadaverine,Glycine,Tyramine,"1,3-Dihydroxyacetone",Desaminotyrosine,Methanol,4-Aminobutyrate,Pyroglutamate,2-Hydroxyglutarate,N-Carbamoyl-beta-alanine,Putrescine,Methylsuccinate,Thymine,4-Hydroxyphenyllactate,Propylene glycol,Nicotinate,Allantoin,Serine,Carnitine,Isobutyrate,Isoleucine,N-Acetylneuraminate,Cytidine,Alanine,Urocanate,Isovalerate,Glucose,Succinate,Creatinine,Glycerol,Indole-3-lactate,Citrulline,Methylamine,myo-Inositol,Leucine
Glutamate,0.0,2.726075189662915,2.3397709282871113,4.264673670741127,3.629013208578364,3.9084854217485168,2.843530056075887,2.833185356119847,1.7134917291326124,2.7126951391961205,2.714527894345696,3.281637233546491,3.5520783222574526,4.8079218287376335,2.5281396674003576,2.0370601894977116,3.2419775836009186,2.973943816966439,2.7286733341349407,2.4270884090796545,1.8832454878548563,3.5494782090598793,3.885440603362979,4.84235446828304,3.368473448092875,2.8494363999746875,3.083517588223627,3.526622429869686,2.707413662600952,2.2503876145944477,2.6839715246649494,4.18761906642184,2.864410423689525,2.5691182833565254,3.858040618639635,2.2262911684274393,4.227202688456513,2.547084548399317,1.9925517930033834,2.6638081041169595,3.051718193288993,2.400821762589092,2.860959127798527,3.7905927129778365,3.3445477292600767,2.7161577160484707,3.224954640145612,2.175947589486842,2.524172306579306,2.3558273610603195,3.369951695318179,3.3835753786070124,3.0062933008133395,3.2879716883531005,2.6355678211503224,3.5054923859423037,3.4029060781135994,2.865105415916679,5.486318391763107,3.569861946753055,2.1625087072954674,3.2501607020245697,3.5327111547901873,3.3062071651659393,2.529170912797521,2.826820595925014,2.2147737766695004,3.1330981597696237,2.878554003429168,3.6521921726999285,4.427530135720234,2.873857658739632,2.6939658575259164,3.1502335950440834,2.563908402675383,4.031432587101289,2.469355776084745,3.9942625173997963,3.443965260539196,3.430804613991769,2.5339442901538827,5.860431395003075,2.942328674380512,1.8543261056780183,4.762645717866887,3.193029860370166,2.2205025561203557,3.8843496684989574,3.159033495124058,2.7800387499573023,2.829954833827931,3.9176215712945663,2.6687490738667625,2.6053486219741666,2.522824331360687,2.40837653955604,2.3368935447656156,2.628528090974393,2.639018910975131,4.73112730950046,2.8290484922597066,3.2852320712040113,3.73444618894299,4.239230648399105,2.7732705640271993,3.0973751780638348,2.1715094965971713,2.743214714323342,5.1785980171270065,1.9556526147196236
Indole-3-acetate,2.726075189662915,0.0,3.1211857752281316,4.119003838472909,3.9471939561467484,3.7500136424528376,3.02318236980698,3.2100854341187226,2.748078276818494,2.8184721276855518,2.926076472587238,2.3994245298276957,3.4372190221685424,4.5846746480544915,2.7259157805627505,2.7953287952186794,3.4514521292408675,3.199965982778197,3.045547441890239,2.5215815279711524,3.137049438392163,3.6591832929090358,4.136810077631994,4.891401366196539,3.6652350815046897,2.8324251403924747,4.176297353196374,3.4487679013680155,3.0001370879765483,3.1672065498904525,3.3094291152989364,3.9482896298724888,3.345712707858665,2.8672452519260823,4.231385227967082,2.5308783783674413,4.300391003678847,2.50000938295399,2.9874008994836707,3.178696613209809,3.0978449732743023,2.413024045809488,2.9129634949471073,3.7289101949257613,3.507446792976263,2.888102864086427,3.3798974282846417,2.937755651978081,3.207320747296483,2.8691810780009335,3.257323860151935,3.4020047852576236,3.1237311366512395,3.4637765919677443,3.765759235916555,3.824467866145451,3.350848774112058,3.070407077170387,5.239406675772565,3.878600195092007,3.0259294469935547,3.836191300112455,3.606250696173695,3.1131254164589923,3.4570362062109603,3.1869605962718386,2.7253963623917135,3.229190434658624,2.8208868677527192,3.9214621536603023,4.05863389373639,3.2304492237187636,2.7820883836247847,3.504925337586643,2.745799066591317,3.9889518866858964,2.688076937494908,4.0734141612738,3.5148301125486117,3.253241213083927,2.7305677432497286,5.851053865341706,3.346363303697013,2.6729277603394572,4.954071566724838,3.472807637738591,2.564920242501748,3.9922053084313585,3.1129682984975977,3.203691044197102,2.888199577143073,4.156254325137732,3.1637669851126944,2.9856842133918766,2.6191520880517927,2.9148364846884096,2.693770281721815,3.0477480346601764,3.039301442977993,4.545009264676339,2.8431288391317966,3.6490602472949414,4.050423718102219,3.9979682919767803,3.2411107633094822,1.9505494991553878,3.1721080003822983,2.8994228930228654,5.429485707624764,3.021505974653735
Valine,2.3397709282871113,3.1211857752281316,0.0,4.712122615448404,3.062448739966598,4.098941226385025,3.2284471194946884,2.782511786413675,1.9371961102443107,3.0134426523636493,2.607746964067287,2.753735871890394,3.077604198079192,4.6357540330649325,2.726479063086705,2.7830831315801827,2.5711580141537893,2.9182093522208095,2.8326718536562563,2.3199780369522367,2.123149616936881,3.0077286137654338,3.9861561307646523,5.966548800505385,3.3254502032655995,2.689322400502131,3.411973615366743,3.424514672893342,2.7283745308301057,1.2437871393927638,1.5293309583932138,4.2587210162405436,2.89450196334128,1.9861852342730013,4.319520470263554,2.319310978341232,4.942921810291061,3.0924656943814783,2.0744258969909244,2.755588901673249,3.8404102506417797,2.5301188588664734,2.4401733086904085,4.23333886729413,3.178246015052623,3.5907092119075315,3.3884565263339,1.878245601580696,2.893387789383147,2.4028051395934535,3.0624326607463543,3.321713256583866,2.805174090669873,3.2444381030050575,2.9907586576169694,3.6705488667428,3.280923171236841,2.562728805719984,6.113443178413368,3.72469153719625,2.4695140712622594,3.561964285371504,3.49926217736036,3.438884222323638,2.3520971141301934,2.968740449897489,2.1187434378309518,3.767675687345849,2.8767551007838166,3.610144681556236,4.937035744933921,2.9535943978169112,3.3436586496248752,3.468112420558905,2.594350496498694,3.6193285558808226,2.103213495313501,3.7496381000121217,3.279759098882021,3.8679426374518355,2.3596748858538636,6.658736306685866,3.197354586815146,2.9537380736009506,5.2464811746307625,2.833504526332516,2.5234037936670073,3.6981134864466227,2.984729298220327,2.548226964285979,3.0174111373720924,3.9632215315590376,2.2679506813718238,2.8899080536978534,2.2746683695793,1.235036812458653,2.50741096680403,2.580147883204186,1.5186463542065327,4.673009678141547,3.176680858660057,3.1624553578867776,4.855435654567819,4.301289606292895,2.8356623235439935,2.7770235663288467,2.3228460762788625,2.4767463652403254,5.357063175514756,1.4271993709454778
Taurine,4.264673670741127,4.119003838472909,4.712122615448404,0.0,5.025012630744333,4.343380459299261,3.654709278929688,4.358169744321071,4.282373999681787,2.9273395076954176,4.447642135466707,4.8363488714654945,4.471262840992564,5.161886747501778,3.308773749954589,3.814468606886727,4.753443829644323,4.704401810494886,3.8309497418816756,3.744297868520257,4.633962224291105,4.695125622377375,4.592086729796084,4.684542615157056,4.437947473925634,3.487391057121991,5.354117022162016,4.105023180212868,4.4257955679104715,4.62559472176142,4.8299602813346825,4.946590803723001,4.525636338455463,4.416076670655039,5.098826029954774,3.8283264923192792,3.6647339134152563,3.9681544350763827,4.450281212405253,4.566751163406408,3.7393146372607533,3.4537619739632124,4.654037874419643,4.504628228187002,4.182763188533964,3.473394784940633,4.6871743539737505,4.507177515803763,4.539143955446711,4.23882624734647,4.604967316326856,4.501657008242566,4.464161066125971,4.480448583593426,4.83195971156493,4.39772503054925,4.560000557744795,4.514023997699958,4.798653475389862,4.954882489947439,3.9630268699368565,4.90461561868317,5.0187847456762045,3.580054021691985,4.745144942261336,4.187795578422311,4.078755717189672,3.0646559907128577,3.743764939951847,4.753483166198455,3.8541769179079632,4.5374751929953465,3.3822985532054046,5.24655324444142,3.733730481750466,4.667415121728486,3.9568858935586673,4.880123226693936,4.650170409057026,4.314066565987805,4.102194161914459,5.345081210733104,4.021643704238225,3.931363159008874,4.114849169402782,4.442239381093546,3.3331058116436405,4.589509289755051,4.4746019125330205,4.2053293424388745,4.242502840070386,4.8097783132854435,4.456147377969197,3.651721514468765,3.778476773916571,4.60911589957081,4.042885079618733,4.537564313671193,4.412026645497099,5.434497239698217,3.4790264577477505,4.7922008297853695,4.189549359503106,5.137562253664454,4.520379180030476,4.728163407312021,4.1843997122820635,4.251662786793374,5.979738986022349,4.663603070831283
Histidine,3.629013208578364,3.9471939561467484,3.062448739966598,5.025012630744333,0.0,4.8779507578531405,4.269554982885311,3.3290560417126307,3.1749404158601293,3.8409584807168278,3.4640445073340085,3.250076196788806,4.014553989528023,4.929178157576023,3.7164116909893252,3.633505976122702,2.508219048940547,4.234783552554799,3.5851511699945298,3.4512072942658882,3.5097023079095555,2.9043661939912355,4.5084577821283744,6.423807351107234,4.473167850026489,3.4007532840611425,4.395770697838678,3.907447313652504,3.6576065071468715,3.188725854864707,3.3218763197669112,4.919044005949589,3.862671274294932,3.502228606546593,5.228091776800631,3.6533816223311626,5.327779508385516,3.896188804547945,3.4055526013166983,4.02929625714885,4.601034969039868,3.5805843023788135,3.8810300004711786,4.761477647451804,4.1019990659485135,3.968290605808197,4.430098482840235,3.3763145240490435,4.049998183652593,3.4679104335872197,4.135004707458973,4.211047558412514,4.050036407480471,4.1633835588302315,4.220852457918247,4.026666535794228,4.1841431334673675,3.9917058926743403,6.360994565603186,4.836597984559901,3.1547982276380147,4.6090383590132715,4.3543278346064325,3.884231791471099,3.722731498338332,3.9088815981618383,3.4087619733302974,4.419441385969252,3.4789901497191584,4.743830733079787,5.295582417605272,3.8036410856278087,4.087565618291051,4.210885426248805,3.298731952242125,4.340445532640453,3.3376578877244283,4.348493277357082,4.097584246093875,4.320448551523667,3.6835611054756314,6.8792459791871154,3.682698171798823,3.99304747878387,5.457324897986703,3.8127459352541737,3.5537697679092113,4.152567389298278,3.5474944489659377,3.765121116339338,3.657262772535031,4.391736804227836,3.742333596678546,4.004476526327036,3.5139977413476005,3.3445783996635705,3.559223494969081,3.781530888611469,2.9610930380246336,3.6432280981824627,4.157121094199141,4.29202204892263,5.243895067837247,4.762866725051646,3.94843417987137,3.6866287444625567,3.4852144775524265,3.8631294783540175,6.274737978024568,2.9930580845355883
4-Hydroxybenzoate,3.9084854217485168,3.7500136424528376,4.098941226385025,4.343380459299261,4.8779507578531405,0.0,3.6950203509291595,4.1674418366498855,4.137467496297473,3.2049530893101856,4.1108957607137535,4.291768800606414,4.319006660950119,5.178912528692042,3.5814545501949246,3.814187561499466,4.561415144667418,4.524753499898204,3.86769857613454,3.376804209739311,4.364936422393749,3.8482768137925993,4.806256602362623,4.892737310799808,4.48491370199815,3.636675460759897,5.211285508436181,4.240815044257113,4.275043700665107,4.19663504490555,4.349332232612174,4.783002272967432,4.294988878881823,3.7559412643989223,4.578200826560907,3.7683120852308982,4.114830517203272,3.336296797223521,4.216361735019556,4.202857289910027,3.4026680918492764,3.4858846657789697,3.941875879041501,2.8752424258215936,4.2158239245902465,3.824496564076657,4.43703962301776,4.136793664240549,4.147377982582562,3.9342335248855824,4.408749248768372,4.1816129975874405,4.151437141439667,4.279600626287565,4.775106354984971,4.441682833055884,4.026477740463441,4.04872808308415,4.86416064173393,4.481317701515625,4.077881153766731,4.507608187083866,3.2478133098687194,3.688795061818741,4.485038156782249,4.132155401935893,3.89740365206669,3.644021291511481,3.4426981884440924,4.559585714305305,4.24227679275415,4.461845488651228,3.1224707304459245,4.499568044969078,3.9740488649005727,4.799784346055623,3.6343664678494045,3.5128269111470956,4.274700702313647,2.9531079426279185,3.77292804602521,5.442084600695179,4.240090569810878,3.6027932728644507,4.694005869529652,4.517887710527974,3.6661760432514705,4.365054124328479,3.201247048131975,3.824396690756197,3.2841792133386525,4.721779704414432,4.060932281708745,3.932973701970135,3.353560466470288,4.100714873757101,4.027411027544893,4.380649872845888,4.043592476399034,5.117909732108103,3.241575751458528,4.468385369317686,4.665193899211941,4.999034862408114,4.11495537048291,4.215297968912543,3.9971880613595454,3.8915610759982897,5.548615914696694,4.235925740373742
Betaine,2.843530056075887,3.02318236980698,3.2284471194946884,3.654709278929688,4.269554982885311,3.6950203509291595,0.0,3.051472449941273,2.8530006467836766,2.556308077021913,3.1123790286679505,3.447885750719202,3.312485979218456,4.7465704753147575,2.5278696273538004,2.9649216953285675,3.712033207842698,3.1541704464130085,2.8150990680039674,2.636584123779718,3.166799228054077,3.727420799624713,3.840418643346581,4.83535226969119,2.5705129002636182,2.857432541232475,4.173276182330746,3.354530061570272,3.081007268682582,3.230892640912004,3.4326944728591715,4.142671368251904,3.32578511270189,2.8272125655557936,3.9983760128486487,2.163042662467906,4.19967829515683,2.862815115072837,3.06951838086446,3.3380796272243787,3.049871331403233,2.0076723904441214,3.124604363874093,3.7346726330894864,3.3005581799352797,3.1882903346116955,3.69995720223507,3.079495251039889,3.1812522817185847,3.191315759757143,3.1240310635243316,3.4880423600178356,3.123862512350579,3.4619742844851777,3.6629405334502954,3.4109306358204656,3.3123166486045315,3.0212016900260226,5.130258689939611,3.692816592676642,2.95803569667568,3.788266745913251,3.526363974396655,3.293446665840134,3.2856726515015873,2.9138436520556463,2.7455666870946147,3.113406150001254,3.171422244968321,3.7629852611390975,4.236136739492944,3.253464763413457,2.767556970512864,3.8242209768909166,2.76247463785137,3.8973405899109297,2.769189685559652,3.7462664492588766,3.510899432750235,3.4842555875044146,2.647620411267304,5.664583855234712,3.244126557137132,2.830533211736418,4.556177251253479,3.2974823832379094,2.568330827249685,3.607272230469354,3.3389427513922216,3.131541713538951,3.3711461082182503,4.062152175747492,3.0674656422778757,1.9170165135769046,2.730459649825207,2.8979643242710167,2.838484627083282,3.11833273719276,3.2976368217170786,4.897381472169611,2.6612662733818113,3.5491246686224405,4.071686300455332,4.237604014152057,3.306626606358193,3.3200937238286428,2.8571310626832793,2.7868194514414366,5.145224625477294,3.1029395381331777
Cytosine,2.833185356119847,3.2100854341187226,2.782511786413675,4.358169744321071,3.3290560417126307,4.1674418366498855,3.051472449941273,0.0,2.4092817432434344,2.8385268201526714,2.542162874207991,3.262307702414685,3.2810969790066955,4.490713130590167,2.954164222355537,2.9052789101119734,3.165287067102121,3.4127588086742118,2.493385619831058,2.549849131625624,2.8544334681395145,3.5680149741648512,3.5853938585459924,5.736579501219947,3.584466384629708,2.657126860387541,4.055051718567183,2.90543509381114,2.5591628934153365,2.9213175776989915,3.0441336816041766,3.8940831906834297,2.968669072048525,2.542149458220892,4.081778875211755,2.654933720263365,4.837991016103823,3.2175341120583503,2.759896094164049,3.127991574840483,3.765468957837391,2.3485227189047646,2.712171677658958,4.433083660031596,3.1466680573471426,3.4982810036139145,3.4751211618154403,2.8061476747987406,2.9806110751304273,2.90038254773488,3.1672910447537186,3.4045353716605447,2.9244966013365365,3.367720584775718,3.6504619353294685,2.103342999330326,3.044500607654107,2.9084468174099762,5.873602418939717,3.856539909056007,2.8923516898585433,3.631982054971461,3.6195269626557502,3.274671982202393,2.968246325175433,2.60360667768059,2.4311304717421125,3.5688475733409213,2.9607827542647813,3.9307300199270756,4.756147410111221,2.770488012388958,3.3288189665012973,3.5531084664642285,2.446207133373303,3.820025737861512,2.539917820882285,4.131220895250723,3.0952765543010696,4.062444020711802,2.45169878114966,6.525590921038867,3.0865013326192856,3.196722403174988,4.923091209718795,3.159069262536812,2.7460969116077987,2.8459543112699004,3.401533760132059,2.985974271170068,2.8512489950914754,3.355747926234625,3.1061828561684477,2.972058583915213,2.80461536270229,2.714510931498081,2.5153821687355817,2.6959132512102646,2.823439452749102,4.600917447819635,3.4220298247897785,3.5476730461749724,4.7180876704706085,3.9888792172234537,2.9288864550222433,3.1604663539147606,2.411754051661691,2.688845991714021,5.4370176352738016,2.6806349464589214
Glutamine,1.7134917291326124,2.748078276818494,1.9371961102443107,4.282373999681787,3.1749404158601293,4.137467496297473,2.8530006467836766,2.4092817432434344,0.0,2.6010768075441515,2.227722139211187,2.835786485043774,3.0935371558396323,4.447114570024949,2.5296778449174497,2.1975824192386315,2.710231567226788,2.79946184000733,2.4614472284320597,2.1236508165590675,1.577516737780567,3.3491318198391893,3.604279140480857,5.570495889974012,3.0839952170860703,2.415504508168673,3.0831959465367844,3.048804349819718,2.166133103137058,1.748272606020576,2.278569381820843,4.003624892633815,2.621448605159024,2.127713273006631,4.010648224901878,1.9392034067751427,4.681750485784107,2.8590270424425563,1.6132487306388137,2.6093366531587323,3.5962034984905378,2.0670195284262074,2.4968008323929998,4.251226952469649,2.838064357623975,2.9826224587768206,2.958733013072167,1.712763858782648,2.4102133060367352,2.11204684869926,2.909608996534641,3.0672382765521986,2.60954535367929,3.009920142120383,2.576585577258727,3.3003308385643675,3.078687997303752,2.457339957493151,6.029960468041148,3.5596262831367986,2.264338576942255,3.320659317250934,3.54605249228369,3.1365425290494495,2.3241779869653354,2.562459644438853,1.6958122876622472,3.3740863688198175,2.609526844871218,3.5440835526346275,4.667736105333836,2.4964859114801556,3.060946665905265,3.1159337889963217,1.7509344407463452,3.732801241085761,2.075856976770839,4.045454116227865,2.9696556847767397,3.7775695042281012,2.083466521827411,6.574279728523406,2.5703595381788853,2.5048791393509786,4.97916910308154,2.892292274527831,2.1602684378547767,3.6939405470755857,3.1739284765533053,2.5363741023028448,2.7629674062570597,3.542058846786849,2.3203490927404777,2.5019059021151717,2.336065690741313,1.978428589984518,1.9425215990664824,2.2128057240758685,2.0671628384178526,4.7337445848630395,3.0680608698087717,3.134677470401462,4.415629652496697,3.9755465855267693,2.434325986383093,2.732876142814185,1.7359845211581806,2.310915376168515,5.221302679082098,1.341713426533582
Sarcosine,2.7126951391961205,2.8184721276855518,3.0134426523636493,2.9273395076954176,3.8409584807168278,3.2049530893101856,2.556308077021913,2.8385268201526714,2.6010768075441515,0.0,3.011413807962765,3.486092558815072,2.9312162477994126,4.461005460895956,1.988498879380411,2.1086493808516775,3.4356614054904497,3.2129261704567815,2.5600819268189317,1.9376669892246414,3.143329497287467,3.4967422025505774,3.587095595128603,4.238576771863177,3.324689232017115,1.942878109271765,4.249152167463398,2.8280675566341897,2.98857078371949,3.011893791874498,3.364882055716622,4.036483870100919,3.222840580785836,2.696194055744775,3.742393251607104,2.326278163155618,2.9875671987661363,2.494991715944503,2.891094602561651,3.0969279428131684,2.5859604780308896,1.7671890306129172,3.0486612254883303,3.517372468140025,2.7603225794665796,2.1361490636078493,3.3894224448314385,2.728156776380565,2.816711617400024,2.551017342487317,3.227984464356925,3.303970642495481,2.9907433985893297,3.266637100655337,3.794145213325745,3.172689179212792,3.3177576197109406,3.0013549322667767,4.6037279167794525,3.532384872324287,2.481963144494537,3.4348733650666543,3.6283475154618214,2.114987948487259,3.4230295273973272,2.7676395351018623,2.53767136717351,1.8882717139796312,1.9891184782770468,3.576514506253866,3.223911427345242,3.162297403055547,1.8215221583529966,3.745806684155326,2.374555919236793,3.495890149049178,2.054714280559711,3.7009918384920053,3.243098792473904,3.132553304960733,2.4076128945174973,5.166045047099627,2.8876155716674043,2.2330371214602884,3.6915493559596433,2.979077425153156,1.9983635674528526,3.549846573635659,3.045559838996366,2.668284151140997,2.604796860077675,3.5267343401151514,2.952258565710802,2.393450585006845,2.066608500458419,3.0040248339324496,2.4801773461143366,3.0661987573429705,2.92614097408129,4.64688078039571,2.1594803055096787,3.4411313735858324,3.4197416968116543,4.251399694258581,2.782282445270812,3.3002945483630417,2.619411060591843,2.5950624755775613,4.764479613323081,3.0006523834727994
