Compound,inchikey,smiles
2'-Deoxyuridine,MXHRCPNRJAMMIM-SHYZEUOFSA-N,C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)CO)O
Desaminotyrosine,NMHMNPHRMNGLLB-UHFFFAOYSA-N,C1=CC(=CC=C1CCC(=O)O)O
"5,6-Dihydrouracil",OIVLITBTBDPEFK-UHFFFAOYSA-N,C1CNC(=O)NC1=O
Urocanate,LOIYMIARKYCTBW-OWOJBTEDSA-N,C1=C(NC=N1)/C=C/C(=O)O
Xylose,SRBFZHDQGSBBOR-IOVATXLUSA-N,C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O
Fucose,PMMURAAUARKVCB-DUVQVXGLSA-N,C1[C@H]([C@H]([C@H](OC1O)CO)O)O
beta-Pseudouridine,PTJWIQPHWPFNBW-GBNDHIKLSA-N,C1=C(C(=O)NC(=O)N1)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O
Ethanol,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CCO
Inosine,UGQMRVRMYYASKQ-KQYNXXCUSA-N,C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O
2-Oxoglutarate,KPGXRSRHYNQIFN-UHFFFAOYSA-N,C(CC(=O)O)C(=O)C(=O)O
myo-Inositol,CDAISMWEOUEBRE-GPIVLXJGSA-N,
O-Acetylcarnitine,RDHQFKQIGNGIED-MRVPVSSYSA-O,CC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C
Phenylacetate,WLJVXDMOQOGPHL-UHFFFAOYSA-N,C1=CC=C(C=C1)CC(=O)O
Leucine,ROHFNLRQFUQHCH-YFKPBYRVSA-N,CC(C)C[C@@H](C(=O)O)N
"N,N-Dimethylglycine",FFDGPVCHZBVARC-UHFFFAOYSA-N,CN(C)CC(=O)O
4-Hydroxybenzoate,FJKROLUGYXJWQN-UHFFFAOYSA-N,C1=CC(=CC=C1C(=O)O)O
Glutamine,ZDXPYRJPNDTMRX-VKHMYHEASA-N,C(CC(=O)N)[C@@H](C(=O)O)N
Glycine,DHMQDGOQFOQNFH-UHFFFAOYSA-N,C(C(=O)O)N
Malate,BJEPYKJPYRNKOW-REOHCLBHSA-N,C([C@@H](C(=O)O)O)C(=O)O
3' fucosyl lactose,,
4-Hydroxyphenyllactate,JVGVDSSUAVXRDY-UHFFFAOYSA-N,C1=CC(=CC=C1CC(C(=O)O)O)O
Asparagine,DCXYFEDJOCDNAF-REOHCLBHSA-N,C([C@@H](C(=O)O)N)C(=O)N
2' fucosyl lactose,,
Ribose,HMFHBZSHGGEWLO-SOOFDHNKSA-N,C([C@@H]1[C@H]([C@H](C(O1)O)O)O)O
3-Hydroxybutyrate,WHBMMWSBFZVSSR-GSVOUGTGSA-N,C[C@H](CC(=O)O)O
Thymidine,IQFYYKKMVGJFEH-XLPZGREQSA-N,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)O
p-Cresol,IWDCLRJOBJJRNH-UHFFFAOYSA-N,CC1=CC=C(C=C1)O
Dimethylamine,ROSDSFDQCJNGOL-UHFFFAOYSA-N,CNC
Uridine,DRTQHJPVMGBUCF-XVFCMESISA-N,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O
