,Sarcosine,Phenol,Asparagine,Allantoin,Cytidine,Serine,Lysine,Thymidine,Ornithine,Glucose,Guanosine,Phenylacetate,"1,3-Dihydroxyacetone",N-Methylhydantoin,2-Aminobutyrate,Tyrosine,5-Aminopentanoate,Arginine,Hypoxanthine,Acetaminophen,Propionate,Putrescine,2-Hydroxyglutarate,Thymine,Tryptophan,Pyroglutamate,Methylamine,myo-Inositol,Threonine,Creatine,Citrulline,Proline,Propylene glycol,DL-methionine-sulfoxide,Leucine,O-Acetylcarnitine,4-Hydroxyphenyllactate,4-Hydroxyphenylacetate,Uridine,Valerate,Urocanate,Desaminotyrosine,3-Hydroxybutyrate,Valine,Betaine,Fumarate,N-Acetylneuraminate,Nicotinate,beta-Pseudouridine,Inosine,Xylose,Citrate,Phenylalanine,Arabinose,Indole-3-lactate,Uracil,Creatinine,Isovalerate,2-Oxoglutarate,Histidine,Acetoin,Pyruvate,Choline,Alanine,Isopropanol,Dimethylamine,Ethanol,"N,N-Dimethylglycine",Ascorbate,Glutamine,Glutamate,4-Aminobutyrate,Aspartate,Fucose,Galactose,beta-Alanine,Tyramine,2'-Deoxyinosine,"5,6-Dihydrouracil",2-Hydroxybutyrate,Isobutyrate,Succinate,Lactate,Glycerol,2'-Deoxyuridine,Formate,Glycine,N-Acetylglucosamine,Cytosine,3-Phenyllactate,Trimethylamine,Malate,N-Carbamoyl-beta-alanine,4-Hydroxybenzoate,Glutarate,Carnitine,Isoleucine,Ribose,Taurine,Lactose,Butyrate,Methylsuccinate,p-Cresol,Urea,Methionine,Ethanolamine,Acetate,Methanol,Cadaverine,Indole-3-acetate
Sarcosine,0.0,0.9130434782608696,0.8076923076923077,0.8787878787878788,0.9574468085106383,0.7916666666666666,0.8275862068965517,0.9183673469387755,0.8214285714285714,0.9310344827586207,0.962962962962963,0.76,0.7894736842105263,0.8666666666666667,0.75,0.8484848484848485,0.75,0.8181818181818181,0.9090909090909091,0.9,0.5882352941176471,0.95,0.76,0.935483870967742,0.8780487804878049,0.8709677419354839,0.9375,0.9444444444444444,0.8,0.7307692307692308,0.8064516129032258,0.8620689655172413,0.8571428571428572,0.8,0.7692307692307692,0.78125,0.84375,0.7777777777777778,0.9347826086956522,0.6818181818181819,0.8181818181818181,0.7931034482758621,0.6818181818181819,0.7916666666666666,0.7916666666666666,0.7894736842105263,0.8723404255319149,0.8709677419354839,0.9555555555555556,0.9591836734693877,0.9642857142857143,0.7391304347826086,0.8387096774193549,0.9642857142857143,0.875,0.9666666666666667,0.9032258064516129,0.6666666666666667,0.7272727272727273,0.8333333333333334,0.8095238095238095,0.7222222222222222,0.8695652173913043,0.7619047619047619,0.8888888888888888,0.8,0.8235294117647058,0.6666666666666667,0.8857142857142857,0.8214285714285714,0.7692307692307692,0.7391304347826086,0.75,0.9393939393939394,0.9310344827586207,0.7142857142857143,0.9333333333333333,0.9607843137254902,0.9666666666666667,0.7391304347826086,0.736842105263158,0.6470588235294117,0.75,0.9047619047619048,0.9375,0.8888888888888888,0.6666666666666667,0.8888888888888888,0.9696969696969697,0.8695652173913043,0.9411764705882353,0.7391304347826086,0.6818181818181819,0.8461538461538461,0.6842105263157895,0.8275862068965517,0.7777777777777778,0.9285714285714286,0.88,0.9487179487179487,0.65,0.7083333333333333,0.92,0.8333333333333334,0.75,0.9,0.6875,0.8666666666666667,0.9523809523809523,0.8181818181818181
Phenol,0.9130434782608696,0.0,0.9230769230769231,0.8666666666666667,0.8780487804878049,0.9166666666666666,0.9310344827586207,0.9130434782608696,0.9285714285714286,0.962962962962963,0.9183673469387755,0.6666666666666667,0.9473684210526316,0.8928571428571429,0.92,0.7037037037037037,0.92,0.9411764705882353,0.8620689655172413,0.6363636363636364,0.8947368421052632,1.0,0.9230769230769231,0.8461538461538461,0.8055555555555556,0.8571428571428572,1.0,0.9333333333333333,0.92,0.9285714285714286,0.9375,0.9285714285714286,0.95,0.935483870967742,0.9259259259259259,0.9411764705882353,0.6923076923076923,0.6363636363636364,0.8780487804878049,0.9166666666666666,0.875,0.6666666666666667,0.9166666666666666,0.9166666666666666,0.96,0.8888888888888888,0.9361702127659575,0.7692307692307692,0.8717948717948718,0.9090909090909091,0.9166666666666666,0.9166666666666666,0.7307692307692308,0.9166666666666666,0.8,0.782608695652174,0.8928571428571429,0.9130434782608696,0.9130434782608696,0.8857142857142857,0.9523809523809523,0.8888888888888888,0.9545454545454546,0.9047619047619048,0.9375,1.0,0.9375,0.9130434782608696,0.875,0.9285714285714286,0.9259259259259259,0.9166666666666666,0.92,0.9333333333333333,0.962962962962963,0.8571428571428572,0.6818181818181819,0.9130434782608696,0.88,0.9166666666666666,0.8947368421052632,0.8888888888888888,0.9,0.9473684210526316,0.8837209302325582,0.9375,0.8947368421052632,0.9428571428571428,0.76,0.8333333333333334,1.0,0.9166666666666666,0.9166666666666666,0.5789473684210527,0.9,0.9666666666666667,0.9285714285714286,0.9615384615384616,0.9583333333333334,0.972972972972973,0.9090909090909091,0.9230769230769231,0.5882352941176471,0.875,0.9333333333333333,0.9444444444444444,0.875,0.9230769230769231,1.0,0.7586206896551724
Asparagine,0.8076923076923077,0.9230769230769231,0.0,0.8888888888888888,0.9166666666666666,0.47619047619047616,0.5769230769230769,0.9433962264150944,0.56,0.9032258064516129,0.9272727272727272,0.8275862068965517,0.8181818181818181,0.9428571428571428,0.5,0.6333333333333333,0.7777777777777778,0.6,0.9166666666666666,0.9090909090909091,0.7727272727272727,0.9090909090909091,0.7407407407407407,0.9714285714285714,0.7105263157894737,0.8823529411764706,0.9473684210526316,0.9523809523809523,0.6799999999999999,0.7586206896551724,0.5714285714285714,0.875,0.875,0.6071428571428572,0.4782608695652174,0.8,0.7878787878787878,0.8387096774193549,0.9166666666666666,0.8148148148148149,0.8947368421052632,0.8484848484848485,0.72,0.6666666666666667,0.8571428571428572,0.8181818181818181,0.88,0.8823529411764706,0.9361702127659575,0.92,0.967741935483871,0.8148148148148149,0.6071428571428572,0.967741935483871,0.8292682926829268,0.9696969696969697,0.9428571428571428,0.7083333333333333,0.8076923076923077,0.6764705882352942,0.782608695652174,0.8181818181818181,0.9259259259259259,0.6190476190476191,0.9047619047619048,1.0,0.9047619047619048,0.8076923076923077,0.8648648648648649,0.4347826086956522,0.5416666666666667,0.7692307692307692,0.35,0.9444444444444444,0.9032258064516129,0.75,0.90625,0.9433962264150944,0.9696969696969697,0.72,0.7142857142857143,0.7619047619047619,0.7272727272727273,0.8695652173913043,0.9411764705882353,0.9047619047619048,0.7142857142857143,0.8974358974358975,0.9428571428571428,0.8541666666666666,1.0,0.6666666666666667,0.7692307692307692,0.8620689655172413,0.782608695652174,0.8064516129032258,0.6666666666666667,0.9,0.8518518518518519,0.926829268292683,0.8,0.8275862068965517,0.9655172413793104,0.736842105263158,0.5925925925925926,0.8636363636363636,0.8,0.9473684210526316,0.9130434782608696,0.8648648648648649
Allantoin,0.8787878787878788,0.8666666666666667,0.8888888888888888,0.0,0.84,0.8823529411764706,0.925,0.8727272727272728,0.9230769230769231,0.9189189189189189,0.8596491228070176,0.8888888888888888,0.9333333333333333,0.868421052631579,0.9166666666666666,0.8809523809523809,0.9166666666666666,0.8837209302325582,0.8461538461538461,0.8648648648648649,0.9,0.9655172413793104,0.9189189189189189,0.8648648648648649,0.9215686274509804,0.7777777777777778,1.0,0.9230769230769231,0.8857142857142857,0.8947368421052632,0.85,0.9230769230769231,0.935483870967742,0.875,0.9210526315789473,0.9333333333333333,0.8780487804878049,0.8648648648648649,0.8627450980392157,0.9142857142857143,0.9090909090909091,0.8717948717948718,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.9333333333333333,0.9310344827586207,0.9,0.8571428571428572,0.8679245283018868,0.9444444444444444,0.9142857142857143,0.9024390243902439,0.9444444444444444,0.92,0.8888888888888888,0.8378378378378378,0.9117647058823529,0.9117647058823529,0.8913043478260869,0.9696969696969697,0.9333333333333333,0.9393939393939394,0.9393939393939394,0.9642857142857143,0.9615384615384616,0.9259259259259259,0.9117647058823529,0.8837209302325582,0.8947368421052632,0.9210526315789473,0.9142857142857143,0.9166666666666666,0.926829268292683,0.9189189189189189,0.9090909090909091,0.8918918918918919,0.8727272727272728,0.8235294117647058,0.9142857142857143,0.935483870967742,0.896551724137931,0.9375,0.9333333333333333,0.8679245283018868,0.9642857142857143,0.9,0.8863636363636364,0.868421052631579,0.9107142857142857,1.0,0.9142857142857143,0.8125,0.8529411764705882,0.9032258064516129,0.9512195121951219,0.8947368421052632,0.9166666666666666,0.9428571428571428,0.9361702127659575,0.9090909090909091,0.9189189189189189,0.9090909090909091,0.8461538461538461,0.926829268292683,0.9310344827586207,0.9285714285714286,0.96,0.9666666666666667,0.9090909090909091
Cytidine,0.9574468085106383,0.8780487804878049,0.9166666666666666,0.84,0.0,0.9130434782608696,0.9423076923076923,0.7017543859649122,0.9411764705882353,0.6666666666666667,0.5192307692307692,0.8936170212765957,0.926829268292683,0.9,0.9375,0.8653846153846154,0.9591836734693877,0.9090909090909091,0.9038461538461539,0.8979591836734694,0.9534883720930233,0.975609756097561,0.9387755102040817,0.875,0.9016393442622951,0.9019607843137255,1.0,0.8888888888888888,0.9375,0.9411764705882353,0.9056603773584906,0.9411764705882353,0.9285714285714286,0.9245283018867925,0.94,0.9473684210526316,0.8627450980392157,0.875,0.40909090909090906,0.9583333333333334,0.9285714285714286,0.88,0.9583333333333334,0.9583333333333334,0.9361702127659575,0.9767441860465116,0.8787878787878788,0.9019607843137255,0.64,0.56,0.8636363636363636,0.9583333333333334,0.8823529411764706,0.8636363636363636,0.9,0.8444444444444444,0.8541666666666666,0.9574468085106383,0.9574468085106383,0.8947368421052632,0.9777777777777777,0.9767441860465116,0.9318181818181819,0.9555555555555556,0.975,1.0,0.9210526315789473,0.9574468085106383,0.8679245283018868,0.92,0.94,0.9583333333333334,0.9148936170212766,0.6976744186046512,0.6666666666666667,0.9565217391304348,0.8723404255319149,0.7241379310344828,0.9166666666666666,0.9361702127659575,0.9534883720930233,0.9523809523809523,0.9545454545454546,0.926829268292683,0.6153846153846154,0.975,0.9534883720930233,0.7291666666666667,0.8297872340425532,0.859375,1.0,0.9361702127659575,0.9130434782608696,0.8913043478260869,0.9545454545454546,0.9622641509433962,0.9411764705882353,0.6578947368421053,0.9574468085106383,0.7346938775510203,0.9565217391304348,0.96,0.8837209302325582,0.9230769230769231,0.9433962264150944,0.925,0.975609756097561,0.972972972972973,0.9761904761904762,0.9090909090909091
Serine,0.7916666666666666,0.9166666666666666,0.47619047619047616,0.8823529411764706,0.9130434782608696,0.0,0.5416666666666667,0.92,0.5217391304347826,0.8571428571428572,0.9245283018867925,0.8148148148148149,0.736842105263158,0.9393939393939394,0.44999999999999996,0.6071428571428572,0.76,0.6206896551724138,0.9117647058823529,0.9032258064516129,0.75,0.9,0.72,0.9696969696969697,0.6944444444444444,0.875,0.9411764705882353,0.9473684210526316,0.5909090909090908,0.7857142857142857,0.5925925925925926,0.8666666666666667,0.75,0.5769230769230769,0.5,0.8235294117647058,0.7741935483870968,0.8275862068965517,0.8888888888888888,0.8,0.8888888888888888,0.8387096774193549,0.75,0.5714285714285714,0.8461538461538461,0.8,0.8260869565217391,0.875,0.9090909090909091,0.8936170212765957,0.9655172413793104,0.8,0.5769230769230769,0.9655172413793104,0.8205128205128205,0.967741935483871,0.9705882352941176,0.7391304347826086,0.7916666666666666,0.65625,0.7619047619047619,0.8,0.875,0.5789473684210527,0.8947368421052632,1.0,0.8333333333333334,0.7916666666666666,0.8235294117647058,0.5217391304347826,0.5,0.75,0.44999999999999996,0.9090909090909091,0.8571428571428572,0.7272727272727273,0.9,0.8979591836734694,0.9333333333333333,0.6956521739130435,0.6842105263157895,0.736842105263158,0.7,0.736842105263158,0.9166666666666666,0.8947368421052632,0.6842105263157895,0.8611111111111112,0.9705882352941176,0.7954545454545454,1.0,0.6956521739130435,0.8,0.8518518518518519,0.7619047619047619,0.8333333333333334,0.5833333333333333,0.8518518518518519,0.84,0.8947368421052632,0.782608695652174,0.8148148148148149,0.962962962962963,0.7777777777777778,0.56,0.7894736842105263,0.7777777777777778,0.9411764705882353,0.9047619047619048,0.8571428571428572
Lysine,0.8275862068965517,0.9310344827586207,0.5769230769230769,0.925,0.9423076923076923,0.5416666666666667,0.0,0.9464285714285714,0.1428571428571429,0.9117647058823529,0.9491525423728814,0.84375,0.84,0.9473684210526316,0.56,0.6666666666666667,0.56,0.5,0.9230769230769231,0.9166666666666666,0.8,0.65,0.7241379310344828,0.9736842105263158,0.7317073170731707,0.8918918918918919,0.9545454545454546,0.9583333333333334,0.7142857142857143,0.8181818181818181,0.4642857142857143,0.8857142857142857,0.8888888888888888,0.5517241379310345,0.5925925925925926,0.8461538461538461,0.8055555555555556,0.8529411764705882,0.9215686274509804,0.75,0.9024390243902439,0.8611111111111112,0.7931034482758621,0.7037037037037037,0.8709677419354839,0.84,0.8867924528301887,0.8918918918918919,0.94,0.9038461538461539,0.9705882352941176,0.8333333333333334,0.6451612903225806,0.9705882352941176,0.8409090909090909,0.9722222222222222,0.9743589743589743,0.7857142857142857,0.8275862068965517,0.7027027027027026,0.8076923076923077,0.84,0.9333333333333333,0.6666666666666667,0.9166666666666666,1.0,0.9166666666666666,0.8275862068965517,0.9024390243902439,0.5,0.48,0.6,0.56,0.9487179487179487,0.9117647058823529,0.6799999999999999,0.8484848484848485,0.9272727272727272,0.9722222222222222,0.75,0.75,0.7916666666666666,0.76,0.8846153846153846,0.9444444444444444,0.9166666666666666,0.6956521739130435,0.9047619047619048,0.9743589743589743,0.8627450980392157,1.0,0.75,0.8333333333333334,0.875,0.76,0.8235294117647058,0.7,0.9090909090909091,0.7857142857142857,0.9318181818181819,0.8214285714285714,0.8064516129032258,0.96875,0.8260869565217391,0.5357142857142857,0.782608695652174,0.8260869565217391,0.9545454545454546,0.6666666666666667,0.875
Thymidine,0.9183673469387755,0.9130434782608696,0.9433962264150944,0.8727272727272728,0.7017543859649122,0.92,0.9464285714285714,0.0,0.9454545454545454,0.782608695652174,0.7142857142857143,0.9019607843137255,0.9090909090909091,0.8200000000000001,0.9215686274509804,0.8947368421052632,0.9423076923076923,0.9508196721311475,0.8909090909090909,0.9056603773584906,0.9111111111111111,0.9777777777777777,0.9433962264150944,0.7659574468085106,0.9242424242424242,0.8461538461538461,0.975609756097561,0.926829268292683,0.9215686274509804,0.9056603773584906,0.9491525423728814,0.9056603773584906,0.9111111111111111,0.9107142857142857,0.9245283018867925,0.9333333333333333,0.8928571428571429,0.8846153846153846,0.6037735849056604,0.92,0.9152542372881356,0.8888888888888888,0.92,0.9411764705882353,0.8979591836734694,0.9565217391304348,0.835820895522388,0.9090909090909091,0.7142857142857143,0.711864406779661,0.875,0.9411764705882353,0.9107142857142857,0.875,0.9230769230769231,0.88,0.8653846153846154,0.9183673469387755,0.94,0.9016393442622951,0.9361702127659575,0.9333333333333333,0.8913043478260869,0.9375,0.9534883720930233,0.9761904761904762,0.9024390243902439,0.9183673469387755,0.8148148148148149,0.9454545454545454,0.9444444444444444,0.9411764705882353,0.9423076923076923,0.7234042553191489,0.782608695652174,0.9387755102040817,0.9038461538461539,0.5283018867924528,0.9019607843137255,0.92,0.9347826086956522,0.9333333333333333,0.9361702127659575,0.9333333333333333,0.3829787234042553,0.9534883720930233,0.9111111111111111,0.7962962962962963,0.9074074074074074,0.8153846153846154,0.9761904761904762,0.9411764705882353,0.9411764705882353,0.8541666666666666,0.9361702127659575,0.9272727272727272,0.9259259259259259,0.7777777777777778,0.94,0.8,0.9166666666666666,0.9230769230769231,0.8444444444444444,0.9545454545454546,0.9285714285714286,0.9318181818181819,0.9302325581395349,0.95,0.9782608695652174,0.9152542372881356
Ornithine,0.8214285714285714,0.9285714285714286,0.56,0.9230769230769231,0.9411764705882353,0.5217391304347826,0.1428571428571429,0.9454545454545454,0.0,0.9090909090909091,0.9482758620689655,0.8387096774193549,0.8333333333333334,0.9459459459459459,0.5416666666666667,0.65625,0.6,0.48275862068965514,0.9210526315789473,0.9142857142857143,0.7916666666666666,0.7,0.7142857142857143,0.972972972972973,0.725,0.8888888888888888,0.9523809523809523,0.9565217391304348,0.7037037037037037,0.8125,0.4444444444444444,0.8823529411764706,0.8846153846153846,0.5357142857142857,0.5769230769230769,0.8421052631578947,0.8,0.8484848484848485,0.92,0.7407407407407407,0.9,0.8571428571428572,0.7857142857142857,0.6923076923076923,0.8666666666666667,0.8333333333333334,0.8846153846153846,0.8888888888888888,0.9387755102040817,0.9019607843137255,0.9696969696969697,0.8275862068965517,0.6333333333333333,0.9696969696969697,0.8372093023255813,0.9714285714285714,0.9736842105263158,0.7777777777777778,0.8214285714285714,0.6944444444444444,0.8,0.8333333333333334,0.9310344827586207,0.6521739130434783,0.9130434782608696,1.0,0.9130434782608696,0.8214285714285714,0.9,0.48,0.45833333333333337,0.5833333333333333,0.5416666666666667,0.9473684210526316,0.9090909090909091,0.6666666666666667,0.84375,0.9259259259259259,0.9714285714285714,0.7407407407407407,0.7391304347826086,0.782608695652174,0.75,0.88,0.9433962264150944,0.9130434782608696,0.6818181818181819,0.9024390243902439,0.9736842105263158,0.86,1.0,0.7407407407407407,0.8275862068965517,0.8709677419354839,0.75,0.8181818181818181,0.6896551724137931,0.90625,0.7777777777777778,0.9302325581395349,0.8148148148148149,0.8,0.967741935483871,0.8181818181818181,0.5185185185185186,0.7727272727272727,0.8181818181818181,0.9523809523809523,0.7142857142857143,0.8717948717948718
Glucose,0.9310344827586207,0.962962962962963,0.9032258064516129,0.9189189189189189,0.6666666666666667,0.8571428571428572,0.9117647058823529,0.782608695652174,0.9090909090909091,0.0,0.7173913043478262,0.9375,0.8695652173913043,0.9722222222222222,0.9,0.9210526315789473,0.935483870967742,0.9230769230769231,0.9736842105263158,0.9714285714285714,0.92,0.9565217391304348,0.9032258064516129,0.9411764705882353,0.9347826086956522,0.9444444444444444,1.0,0.7058823529411764,0.935483870967742,0.9411764705882353,0.9189189189189189,0.9411764705882353,0.875,0.9166666666666666,0.90625,0.95,0.9189189189189189,0.9411764705882353,0.6666666666666667,0.9333333333333333,0.975609756097561,0.9444444444444444,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.96,0.8571428571428572,0.972972972972973,0.6111111111111112,0.6829268292682926,0.72,0.9333333333333333,0.9166666666666666,0.72,0.9333333333333333,0.9375,0.9722222222222222,0.9310344827586207,0.9310344827586207,0.9285714285714286,0.962962962962963,0.96,0.8846153846153846,0.9259259259259259,0.9545454545454546,1.0,0.85,0.9310344827586207,0.8648648648648649,0.9090909090909091,0.90625,0.9333333333333333,0.9,0.5384615384615384,0.0,0.9285714285714286,0.9393939393939394,0.782608695652174,0.9696969696969697,0.896551724137931,0.92,0.9166666666666666,0.9230769230769231,0.8695652173913043,0.7727272727272727,0.9545454545454546,0.92,0.4642857142857143,0.9722222222222222,0.9215686274509804,1.0,0.896551724137931,0.9333333333333333,0.96875,0.9230769230769231,0.9428571428571428,0.9090909090909091,0.05882352941176472,0.9310344827586207,0.37037037037037035,0.9285714285714286,0.9375,0.9655172413793104,0.9090909090909091,0.8823529411764706,0.8636363636363636,0.9565217391304348,0.9473684210526316,0.9583333333333334,0.95
