"","Ascorbate","Fucose","4-Aminobutyrate","Cytosine","Ethanol","Propionate","beta-Alanine","2'-Deoxyinosine","Lactate","Glycerol","Asparagine","Malate","Citrulline","Putrescine","4-Hydroxyphenylacetate","2-Hydroxybutyrate","Urocanate","2-Hydroxyglutarate","Succinate","Glutarate","Thymine","Aspartate","Uridine","Lysine","Methylamine","Carnitine","Creatinine","Indole-3-lactate","N-Methylhydantoin","Methylsuccinate","Valerate","Glutamine","beta-Pseudouridine","Leucine","Acetate","Methanol","Choline","Methionine","2-Aminobutyrate","2'-Deoxyuridine","Propylene glycol","3-Hydroxybutyrate","Ribose","Sarcosine","Tyramine","Desaminotyrosine","Butyrate","Betaine","Pyroglutamate","N-Carbamoyl-beta-alanine","5-Aminopentanoate","Phenol","p-Cresol","Tryptophan","N-Acetylglucosamine","Histidine","Fumarate","Hypoxanthine","N-Acetylneuraminate","myo-Inositol","3-Phenyllactate","Cadaverine","1,3-Dihydroxyacetone","Dimethylamine","Ethanolamine","Indole-3-acetate","Nicotinate","Valine","O-Acetylcarnitine","Phenylalanine","Galactose","Serine","Phenylacetate","Threonine","Thymidine","Isopropanol","Formate","Lactose","Glucose","5,6-Dihydrouracil","Isoleucine","Acetoin","Uracil","4-Hydroxybenzoate","Guanosine","Glycine","Arabinose","Proline","Glutamate","Urea","Isovalerate","N,N-Dimethylglycine","Trimethylamine","Acetaminophen","Alanine","Xylose","Citrate","DL-methionine-sulfoxide","2-Oxoglutarate","Arginine","Inosine","Ornithine","4-Hydroxyphenyllactate","Cytidine","Tyrosine","Allantoin","Pyruvate","Creatine","Isobutyrate","Taurine"
"kingdom","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds","Organic compounds"
"superclass","Organoheterocyclic compounds","Organic oxygen compounds","Organic acids and derivatives","Organoheterocyclic compounds","Organic oxygen compounds","Organic acids and derivatives","Organic acids and derivatives","Nucleosides, nucleotides, and analogues","Organic acids and derivatives","Organic oxygen compounds","Organic acids and derivatives","Organic acids and derivatives","Organic acids and derivatives","Organic nitrogen compounds","Benzenoids","Organic acids and derivatives","Organoheterocyclic compounds","Organic acids and derivatives","Organic acids and derivatives","Organic acids and derivatives","Organoheterocyclic compounds","Organic acids and derivatives","Nucleosides, nucleotides, and analogues","Organic acids and derivatives","Organic nitrogen compounds","Organic nitrogen compounds","Organic acids and derivatives","Organoheterocyclic compounds","Organoheterocyclic compounds","Lipids and lipid-like molecules","Lipids and lipid-like molecules","Organic acids and derivatives","Nucleosides, nucleotides, and analogues","Organic acids and derivatives","Organic acids and derivatives","Organic oxygen compounds","Organic nitrogen compounds","Organic acids and derivatives","Organic acids and derivatives","Nucleosides, nucleotides, and analogues","Organic oxygen compounds","Organic acids and derivatives","Organic oxygen compounds","Organic acids and derivatives","Benzenoids","Phenylpropanoids and polyketides","Lipids and lipid-like molecules","Organic acids and derivatives","Organic acids and derivatives","Organic acids and derivatives","Organic acids and derivatives","Benzenoids","Benzenoids","Organoheterocyclic compounds","Organic oxygen compounds","Organic acids and derivatives","Organic acids and derivatives","Organoheterocyclic compounds","Organic oxygen compounds","Organic oxygen compounds","Alkaloids and derivatives","Organic nitrogen compounds","Organic oxygen compounds","Organic nitrogen compounds","Organic nitrogen compounds","Organoheterocyclic compounds","Organoheterocyclic compounds","Organic acids and derivatives","Lipids and lipid-like molecules","Organic acids and derivatives","Organic oxygen compounds","Organic acids and derivatives","Benzenoids","Organic acids and derivatives","Nucleosides, nucleotides, and analogues","Organic oxygen compounds","Organic acids and derivatives","Organic oxygen compounds","Organic oxygen compounds","Organoheterocyclic compounds","Organic acids and derivatives","Organic oxygen compounds","Organoheterocyclic compounds","Benzenoids","Nucleosides, nucleotides, and analogues","Organic acids and derivatives","Organic oxygen compounds","Organic acids and derivatives","Organic acids and derivatives","Organic acids and derivatives","Lipids and lipid-like molecules","Organic acids and derivatives","Organic nitrogen compounds","Benzenoids","Organic acids and derivatives","Organic oxygen compounds","Organic acids and derivatives","Organic acids and derivatives","Organic acids and derivatives","Organic acids and derivatives","Nucleosides, nucleotides, and analogues","Organic acids and derivatives","Phenylpropanoids and polyketides","Nucleosides, nucleotides, and analogues","Organic acids and derivatives","Organoheterocyclic compounds","Organic acids and derivatives","Organic acids and derivatives","Organic acids and derivatives","Organic acids and derivatives"
"class","Dihydrofurans","Organooxygen compounds","Carboxylic acids and derivatives","Diazines","Organooxygen compounds","Carboxylic acids and derivatives","Carboxylic acids and derivatives","Purine nucleosides","Hydroxy acids and derivatives","Organooxygen compounds","Carboxylic acids and derivatives","Hydroxy acids and derivatives","Carboxylic acids and derivatives","Organonitrogen compounds","Phenols","Hydroxy acids and derivatives","Azoles","Hydroxy acids and derivatives","Carboxylic acids and derivatives","Carboxylic acids and derivatives","Diazines","Carboxylic acids and derivatives","Pyrimidine nucleosides","Carboxylic acids and derivatives","Organonitrogen compounds","Organonitrogen compounds","Carboxylic acids and derivatives","Indoles and derivatives","Azolines","Fatty Acyls","Fatty Acyls","Carboxylic acids and derivatives","Nucleoside and nucleotide analogues","Carboxylic acids and derivatives","Carboxylic acids and derivatives","Organooxygen compounds","Organonitrogen compounds","Carboxylic acids and derivatives","Carboxylic acids and derivatives","Pyrimidine nucleosides","Organooxygen compounds","Hydroxy acids and derivatives","Organooxygen compounds","Carboxylic acids and derivatives","Benzene and substituted derivatives","Phenylpropanoic acids","Fatty Acyls","Carboxylic acids and derivatives","Carboxylic acids and derivatives","Organic carbonic acids and derivatives","Carboxylic acids and derivatives","Phenols","Phenols","Indoles and derivatives","Organooxygen compounds","Carboxylic acids and derivatives","Carboxylic acids and derivatives","Imidazopyrimidines","Organooxygen compounds","Organooxygen compounds","Tropane alkaloids","Organonitrogen compounds","Organooxygen compounds","Organonitrogen compounds","Organonitrogen compounds","Indoles and derivatives","Pyridines and derivatives","Carboxylic acids and derivatives","Fatty Acyls","Carboxylic acids and derivatives","Organooxygen compounds","Carboxylic acids and derivatives","Benzene and substituted derivatives","Carboxylic acids and derivatives","Pyrimidine nucleosides","Organooxygen compounds","Carboxylic acids and derivatives","Organooxygen compounds","Organooxygen compounds","Diazines","Carboxylic acids and derivatives","Organooxygen compounds","Diazines","Benzene and substituted derivatives","Purine nucleosides","Carboxylic acids and derivatives","Organooxygen compounds","Carboxylic acids and derivatives","Carboxylic acids and derivatives","Organic carbonic acids and derivatives","Fatty Acyls","Carboxylic acids and derivatives","Organonitrogen compounds","Phenols","Carboxylic acids and derivatives","Organooxygen compounds","Carboxylic acids and derivatives","Carboxylic acids and derivatives","Keto acids and derivatives","Carboxylic acids and derivatives","Purine nucleosides","Carboxylic acids and derivatives","Phenylpropanoic acids","Pyrimidine nucleosides","Carboxylic acids and derivatives","Azoles","Keto acids and derivatives","Carboxylic acids and derivatives","Carboxylic acids and derivatives","Organic sulfonic acids and derivatives"
"subclass","Furanones","Carbohydrates and carbohydrate conjugates","Amino acids, peptides, and analogues","Pyrimidines and pyrimidine derivatives","Alcohols and polyols","Carboxylic acids","Amino acids, peptides, and analogues","Purine 2'-deoxyribonucleosides","Alpha hydroxy acids and derivatives","Carbohydrates and carbohydrate conjugates","Amino acids, peptides, and analogues","Beta hydroxy acids and derivatives","Amino acids, peptides, and analogues","Amines","1-hydroxy-2-unsubstituted benzenoids","Alpha hydroxy acids and derivatives","Imidazoles","Short-chain hydroxy acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives","Pyrimidines and pyrimidine derivatives","Amino acids, peptides, and analogues",NA,"Amino acids, peptides, and analogues","Amines","Quaternary ammonium salts","Amino acids, peptides, and analogues","Indolyl carboxylic acids and derivatives","Imidazolines","Fatty acids and conjugates","Fatty acids and conjugates","Amino acids, peptides, and analogues",NA,"Amino acids, peptides, and analogues","Carboxylic acids","Alcohols and polyols","Quaternary ammonium salts","Amino acids, peptides, and analogues","Amino acids, peptides, and analogues","Pyrimidine 2'-deoxyribonucleosides","Alcohols and polyols","Beta hydroxy acids and derivatives","Carbohydrates and carbohydrate conjugates","Amino acids, peptides, and analogues","Phenethylamines",NA,"Fatty acids and conjugates","Amino acids, peptides, and analogues","Amino acids, peptides, and analogues","Ureas","Amino acids, peptides, and analogues","1-hydroxy-4-unsubstituted benzenoids","Cresols","Indolyl carboxylic acids and derivatives","Carbohydrates and carbohydrate conjugates","Amino acids, peptides, and analogues","Dicarboxylic acids and derivatives","Purines and purine derivatives","Carbohydrates and carbohydrate conjugates","Alcohols and polyols",NA,"Amines","Carbohydrates and carbohydrate conjugates","Amines","Amines","Indolyl carboxylic acids and derivatives","Pyridinecarboxylic acids and derivatives","Amino acids, peptides, and analogues","Fatty acid esters","Amino acids, peptides, and analogues","Carbohydrates and carbohydrate conjugates","Amino acids, peptides, and analogues",NA,"Amino acids, peptides, and analogues","Pyrimidine 2'-deoxyribonucleosides","Alcohols and polyols","Carboxylic acids","Carbohydrates and carbohydrate conjugates","Carbohydrates and carbohydrate conjugates","Pyrimidines and pyrimidine derivatives","Amino acids, peptides, and analogues","Carbonyl compounds","Pyrimidines and pyrimidine derivatives","Benzoic acids and derivatives",NA,"Amino acids, peptides, and analogues","Carbohydrates and carbohydrate conjugates","Amino acids, peptides, and analogues","Amino acids, peptides, and analogues","Ureas","Fatty acids and conjugates","Amino acids, peptides, and analogues","Amines","1-hydroxy-2-unsubstituted benzenoids","Amino acids, peptides, and analogues","Carbohydrates and carbohydrate conjugates","Tricarboxylic acids and derivatives","Amino acids, peptides, and analogues","Gamma-keto acids and derivatives","Amino acids, peptides, and analogues",NA,"Amino acids, peptides, and analogues",NA,NA,"Amino acids, peptides, and analogues","Imidazoles","Alpha-keto acids and derivatives","Amino acids, peptides, and analogues","Carboxylic acids","Organosulfonic acids and derivatives"
"level 5","Butenolides","Monosaccharides","Amino acids and derivatives","Pyrimidones","Primary alcohols",NA,"Amino acids and derivatives",NA,NA,"Sugar alcohols","Amino acids and derivatives",NA,"Amino acids and derivatives","Primary amines",NA,NA,"Substituted imidazoles",NA,NA,NA,"Hydroxypyrimidines","Amino acids and derivatives",NA,"Amino acids and derivatives","Primary amines","Carnitines","Amino acids and derivatives",NA,NA,"Hydroxy fatty acids","Straight chain fatty acids","Amino acids and derivatives",NA,"Amino acids and derivatives",NA,"Primary alcohols","Cholines","Amino acids and derivatives","Amino acids and derivatives",NA,"Polyols",NA,"Monosaccharides","Amino acids and derivatives",NA,NA,"Straight chain fatty acids","Amino acids and derivatives","Amino acids and derivatives",NA,"Amino acids and derivatives",NA,"Para cresols",NA,"Aminosaccharides","Amino acids and derivatives",NA,"Purinones","Sugar acids and derivatives","Secondary alcohols",NA,"Primary amines","Monosaccharides","Secondary amines","Alkanolamines","Indole-3-acetic acid derivatives","Pyridinecarboxylic acids","Amino acids and derivatives","Acyl carnitines","Amino acids and derivatives","Monosaccharides","Amino acids and derivatives",NA,"Amino acids and derivatives",NA,"Secondary alcohols",NA,"Glycosyl compounds","Monosaccharides","Pyrimidones","Amino acids and derivatives","Acyloins","Pyrimidones","Hydroxybenzoic acid derivatives",NA,"Amino acids and derivatives","Monosaccharides","Amino acids and derivatives","Amino acids and derivatives",NA,"Branched fatty acids","Amino acids and derivatives","Tertiary amines",NA,"Amino acids and derivatives","Monosaccharides",NA,"Amino acids and derivatives",NA,"Amino acids and derivatives",NA,"Amino acids and derivatives",NA,NA,"Amino acids and derivatives",NA,NA,"Amino acids and derivatives",NA,"Organosulfonic acids"
"level 6",NA,"Hexoses","Gamma amino acids and derivatives",NA,NA,NA,"Beta amino acids and derivatives",NA,NA,NA,"Alpha amino acids and derivatives",NA,"Alpha amino acids and derivatives","Monoalkylamines",NA,NA,"Imidazolyl carboxylic acids and derivatives",NA,NA,NA,NA,"Alpha amino acids and derivatives",NA,"Alpha amino acids and derivatives","Monoalkylamines",NA,"Alpha amino acids and derivatives",NA,NA,NA,NA,"Alpha amino acids and derivatives",NA,"Alpha amino acids and derivatives",NA,NA,NA,"Alpha amino acids and derivatives","Alpha amino acids and derivatives",NA,"1,2-diols",NA,"Pentoses","Alpha amino acids and derivatives",NA,NA,NA,"Alpha amino acids and derivatives","Alpha amino acids and derivatives",NA,"Delta amino acids and derivatives",NA,NA,NA,"Amino sugars","Alpha amino acids and derivatives",NA,"Hypoxanthines","Sugar amino acids and derivatives","Cyclohexanols",NA,"Monoalkylamines",NA,"Dialkylamines","1,2-aminoalcohols",NA,NA,"Alpha amino acids and derivatives",NA,"Alpha amino acids and derivatives","Hexoses","Alpha amino acids and derivatives",NA,"Alpha amino acids and derivatives",NA,NA,NA,"O-glycosyl compounds","Hexoses",NA,"Alpha amino acids and derivatives",NA,NA,NA,NA,"Alpha amino acids and derivatives","Pentoses","Alpha amino acids and derivatives","Alpha amino acids and derivatives",NA,"Methyl-branched fatty acids","Alpha amino acids and derivatives","Trialkylamines",NA,"Alpha amino acids and derivatives","Pentoses",NA,"Alpha amino acids and derivatives",NA,"Alpha amino acids and derivatives",NA,"Alpha amino acids and derivatives",NA,NA,"Alpha amino acids and derivatives",NA,NA,"Alpha amino acids and derivatives",NA,NA
"level 7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asparagine and derivatives",NA,"Alpha amino acids",NA,NA,NA,NA,NA,NA,NA,NA,"Aspartic acid and derivatives",NA,"Alpha amino acids",NA,NA,NA,NA,NA,NA,NA,"Alpha amino acids",NA,"Leucine and derivatives",NA,NA,NA,"Methionine and derivatives","Alpha amino acids",NA,NA,NA,NA,"Alpha amino acids",NA,NA,NA,"Alpha amino acids",NA,NA,NA,NA,NA,NA,"Acylaminosugars","Histidine and derivatives",NA,NA,"Pyranoid amino acids and derivatives",NA,NA,NA,NA,NA,NA,NA,NA,"Valine and derivatives",NA,"Phenylalanine and derivatives",NA,"Serine and derivatives",NA,"Alpha amino acids",NA,NA,NA,NA,NA,NA,"Isoleucine and derivatives",NA,NA,NA,NA,"Alpha amino acids",NA,"Proline and derivatives","Glutamic acid and derivatives",NA,NA,"Alpha amino acids",NA,NA,"Alanine and derivatives",NA,NA,"Alpha amino acids",NA,"Alpha amino acids",NA,"Alpha amino acids",NA,NA,"Tyrosine and derivatives",NA,NA,NA,NA,NA
"level 8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L-alpha-amino acids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L-alpha-amino acids",NA,NA,NA,NA,NA,NA,NA,"L-alpha-amino acids",NA,NA,NA,NA,NA,NA,"L-alpha-amino acids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neuraminic acids and derivatives",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L-alpha-amino acids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L-alpha-amino acids",NA,"L-alpha-amino acids",NA,"L-alpha-amino acids",NA,NA,NA,NA,NA,NA,NA,NA
"level 9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N-acylneuraminic acids and derivatives",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"level 10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N-acylneuraminic acids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
