,2-Aminobutyrate,Thymine,Phenylacetate,Nicotinate,Histidine,Thymidine,Taurine,Betaine,Phenylalanine,Creatinine,Succinate,Inosine,Cadaverine,Acetate,Carnitine,Propionate,Acetaminophen,Citrulline,Methylsuccinate,DL-methionine-sulfoxide,p-Cresol,Methylamine,Guanosine,"5,6-Dihydrouracil",4-Hydroxyphenyllactate,2'-Deoxyuridine,Serine,Urea,Galactose,Acetoin,Ornithine,Isovalerate,Fucose,Glycine,N-Carbamoyl-beta-alanine,Isobutyrate,Tyramine,Choline,Isoleucine,Fumarate,beta-Pseudouridine,Glutamine,Ethanolamine,N-Methylhydantoin,Indole-3-acetate,Proline,2-Hydroxybutyrate,Glycerol,Phenol,Uridine,Citrate,Glutamate,Valine,Propylene glycol,Hypoxanthine,Trimethylamine,N-Acetylneuraminate,Lysine,Methionine,Pyruvate,"1,3-Dihydroxyacetone",2-Oxoglutarate,4-Hydroxyphenylacetate,2-Hydroxyglutarate,Pyroglutamate,Butyrate,O-Acetylcarnitine,Arginine,Tyrosine,5-Aminopentanoate,Xylose,Tryptophan,3-Hydroxybutyrate,4-Hydroxybenzoate,"N,N-Dimethylglycine",Ribose,Glutarate,Lactose,Arabinose,Dimethylamine,Uracil,Malate,Desaminotyrosine,Asparagine,Lactate,2'-Deoxyinosine,Ascorbate,Methanol,Threonine,Ethanol,Indole-3-lactate,Alanine,Creatine,Glucose,Putrescine,Leucine,Formate,Isopropanol,Allantoin,N-Acetylglucosamine,Urocanate,Cytidine,Valerate,Aspartate,Cytosine,Sarcosine,beta-Alanine,4-Aminobutyrate
2-Aminobutyrate,0.0,0.6461538461538462,0.7472527472527473,0.815068493150685,0.7142857142857143,0.7032967032967034,0.6458333333333334,0.42857142857142855,0.6043956043956044,0.6428571428571429,0.4634146341463415,0.7872340425531915,0.5853658536585366,0.5405405405405406,0.4339622641509434,0.4594594594594595,0.7851239669421488,0.35714285714285715,0.5384615384615384,0.22916666666666666,0.84,0.7567567567567568,0.7943262411347518,0.5964912280701754,0.8,0.7142857142857143,0.2558139534883721,0.8,0.7258064516129032,0.5777777777777777,0.2,0.4,0.7258064516129032,0.2972972972972973,0.4,0.4358974358974359,0.7714285714285715,0.5681818181818182,0.17777777777777778,0.64,0.7454545454545455,0.28,0.5,0.6206896551724138,0.8023952095808383,0.3333333333333333,0.4782608695652174,0.6888888888888889,0.8461538461538461,0.7096774193548387,0.6101694915254238,0.23404255319148937,0.075,0.6590909090909091,0.8173913043478261,0.8,0.6129032258064516,0.21739130434782608,0.17777777777777778,0.5121951219512195,0.6666666666666666,0.56,0.7850467289719626,0.5818181818181818,0.4262295081967213,0.35135135135135137,0.4827586206896552,0.3076923076923077,0.6697247706422018,0.2727272727272727,0.711864406779661,0.7777777777777778,0.4666666666666667,0.8070175438596491,0.38095238095238093,0.711864406779661,0.4772727272727273,0.7536231884057971,0.711864406779661,0.75,0.65625,0.5849056603773585,0.7830188679245284,0.23404255319148937,0.5652173913043478,0.7913669064748201,0.6956521739130435,0.8205128205128205,0.17777777777777778,0.725,0.8103448275862069,0.10810810810810811,0.45098039215686275,0.7258064516129032,0.5641025641025641,0.17777777777777778,0.7804878048780488,0.6904761904761905,0.6206896551724138,0.6049382716049383,0.78125,0.7204301075268817,0.4,0.18604651162790697,0.7068965517241379,0.35714285714285715,0.28205128205128205,0.2
Thymine,0.6461538461538462,0.0,0.8037383177570093,0.7697368421052632,0.7338129496402878,0.3902439024390244,0.765625,0.6666666666666666,0.7410714285714286,0.5714285714285714,0.7777777777777778,0.7241379310344828,0.7142857142857143,0.7857142857142857,0.6891891891891891,0.7543859649122807,0.751937984496124,0.547945205479452,0.7837837837837838,0.6973684210526315,0.8392857142857143,0.8235294117647058,0.7310344827586207,0.32142857142857145,0.8396946564885496,0.47674418604651164,0.6911764705882353,0.7843137254901961,0.8518518518518519,0.7619047619047619,0.6805555555555556,0.7419354838709677,0.8518518518518519,0.6724137931034483,0.45901639344262296,0.7288135593220338,0.788135593220339,0.7166666666666667,0.6666666666666666,0.71875,0.5098039215686274,0.6666666666666666,0.7241379310344828,0.43333333333333335,0.797752808988764,0.6666666666666666,0.782608695652174,0.8412698412698413,0.8557692307692307,0.4943820224719101,0.8148148148148148,0.7066666666666667,0.6417910447761194,0.8225806451612904,0.672566371681416,0.8301886792452831,0.7117117117117117,0.684931506849315,0.684931506849315,0.7704918032786885,0.8064516129032258,0.8055555555555556,0.8292682926829268,0.8205128205128205,0.625,0.75,0.7088607594936709,0.6753246753246753,0.7769230769230769,0.6764705882352942,0.8461538461538461,0.7885714285714286,0.7794117647058824,0.8188976377952756,0.6774193548387096,0.8607594936708861,0.7910447761194029,0.8636363636363636,0.8461538461538461,0.7450980392156863,0.18181818181818182,0.8133333333333334,0.8278688524590164,0.6527777777777778,0.7878787878787878,0.7183098591549296,0.8181818181818182,0.9090909090909091,0.684931506849315,0.8392857142857143,0.8054054054054054,0.6451612903225806,0.6119402985074627,0.8518518518518519,0.7037037037037037,0.6666666666666666,0.9152542372881356,0.8305084745762712,0.43333333333333335,0.6770833333333334,0.7022900763358778,0.6288659793814433,0.7619047619047619,0.6857142857142857,0.5166666666666667,0.6166666666666667,0.65,0.65625
Phenylacetate,0.7472527472527473,0.8037383177570093,0.0,0.5510204081632653,0.7607361963190185,0.7751937984496124,0.9175257731958762,0.8222222222222222,0.20430107526881722,0.8952380952380953,0.7283950617283951,0.8532608695652174,0.898876404494382,0.7948717948717948,0.77,0.7564102564102564,0.5390625,0.7547169811320755,0.7252747252747253,0.7745098039215687,0.3404255319148936,0.9761904761904762,0.8524590163934426,0.8571428571428571,0.2549019607843137,0.7923076923076923,0.8020833333333334,0.9523809523809523,0.7731958762886598,0.7906976744186046,0.7263157894736842,0.6835443037974683,0.7731958762886598,0.8160919540229885,0.7878787878787878,0.7215189873417721,0.3904761904761905,0.8681318681318682,0.6881720430107527,0.7142857142857143,0.7007299270072993,0.74,0.8888888888888888,0.8888888888888888,0.5276073619631901,0.75,0.735632183908046,0.8352941176470589,0.4065934065934066,0.7969924812030075,0.6881720430107527,0.7319587628865979,0.7282608695652174,0.8352941176470589,0.8930817610062893,0.9523809523809523,0.7388059701492538,0.6881720430107527,0.7676767676767676,0.7682926829268293,0.8235294117647058,0.7126436781609196,0.17204301075268819,0.717391304347826,0.7747747747747747,0.7051282051282052,0.7692307692307693,0.7450980392156863,0.30275229357798167,0.7111111111111111,0.7916666666666666,0.5487804878048781,0.7325581395348837,0.27450980392156865,0.8,0.8041237113402062,0.6790123456790124,0.7766990291262136,0.7916666666666666,0.9655172413793104,0.822429906542056,0.7634408602150538,0.1827956989247312,0.77,0.7816091954022989,0.850828729281768,0.7,0.925,0.7676767676767676,0.8765432098765432,0.5555555555555556,0.7912087912087912,0.8217821782178217,0.7731958762886598,0.9090909090909091,0.6881720430107527,0.8888888888888888,0.8554216867469879,0.8888888888888888,0.8046875,0.759493670886076,0.8045112781954887,0.6666666666666666,0.7708333333333334,0.85,0.8279569892473119,0.7840909090909091,0.7415730337078652
Nicotinate,0.815068493150685,0.7697368421052632,0.5510204081632653,0.0,0.5418994413407822,0.7309941520467836,0.9139072847682119,0.8461538461538461,0.5419354838709678,0.8709677419354839,0.8428571428571429,0.6567164179104478,0.8943661971830986,0.8832116788321168,0.7947019867549668,0.8613138686131386,0.5,0.7516339869281046,0.8410596026490066,0.8280254777070064,0.6038961038961039,0.9642857142857143,0.655,0.8300653594771242,0.5808383233532934,0.7368421052631579,0.84,0.9574468085106383,0.8734177215189873,0.8835616438356164,0.7671232876712328,0.8273381294964028,0.8734177215189873,0.851063829787234,0.7986577181208053,0.8489208633093526,0.5660377358490566,0.875,0.777027027027027,0.781021897810219,0.7119565217391305,0.7748344370860927,0.8958333333333334,0.88125,0.329608938547486,0.7483443708609272,0.8503401360544217,0.9103448275862069,0.6216216216216216,0.7413793103448276,0.8246753246753247,0.7947019867549668,0.8027210884353742,0.9103448275862069,0.7016574585635359,0.9424460431654677,0.7741935483870968,0.785234899328859,0.8246753246753247,0.8652482269503546,0.8958333333333334,0.8287671232876712,0.5506329113924051,0.8355263157894737,0.7579617834394905,0.8405797101449275,0.8012820512820513,0.7533333333333333,0.5301204819277109,0.7588652482269503,0.8709677419354839,0.35,0.8493150684931506,0.5220125786163522,0.8321678321678322,0.8853503184713376,0.8226950354609929,0.8787878787878788,0.8709677419354839,0.9432624113475178,0.7828947368421053,0.8552631578947368,0.5569620253164557,0.8104575163398693,0.8698630136986302,0.6515151515151515,0.7884615384615384,0.9568345323741008,0.8246753246753247,0.9285714285714286,0.36363636363636365,0.8344827586206897,0.8366013071895425,0.8734177215189873,0.9084507042253521,0.7687074829931972,0.9357142857142857,0.9230769230769231,0.88125,0.7954545454545454,0.5174418604651163,0.7325581395348837,0.8188405797101449,0.8040540540540541,0.7916666666666666,0.8413793103448276,0.8142857142857143,0.8041958041958042
Histidine,0.7142857142857143,0.7338129496402878,0.7607361963190185,0.5418994413407822,0.0,0.6794871794871795,0.875,0.8062015503875969,0.65625,0.7384615384615385,0.8294573643410853,0.42073170731707316,0.832,0.873015873015873,0.7426470588235294,0.8492063492063492,0.6797752808988764,0.59375,0.8368794326241135,0.7372262773722628,0.8275862068965517,0.9365079365079365,0.4268292682926829,0.7555555555555555,0.7914438502673797,0.6774193548387096,0.7557251908396947,0.9206349206349206,0.8716216216216216,0.8656716417910447,0.648,0.8217054263565892,0.8716216216216216,0.792,0.7076923076923077,0.8359375,0.76,0.8473282442748091,0.6923076923076923,0.8444444444444444,0.6705882352941176,0.6511627906976745,0.84375,0.746268656716418,0.46808510638297873,0.609375,0.8296296296296296,0.8947368421052632,0.823170731707317,0.6751592356687898,0.8194444444444444,0.6744186046511628,0.7209302325581395,0.8947368421052632,0.41134751773049644,0.9291338582677166,0.7159763313609467,0.671875,0.7313432835820896,0.8538461538461538,0.8872180451127819,0.8148148148148148,0.7821229050279329,0.8142857142857143,0.6268656716417911,0.8174603174603174,0.75177304964539,0.6031746031746031,0.6910112359550562,0.688,0.8689655172413793,0.44565217391304346,0.8283582089552238,0.7956989247311828,0.7906976744186046,0.8531468531468531,0.7984496124031008,0.8774193548387097,0.8689655172413793,0.9047619047619048,0.7391304347826086,0.8439716312056738,0.7808988764044944,0.6846153846153846,0.8592592592592593,0.41975308641975306,0.8211920529801324,0.953125,0.7313432835820896,0.9224806201550387,0.49489795918367346,0.746031746031746,0.7054263565891473,0.8716216216216216,0.848,0.6923076923076923,0.9302325581395349,0.9083969465648855,0.7368421052631579,0.7358490566037735,0.3055555555555556,0.6470588235294118,0.7936507936507936,0.732824427480916,0.7461538461538462,0.7734375,0.7795275590551181,0.72
Thymidine,0.7032967032967034,0.3902439024390244,0.7751937984496124,0.7309941520467836,0.6794871794871795,0.0,0.8404255319148937,0.75,0.7142857142857143,0.6813186813186813,0.7840909090909091,0.5172413793103449,0.7710843373493976,0.8333333333333334,0.5888888888888889,0.7976190476190477,0.7006802721088435,0.5376344086021505,0.723404255319149,0.7352941176470589,0.8059701492537313,0.9024390243902439,0.5138888888888888,0.5747126436781609,0.7448275862068966,0.10588235294117647,0.7065217391304348,0.8641975308641975,0.6483516483516484,0.7142857142857143,0.6559139784946236,0.7586206896551724,0.6483516483516484,0.7701149425287356,0.5747126436781609,0.7647058823529411,0.7463768115942029,0.7108433734939759,0.6736842105263158,0.7692307692307693,0.25,0.6458333333333334,0.7619047619047619,0.5747126436781609,0.7422680412371134,0.6185567010309279,0.6896551724137931,0.7283950617283951,0.8267716535433071,0.13636363636363635,0.7142857142857143,0.6631578947368421,0.6989247311827957,0.7283950617283951,0.7323943661971831,0.8641975308641975,0.4956521739130435,0.6736842105263158,0.7272727272727273,0.7931034482758621,0.7619047619047619,0.7526881720430108,0.7916666666666666,0.6739130434782609,0.6,0.7647058823529411,0.5652173913043478,0.6530612244897959,0.74,0.651685393258427,0.6363636363636364,0.7395833333333334,0.7011494252873564,0.7919463087248322,0.7272727272727273,0.6206896551724138,0.7386363636363636,0.6597938144329897,0.6363636363636364,0.8536585365853658,0.4883720930232558,0.7065217391304348,0.7902097902097902,0.6770833333333334,0.7209302325581395,0.5070422535211268,0.66,0.8888888888888888,0.6451612903225806,0.8271604938271605,0.7061855670103093,0.7333333333333333,0.6774193548387096,0.6483516483516484,0.7951807228915663,0.6736842105263158,0.8941176470588236,0.7777777777777778,0.6067415730337079,0.43,0.7341772151898734,0.3020833333333333,0.7441860465116279,0.7157894736842105,0.6777777777777778,0.7303370786516854,0.7241379310344828,0.6818181818181818
Taurine,0.6458333333333334,0.765625,0.9175257731958762,0.9139072847682119,0.875,0.8404255319148937,0.0,0.7333333333333333,0.8316831683168316,0.7592592592592593,0.8260869565217391,0.8904109589041096,0.6,0.7837837837837838,0.7868852459016393,0.8,0.8870967741935484,0.7424242424242424,0.864406779661017,0.5098039215686274,0.93,0.7241379310344828,0.8972602739726028,0.7090909090909091,0.9338842975206612,0.8260869565217391,0.6530612244897959,0.8181818181818182,0.8709677419354839,0.8297872340425532,0.6909090909090909,0.8297872340425532,0.8709677419354839,0.5789473684210527,0.6851851851851852,0.8181818181818182,0.8461538461538461,0.7142857142857143,0.6964285714285714,0.8431372549019608,0.8584070796460177,0.7166666666666667,0.5428571428571428,0.7321428571428571,0.9022988505747126,0.734375,0.8490566037735849,0.8095238095238095,0.9213483146067416,0.8315789473684211,0.8769230769230769,0.7017543859649122,0.6666666666666666,0.8095238095238095,0.8956521739130435,0.8181818181818182,0.8349514563106796,0.6964285714285714,0.5686274509803921,0.8181818181818182,0.813953488372093,0.8545454545454545,0.9292035398230089,0.8688524590163934,0.7571428571428571,0.8181818181818182,0.803030303030303,0.7258064516129032,0.8571428571428571,0.66,0.864406779661017,0.9011627906976745,0.8461538461538461,0.9327731092436975,0.717391304347826,0.864406779661017,0.84,0.8840579710144928,0.864406779661017,0.71875,0.7377049180327869,0.8620689655172413,0.9285714285714286,0.7017543859649122,0.8367346938775511,0.8881118881118881,0.8904109589041096,0.8787878787878788,0.6964285714285714,0.8,0.9060773480662984,0.6136363636363636,0.7272727272727273,0.8709677419354839,0.5757575757575758,0.6964285714285714,0.8918918918918919,0.8205128205128205,0.7090909090909091,0.8045977011494253,0.8692307692307693,0.8297872340425532,0.8297872340425532,0.6730769230769231,0.7547169811320755,0.6363636363636364,0.5853658536585366,0.6304347826086957
Betaine,0.42857142857142855,0.6666666666666666,0.8222222222222222,0.8461538461538461,0.8062015503875969,0.75,0.7333333333333333,0.0,0.7604166666666666,0.5217391304347826,0.625,0.8188405797101449,0.6842105263157895,0.5161290322580645,0.4375,0.5588235294117647,0.8512396694214877,0.576271186440678,0.6666666666666666,0.5471698113207547,0.8865979381443299,0.8125,0.8175182481751825,0.6415094339622641,0.8596491228070176,0.7613636363636364,0.5434782608695652,0.8235294117647058,0.7966101694915254,0.6666666666666666,0.54,0.5641025641025641,0.7966101694915254,0.38235294117647056,0.5306122448979592,0.5277777777777778,0.8584905660377359,0.38235294117647056,0.52,0.6666666666666666,0.8181818181818182,0.5818181818181818,0.631578947368421,0.5306122448979592,0.863905325443787,0.509090909090909,0.6222222222222222,0.7560975609756098,0.8977272727272727,0.7415730337078652,0.7241379310344828,0.5576923076923077,0.4666666666666667,0.725,0.8363636363636363,0.6206896551724138,0.7263157894736842,0.5490196078431373,0.52,0.6052631578947368,0.7317073170731707,0.6938775510204082,0.8490566037735849,0.7037037037037037,0.5806451612903226,0.5277777777777778,0.49056603773584906,0.5714285714285714,0.7982456140350878,0.5531914893617021,0.7857142857142857,0.8484848484848485,0.6136363636363636,0.8672566371681416,0.06451612903225806,0.7857142857142857,0.627906976744186,0.8181818181818182,0.7857142857142857,0.7272727272727273,0.6779661016949152,0.7115384615384616,0.8476190476190476,0.5576923076923077,0.6511627906976745,0.8321167883211679,0.7575757575757576,0.8484848484848485,0.52,0.7352941176470589,0.8693181818181818,0.45,0.30952380952380953,0.7966101694915254,0.6666666666666666,0.52,0.8,0.7297297297297297,0.5882352941176471,0.7037037037037037,0.8253968253968254,0.7528089887640449,0.5641025641025641,0.5416666666666666,0.7115384615384616,0.2571428571428571,0.525,0.5116279069767442
Phenylalanine,0.6043956043956044,0.7410714285714286,0.20430107526881722,0.5419354838709678,0.65625,0.7142857142857143,0.8316831683168316,0.7604166666666666,0.0,0.8272727272727273,0.7659574468085106,0.782608695652174,0.7802197802197802,0.8241758241758241,0.7169811320754716,0.7912087912087912,0.49624060150375937,0.6057692307692307,0.7596153846153846,0.6470588235294118,0.44954128440366975,0.9120879120879121,0.7880434782608695,0.7798165137614679,0.36752136752136755,0.7218045112781954,0.6666666666666666,0.9139784946236559,0.8,0.8181818181818182,0.5591397849462365,0.7282608695652174,0.8,0.7111111111111111,0.7087378640776699,0.7608695652173914,0.3148148148148148,0.8163265306122449,0.532608695652174,0.7525773195876289,0.6453900709219859,0.5816326530612245,0.7849462365591398,0.8125,0.4759036144578313,0.5980392156862745,0.77,0.8571428571428571,0.5094339622641509,0.7185185185185186,0.7264150943396226,0.5833333333333334,0.5869565217391305,0.8571428571428571,0.8404907975460123,0.925531914893617,0.631578947368421,0.5164835164835165,0.6363636363636364,0.8,0.8469387755102041,0.75,0.3211009174311927,0.7523809523809524,0.6330275229357798,0.7472527472527473,0.7181818181818181,0.59,0.16666666666666666,0.5978260869565217,0.8165137614678899,0.4409937888198758,0.7676767676767676,0.3983050847457627,0.7395833333333334,0.8272727272727273,0.723404255319149,0.8017241379310345,0.8165137614678899,0.9042553191489362,0.7477477477477478,0.7924528301886793,0.3148148148148148,0.6262626262626263,0.81,0.7857142857142857,0.7456140350877193,0.9354838709677419,0.6363636363636364,0.8936170212765957,0.49710982658959535,0.6483516483516484,0.7428571428571429,0.8,0.8021978021978022,0.532608695652174,0.9042553191489362,0.875,0.8018018018018018,0.6929133858267716,0.7018633540372671,0.725925925925926,0.7142857142857143,0.6354166666666666,0.7924528301886793,0.7291666666666666,0.6956521739130435,0.6413043478260869
Creatinine,0.6428571428571429,0.5714285714285714,0.8952380952380953,0.8709677419354839,0.7384615384615385,0.6813186813186813,0.7592592592592593,0.5217391304347826,0.8272727272727273,0.0,0.7962962962962963,0.7185185185185186,0.6956521739130435,0.7555555555555555,0.6923076923076923,0.7708333333333334,0.8449612403100775,0.6176470588235294,0.8181818181818182,0.7014925373134329,0.9074074074074074,0.8,0.7164179104477612,0.5357142857142857,0.9147286821705426,0.6923076923076923,0.6949152542372882,0.717948717948718,0.875,0.7777777777777778,0.6825396825396826,0.7777777777777778,0.875,0.6170212765957447,0.5614035087719298,0.7647058823529411,0.8608695652173913,0.6170212765957447,0.6875,0.8135593220338984,0.7610619469026548,0.6666666666666666,0.6808510638297872,0.32653061224489793,0.8715083798882681,0.6666666666666666,0.8,0.8490566037735849,0.9081632653061225,0.7021276595744681,0.8493150684931506,0.7121212121212122,0.6610169491525424,0.8269230769230769,0.6601941747572816,0.75,0.7870370370370371,0.6875,0.6875,0.7884615384615384,0.8076923076923077,0.8253968253968254,0.9090909090909091,0.8405797101449275,0.6575342465753424,0.7647058823529411,0.7142857142857143,0.59375,0.8515625,0.7,0.8695652173913043,0.8571428571428571,0.7966101694915254,0.9133858267716536,0.5416666666666666,0.8529411764705882,0.8103448275862069,0.8860759493670886,0.8695652173913043,0.7317073170731707,0.5806451612903226,0.8333333333333334,0.9083333333333333,0.6507936507936508,0.8070175438596491,0.7121212121212122,0.85,0.8837209302325582,0.6875,0.7954545454545454,0.8763440860215054,0.6415094339622641,0.3469387755102041,0.875,0.6818181818181818,0.6875,0.9166666666666666,0.8125,0.39215686274509803,0.75,0.736,0.6703296703296703,0.7777777777777778,0.6885245901639344,0.5740740740740741,0.5510204081632653,0.6730769230769231,0.6785714285714286
