Compound,inchikey
Ascorbate,CIWBSHSKHKDKBQ-JLAZNSOCSA-N
Fucose,PMMURAAUARKVCB-DUVQVXGLSA-N
4-Aminobutyrate,BTCSSZJGUNDROE-UHFFFAOYSA-N
Cytosine,OPTASPLRGRRNAP-UHFFFAOYSA-N
Ethanol,LFQSCWFLJHTTHZ-UHFFFAOYSA-N
Propionate,XBDQKXXYIPTUBI-UHFFFAOYSA-N
beta-Alanine,UCMIRNVEIXFBKS-UHFFFAOYSA-N
2'-Deoxyinosine,VGONTNSXDCQUGY-RRKCRQDMSA-N
Lactate,JVTAAEKCZFNVCJ-REOHCLBHSA-N
Glycerol,PEDCQBHIVMGVHV-UHFFFAOYSA-N
Asparagine,DCXYFEDJOCDNAF-REOHCLBHSA-N
Malate,BJEPYKJPYRNKOW-REOHCLBHSA-N
Citrulline,RHGKLRLOHDJJDR-BYPYZUCNSA-N
Putrescine,KIDHWZJUCRJVML-UHFFFAOYSA-N
4-Hydroxyphenylacetate,XQXPVVBIMDBYFF-UHFFFAOYSA-N
2-Hydroxybutyrate,AFENDNXGAFYKQO-VKHMYHEASA-N
Urocanate,LOIYMIARKYCTBW-OWOJBTEDSA-N
2-Hydroxyglutarate,HWXBTNAVRSUOJR-UHFFFAOYSA-N
Succinate,KDYFGRWQOYBRFD-UHFFFAOYSA-N
Glutarate,JFCQEDHGNNZCLN-UHFFFAOYSA-N
Thymine,RWQNBRDOKXIBIV-UHFFFAOYSA-N
Aspartate,CKLJMWTZIZZHCS-REOHCLBHSA-N
Uridine,DRTQHJPVMGBUCF-XVFCMESISA-N
Lacto-N-fucopentaose III,
Lysine,KDXKERNSBIXSRK-YFKPBYRVSA-N
Methylamine,BAVYZALUXZFZLV-UHFFFAOYSA-N
Carnitine,PHIQHXFUZVPYII-ZCFIWIBFSA-N
Creatinine,DDRJAANPRJIHGJ-UHFFFAOYSA-N
Indole-3-lactate,XGILAAMKEQUXLS-UHFFFAOYSA-N
N-Methylhydantoin,RHYBFKMFHLPQPH-UHFFFAOYSA-N
Methylsuccinate,XFTRTWQBIOMVPK-YFKPBYRVSA-N
Valerate,NQPDZGIKBAWPEJ-UHFFFAOYSA-N
Glutamine,ZDXPYRJPNDTMRX-VKHMYHEASA-N
beta-Pseudouridine,PTJWIQPHWPFNBW-GBNDHIKLSA-N
2-Hydroxyisobutyrate,
Leucine,ROHFNLRQFUQHCH-YFKPBYRVSA-N
Acetate,QTBSBXVTEAMEQO-UHFFFAOYSA-N
3'-sialyllactose,
Methanol,OKKJLVBELUTLKV-UHFFFAOYSA-N
Choline,OEYIOHPDSNJKLS-UHFFFAOYSA-N
Methionine,FFEARJCKVFRZRR-BYPYZUCNSA-N
2-Aminobutyrate,QWCKQJZIFLGMSD-VKHMYHEASA-N
2'-Deoxyuridine,MXHRCPNRJAMMIM-SHYZEUOFSA-N
Propylene glycol,DNIAPMSPPWPWGF-GSVOUGTGSA-N
3-Hydroxybutyrate,WHBMMWSBFZVSSR-GSVOUGTGSA-N
Ribose,HMFHBZSHGGEWLO-SOOFDHNKSA-N
Sarcosine,FSYKKLYZXJSNPZ-UHFFFAOYSA-N
Tyramine,DZGWFCGJZKJUFP-UHFFFAOYSA-N
Desaminotyrosine,NMHMNPHRMNGLLB-UHFFFAOYSA-N
Butyrate,FERIUCNNQQJTOY-UHFFFAOYSA-N
