"","reads.in","reads.out","",""
"totals",4766114,4654829,4562398,3975514
"perc_change",0,NA,NA,NA
"ERR2969312.fastq",13183,12855,12678,11343
"ERR2969313.fastq",11856,11560,11240,9864
"ERR2969314.fastq",13370,13070,12877,11450
"ERR2969315.fastq",24555,24007,23362,19243
"ERR2969316.fastq",7895,7728,7517,6888
"ERR2969317.fastq",18708,18287,18090,16375
"ERR2969318.fastq",11304,11081,10911,9596
"ERR2969319.fastq",15682,15300,14623,11795
"ERR2969320.fastq",7233,7071,6854,6477
"ERR2969321.fastq",5407,5299,5187,4862
"ERR2969322.fastq",10981,10694,10418,9935
"ERR2969323.fastq",14603,14182,14102,11826
"ERR2969324.fastq",4103,3999,3892,3838
"ERR2969325.fastq",28485,27732,27520,22632
"ERR2969326.fastq",53218,52005,51552,46266
"ERR2969327.fastq",22579,22027,21507,17342
"ERR2969328.fastq",10502,10215,10027,9592
"ERR2969329.fastq",10159,9881,9732,8974
"ERR2969330.fastq",8130,7905,7768,6177
"ERR2969331.fastq",6653,6455,6228,5740
"ERR2969332.fastq",7862,7691,7612,7114
"ERR2969333.fastq",11248,10987,10754,9149
"ERR2969334.fastq",7255,7069,6751,6287
"ERR2969335.fastq",25267,24681,24459,21704
"ERR2969336.fastq",5510,5386,5274,5245
"ERR2969337.fastq",19870,19468,19138,16725
"ERR2969338.fastq",20496,19973,19157,16370
"ERR2969339.fastq",24920,24284,24019,21625
"ERR2969340.fastq",33949,32998,32738,27637
"ERR2969341.fastq",10432,10160,10004,9396
"ERR2969342.fastq",15958,15611,15162,12354
"ERR2969343.fastq",2830,2761,2693,2610
"ERR2969344.fastq",17211,16813,16696,14438
"ERR2969345.fastq",7397,7228,7150,7003
"ERR2969346.fastq",14615,14358,14081,10591
"ERR2969347.fastq",8583,8340,8180,7252
"ERR2969348.fastq",11449,11130,10876,9060
"ERR2969349.fastq",8089,7884,7486,6546
"ERR2969350.fastq",9545,9325,8964,8149
"ERR2969351.fastq",7799,7617,7594,7182
"ERR2969352.fastq",7655,7469,7325,7040
"ERR2969353.fastq",21454,20946,20291,17224
"ERR2969354.fastq",6257,6086,5944,5885
"ERR2969355.fastq",21061,20558,20210,18194
