,Fold 0,Fold 1,Fold 2,Fold 3,Fold 4
C18-neg_Cluster_0001: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0002: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0003: NA,0.0,0.0,0.0,0.0291776107152084,0.0
C18-neg_Cluster_0004: 4-hydroxystyrene,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0005: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0006: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0007: NA,0.0,0.0,-0.27974823982098757,0.0,0.0
C18-neg_Cluster_0008: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0009: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0010: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0011: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0012: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0013: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0014: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0015: NA,0.0,0.0,0.004180537630971579,0.02774382418808139,0.0
C18-neg_Cluster_0016: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0017: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0018: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0019: p-hydroxyphenylacetate,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0020: NA,-0.043518363828993725,0.0,0.0,0.0,0.0
C18-neg_Cluster_0021: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0022: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0023: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0024: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0025: acesulfame,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0026: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0027: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0028: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0029: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0030: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0031: phenyllactate,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0032: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0033: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0034: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0035: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0036: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0037: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0038: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0039: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0040: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0041: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0042: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0043: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0044: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0045: azelate,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0046: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0047: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0048: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0049: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0050: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0051: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0052: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0053: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0054: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0055: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0056: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0057: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0058: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0059: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0060: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0061: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0062: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0063: NA,0.0,0.0,-0.00023471065160782234,0.0,0.0
C18-neg_Cluster_0064: sebacate,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0065: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0066: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0067: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0068: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0069: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0070: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0071: NA,0.10355164564434219,0.0,0.0,0.0,0.0
C18-neg_Cluster_0072: NA,0.0,0.021702874461819507,0.0,0.059233520293901984,0.0
C18-neg_Cluster_0073: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0074: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0075: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0076: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0077: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0078: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0079: undecanedionate,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0080: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0081: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0082: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0083: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0084: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0085: NA,-0.03950767181554502,0.0,0.0,0.0,0.0
C18-neg_Cluster_0086: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0087: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0088: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0089: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0090: acetytyrosine,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0091: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0092: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0093: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0094: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0095: NA,-0.05964994269333219,0.0,-0.14450944531388044,0.0,0.0
C18-neg_Cluster_0096: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0097: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0098: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0099: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0100: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0101: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0102: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0103: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0104: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0105: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0106: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0107: myristic acid,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0108: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0109: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0110: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0111: dodecanedioic acid,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0112: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0113: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0114: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0115: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0116: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0117: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0118: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0119: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0120: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0121: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0122: NA,0.13137321168168922,0.10136048771893874,0.0,0.20490221940482,0.0
C18-neg_Cluster_0123: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0124: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0125: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0126: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0127: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0128: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0129: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0130: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0131: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0132: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0133: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0134: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0135: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0136: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0137: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0138: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0139: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0140: NA,-0.06330331427800179,0.0,-0.14237933189738872,0.0,0.0
C18-neg_Cluster_0141: NA,0.0,0.0,-0.005923038774388009,0.0,0.0
C18-neg_Cluster_0142: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0143: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0144: 2-hydroxymyristic acid,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0145: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0146: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0147: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0148: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0149: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0150: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0151: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0152: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0153: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0154: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0155: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0156: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0157: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0158: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0159: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0160: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0161: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0162: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0163: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0164: palmitoleic acid,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0165: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0166: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0167: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0168: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0169: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0170: NA,0.0,-0.0005420379403063678,0.0,0.0,0.0
C18-neg_Cluster_0171: palmitic acid,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0172: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0173: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0174: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0175: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0176: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0177: tetradecanedioate,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0178: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0179: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0180: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0181: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0182: NA,0.0,0.0,0.0,0.0,0.0
"C18-neg_Cluster_0183: 1,2,3,4-tetrahydro-b-carboline-1,3-dicarboxylic acid",0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0184: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0185: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0186: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0187: NA,0.0,0.0,0.0,0.0,0.0
C18-neg_Cluster_0188: NA,0.0,0.0,0.0,0.0,0.0
